feature,importance,importance_std
inactive_ratio,0.09267408865391424,0.10916298933913947
12_hour_day_activity,0.08260199974403377,0.06115465964556095
sd,0.049324812076347264,0.08054432282764631
12_hour_night_activity,0.02816474280416718,0.038824540316517164
mean,0.0,0.0
longest_inactivity,0.0,0.0
day_night_ratio,0.0,0.0
mean_absolute_change_activity,0.0,0.0
IV,0.0,0.0
RA,0.0,0.0
activity_night,0.0,0.0
activity_morning,0.0,0.0
activity_afternoon,0.0,0.0
activity_evening,0.0,0.0
inactive_night,0.0,0.0
inactive_morning,0.0,0.0
inactive_afternoon,0.0,0.0
inactive_evening,0.0,0.0
