result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
DecisionTreeClassifier_base,DecisionTreeClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.7363863325126374,0.605007362055587,0.13137897045705033,0.08188246292716782,5,0,0
DecisionTreeClassifier_base,DecisionTreeClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.7363863325126374,0.6856556812957116,0.05073065121692577,0.03504783949361639,4,1,0
DecisionTreeClassifier_base,DecisionTreeClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.7363863325126374,0.7192392255137274,0.017147106998910068,0.05574706761184305,2,3,0
DecisionTreeClassifier_base,DecisionTreeClassifier_full,base,full,balanced_accuracy,0.7363863325126374,0.7205556028202467,0.0158307296923907,0.03414207727041688,3,2,0
DecisionTreeClassifier_base,DecisionTreeClassifier_all_candidates,base,all_candidates,balanced_accuracy,0.7363863325126374,0.7238518591278398,0.012534473384797584,0.034197242353599916,2,3,0
DecisionTreeClassifier_base,DecisionTreeClassifier_positive_permutation,base,positive_permutation,balanced_accuracy,0.7363863325126374,0.7238518591278398,0.012534473384797584,0.034197242353599916,2,3,0
DecisionTreeClassifier_base,DecisionTreeClassifier_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.7363863325126374,0.745858407661595,-0.009472075148957603,0.017863231236585786,2,3,0
DecisionTreeClassifier_base,DecisionTreeClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.7363863325126374,0.7199758901355917,0.016410442377045652,0.03133921043150845,2,2,1
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.605007362055587,0.6856556812957116,-0.08064831924012456,0.054558550671957605,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.605007362055587,0.7192392255137274,-0.11423186345814026,0.0903429354219785,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_full,activity_rhythm,full,balanced_accuracy,0.605007362055587,0.7205556028202467,-0.11554824076465961,0.07916757914083945,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.605007362055587,0.7238518591278398,-0.11884449707225272,0.08034290156814589,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.605007362055587,0.7238518591278398,-0.11884449707225272,0.08034290156814589,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.605007362055587,0.745858407661595,-0.14085104560600792,0.08340006253885769,0,5,0
DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.605007362055587,0.7199758901355917,-0.11496852808000466,0.08401945513821422,0,5,0
