name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_base,base,manual,6,0.7352208661747379,0.040146451252033186,0.7363863325126374,0.04158202110121985,0.5690897659404346,0.053459386604831335,0.6650894405446133,0.0662707681672983,0.6038916795011505,0.06882297151728793,0.763649030635332,0.14425165194618808
DecisionTreeClassifier_activity_rhythm,activity_rhythm,manual,2,0.5767454519281836,0.08410518079340386,0.605007362055587,0.07935334496483788,0.4096907669026602,0.04767956140726323,0.5336574665735938,0.07589980176844897,0.44254594145350445,0.07684800199439508,0.6897587607176648,0.12725352056662048
DecisionTreeClassifier_hourly_activity,hourly_activity,manual,24,0.6567900721540654,0.027244953982779624,0.6856556812957116,0.031169584656033738,0.4834590144422345,0.04413394112260231,0.6109072430459714,0.04079157506607006,0.5113656259251668,0.04718131498996148,0.772743663428595,0.09090783954935919
DecisionTreeClassifier_six_hour_bins,six_hour_bins,manual,8,0.7040111353645434,0.04519203926491499,0.7192392255137274,0.04281820463877653,0.5344933912091541,0.08144187199201311,0.6474412979039238,0.06367375297558507,0.5567738719805725,0.06557756490780269,0.776706687117646,0.06902963474479576
DecisionTreeClassifier_full,full,manual,46,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_all_candidates,all_candidates,automatic,18,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5481586312965435,0.062460515841594955,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
DecisionTreeClassifier_positive_permutation,positive_permutation,automatic,4,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5497118464197766,0.06413839049572716,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
DecisionTreeClassifier_rfecv_selected,rfecv_selected,automatic,1,0.7519055716281446,0.044936458900883346,0.745858407661595,0.051867215628855344,0.5747114141660727,0.06883419260058793,0.671899839184118,0.0747279567090798,0.625258085392944,0.07472720466538894,0.7315559786792664,0.09671678226139567
DecisionTreeClassifier_select_from_model,select_from_model,automatic,18,0.714914036003681,0.03998029368960636,0.7199758901355917,0.055913531739862445,0.5426438387974124,0.06783955701255091,0.6444379774817991,0.08372379965895677,0.5651597218457047,0.06131900928779415,0.7513967783830797,0.12116140000373356
DummyClassifier_most_frequent,baseline,baseline,46,0.647208909955507,0.030336876182739936,0.5,0.0,0.352791090044493,0.030336876182739923,0.0,0.0,0.0,0.0,0.0,0.0
