name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_manual_base_baseline,manual_base,inactivity_baseline,6,0.7352208661747379,0.040146451252033186,0.7363863325126374,0.04158202110121985,0.5690897659404346,0.053459386604831335,0.6650894405446133,0.0662707681672983,0.6038916795011505,0.06882297151728793,0.763649030635332,0.14425165194618808
DecisionTreeClassifier_manual_base_shuffled_y,manual_base,shuffled_y,6,0.49997705442021056,0.07926809958296104,0.481513418661019,0.00921273043040446,0.34964053041520216,0.018465490626261127,0.31597110379719073,0.16364484930536377,0.29668537919198945,0.06821503941597662,0.4177693085375263,0.28221667352028024
DecisionTreeClassifier_manual_base_inactivity_reduced,manual_base,inactivity_reduced,4,0.7440940367961832,0.03980882126116466,0.7760238783206143,0.034107831973474896,0.5846970567509285,0.06890456495339968,0.7104304359816782,0.039965518781734675,0.5929126211822378,0.04935837313402195,0.889522046508348,0.036720750379045985
DecisionTreeClassifier_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,2,0.5767454519281836,0.08410518079340386,0.605007362055587,0.07935334496483788,0.4096907669026602,0.04767956140726323,0.5336574665735938,0.07589980176844897,0.44254594145350445,0.07684800199439508,0.6897587607176648,0.12725352056662048
DecisionTreeClassifier_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,2,0.5713346378325189,0.08978350870206335,0.513862231727536,0.018612606356378195,0.36474862087607257,0.022685378183172056,0.31507872264670345,0.11657429966496277,0.3892637533274179,0.04119170917086102,0.33956870700999325,0.28266001397562224
DecisionTreeClassifier_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,2,0.5767454519281836,0.08410518079340386,0.605007362055587,0.07935334496483788,0.4096907669026602,0.04767956140726323,0.5336574665735938,0.07589980176844897,0.44254594145350445,0.07684800199439508,0.6897587607176648,0.12725352056662048
DecisionTreeClassifier_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.6567900721540654,0.027244953982779624,0.6856556812957116,0.031169584656033738,0.4834590144422345,0.04413394112260231,0.6109072430459714,0.04079157506607006,0.5113656259251668,0.04718131498996148,0.772743663428595,0.09090783954935919
DecisionTreeClassifier_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.4571975445650053,0.0654581527382692,0.4803506508986148,0.028634466891515376,0.34258832592119837,0.013963274884223092,0.38385309914979066,0.10685643480217391,0.3322230138710753,0.022237561889413185,0.540193263167912,0.2419694143012197
DecisionTreeClassifier_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.6567900721540654,0.027244953982779624,0.6856556812957116,0.031169584656033738,0.4834590144422345,0.04413394112260231,0.6109072430459714,0.04079157506607006,0.5113656259251668,0.04718131498996148,0.772743663428595,0.09090783954935919
DecisionTreeClassifier_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.7040111353645434,0.04519203926491499,0.7192392255137274,0.04281820463877653,0.5344933912091541,0.08144187199201311,0.6474412979039238,0.06367375297558507,0.5567738719805725,0.06557756490780269,0.776706687117646,0.06902963474479576
DecisionTreeClassifier_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.4481547264366904,0.07488000188848751,0.49449782660344627,0.024303011636391435,0.34820923804112625,0.0213595681191917,0.4163388385128233,0.13647437042945396,0.33457631162730866,0.044287625964718566,0.6448422928037723,0.28694268770607345
DecisionTreeClassifier_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,5,0.762081819199276,0.030624904425542353,0.76882962154181,0.032924104352712626,0.6089685624062546,0.06023806712348063,0.7017575646262297,0.046896109512310956,0.6259904225571294,0.042465241372533734,0.7995638299747889,0.06099325426998195
DecisionTreeClassifier_manual_full_baseline,manual_full,inactivity_baseline,46,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
