feature,mean_importance,std_importance
sd,0.21398973376623193,0.07776121720023425
12_hour_night_activity,0.20103692386720967,0.07344591476799604
mean_absolute_change_activity,0.14403314072865817,0.046335996368971503
activity_afternoon,0.13500771121989225,0.04997556518928401
inactive_night,0.0922041800567345,0.027921509256799808
longest_inactivity,0.0514664315340138,0.04995332411341973
inactive_evening,0.03958763862282542,0.022793027092613383
inactive_ratio,0.027759818977261586,0.017122133675320138
IV,0.024702160259876052,0.016953953909818378
activity_night,0.023982164411641436,0.01959067377050872
12_hour_day_activity,0.019282559671923803,0.026049101282359113
inactive_morning,0.009244932532649974,0.009520034610410686
activity_evening,0.008155769437604524,0.014089406580494842
mean,0.0063110856860835955,0.008409894528913591
day_night_ratio,0.0014566960705693721,0.005679945591762119
inactive_afternoon,0.0004669913308691175,0.003565131781184366
RA,-0.0006087435627182593,0.009053039996112677
activity_morning,-0.0006565315264566849,0.011368970204395009
