n_features,mean_test_score,std_test_score
1,0.611422082406674,0.04753987105447117
2,0.6442349187771219,0.07540231039370636
3,0.7286189649229549,0.08394930049527942
4,0.724753332097235,0.056274225416460856
5,0.731265266102066,0.06692345966724741
6,0.7264986927350708,0.06322844427212629
7,0.7345572026274939,0.05734090935798193
8,0.7274333865843187,0.07954089189533818
9,0.7280034217520832,0.0911662795500807
10,0.7463279248091425,0.07381681610778854
11,0.7771258650842066,0.07998320160457964
12,0.7863512693282534,0.07804143658719756
13,0.7963169451274887,0.06924933806256685
14,0.7969845645080192,0.068699520521008
15,0.8170914957135693,0.07094061541794151
16,0.8155613024296553,0.0629089042077861
17,0.8146319341842403,0.06270276905308983
18,0.8154866350389411,0.06374005946796128
