name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
LogisticRegression_base,base,manual,6,0.7871160301161858,0.061321918674572574,0.7895527431710218,0.05983779835613462,0.7514558662418748,0.09413672477185563,0.7246014931955813,0.07193018006806218,0.6753731464224942,0.09646300264323318,0.790264511086429,0.07233843667315877
LogisticRegression_activity_rhythm,activity_rhythm,manual,2,0.5588917070723459,0.05639571585212446,0.5834157335129769,0.051056344719213435,0.4548712791280467,0.07961116840686305,0.514524825578564,0.055386177308273006,0.42384577719632455,0.06565976166512347,0.6623284732873774,0.051720257807862234
LogisticRegression_hourly_activity,hourly_activity,manual,24,0.6548666832005643,0.04529068235975473,0.6868386125974186,0.05126443776113559,0.5853043295663356,0.08772395748264075,0.6175287935001981,0.05705734210543676,0.5060613553113552,0.049437525791441034,0.7953198991555157,0.08099231317233181
LogisticRegression_six_hour_bins,six_hour_bins,manual,8,0.7099969477097312,0.04630556204588488,0.7190277782182646,0.04780543317657267,0.6202897810411272,0.10906824553615893,0.6441512933252518,0.06057020162169519,0.568992504409171,0.06810585607818856,0.747248638070556,0.06587836907835098
LogisticRegression_full,full,manual,46,0.8261329400738224,0.06843215680782865,0.8314449382348211,0.06739753333690715,0.8068572794974347,0.06390053328560055,0.77319403463337,0.08668739342766849,0.7209375012380896,0.10240280973233927,0.8423888859505297,0.08915330331982456
LogisticRegression_all_candidates,all_candidates,automatic,18,0.8069102944876507,0.05376958433417363,0.8156303534124584,0.05165168826285616,0.8150617524978927,0.08714861339772118,0.7536927454290601,0.06702774747804426,0.6886283673835735,0.08518091140184114,0.8391032128018429,0.06395278293531655
LogisticRegression_positive_permutation,positive_permutation,automatic,16,0.8154353777305505,0.052960014935048524,0.8249107809981112,0.05237708478216503,0.812977010625928,0.08643943892248426,0.7639271816030102,0.06799793736054842,0.6975161074331916,0.08226965440195907,0.851090601364574,0.07178684047352508
LogisticRegression_rfecv_selected,rfecv_selected,automatic,15,0.8122605958560781,0.05382102461560314,0.8197717875714463,0.05171307046615921,0.8158389983397129,0.08713085249389056,0.7588863742114516,0.06753963057148,0.6973620823620824,0.08661081109743696,0.8391032128018429,0.06395278293531655
LogisticRegression_select_from_model,select_from_model,automatic,18,0.788573734698231,0.0667232543092745,0.8006469642099819,0.0670269277206429,0.793356939099266,0.08805878973108727,0.7350231759498299,0.08050337914640981,0.664539406516673,0.09480846457285949,0.8322193426303015,0.09108649096746625
DummyClassifier_most_frequent,baseline,baseline,46,0.647208909955507,0.030336876182739936,0.5,0.0,0.352791090044493,0.030336876182739923,0.0,0.0,0.0,0.0,0.0,0.0
