name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
LogisticRegression_manual_base_remove_longest_inactivity,manual_base,ablation,5,0.7314676947200254,0.07045078691962485,0.741328892951181,0.071734195325533,0.5834174513697551,0.10339166857230735,0.6656810046180685,0.07732562184786163,0.6043721809981085,0.09001749313753842,0.7595431439267056,0.1229925392950486
LogisticRegression_manual_base_remove_inactive_ratio,manual_base,ablation,5,0.6658814847326877,0.10664217079389327,0.6837989644940634,0.10664893348846642,0.6393729717628347,0.1081854582470507,0.6130679855669332,0.09484349351266569,0.5278139067981396,0.09319354018974192,0.7399843679295733,0.11518130691808054
LogisticRegression_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.7174523335361843,0.04566660449174207,0.7278906690754536,0.04470651909407718,0.6206836224751907,0.10685285948015154,0.6544609906892785,0.055313128877508125,0.5777819865319865,0.06726756460997682,0.7599513407732585,0.05421093784745325
LogisticRegression_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.7097385824739371,0.060383620238954626,0.7169954500932669,0.06505489240595813,0.5248094896782141,0.1173991300385693,0.6407726470857285,0.08858346309170556,0.5680171704967825,0.0944334536457124,0.7406034214253393,0.09222427705130916
LogisticRegression_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.6940247559051718,0.05239824865274668,0.7047085038170751,0.05467766756409856,0.607135391451515,0.11665578804872997,0.6290586400431565,0.0675155368310933,0.5502829499494984,0.07153875516448568,0.7382400991990034,0.06968604939261937
LogisticRegression_manual_full_remove_is_constant_activity,manual_full,ablation,45,0.8271517973775095,0.07062741162660657,0.8315697087790868,0.06877320683631201,0.8067560239023626,0.06385356865958818,0.7736150373958024,0.0895793538280238,0.7248906086089185,0.10812526103474335,0.8390555526171963,0.08911798458757517
LogisticRegression_manual_full_remove_min,manual_full,ablation,45,0.8239516724007444,0.069869192256231,0.8288293274355697,0.06934480934231119,0.8096217737903174,0.06710733777704171,0.7703576729682614,0.08832029078601517,0.7176689218370091,0.10210703485416713,0.8390555526171963,0.08911798458757517
LogisticRegression_manual_full_remove_inactive_morning,manual_full,ablation,45,0.8282493421902245,0.06854021365391176,0.8329953258317204,0.06748104413391556,0.8074291477531871,0.0638118684013205,0.7754663821688754,0.08634348223025744,0.7246635286353499,0.10117707279498266,0.8423888859505297,0.08915330331982456
LogisticRegression_manual_full_remove_inactive_afternoon,manual_full,ablation,45,0.8239798771967513,0.06588076834163527,0.830017603956755,0.06465261524995615,0.8074611589658216,0.06318697703515887,0.7712862098481776,0.0826839174616897,0.7174002207837825,0.09931712632088631,0.8429824932564658,0.08719786881075366
LogisticRegression_manual_full_remove_inactive_evening,manual_full,ablation,45,0.8272389408512003,0.0685011593121933,0.8308818605107764,0.06577790038200503,0.8028289578425024,0.06323703286924687,0.7738522835759567,0.08555603245897657,0.7264647691803545,0.10690516049675676,0.8362788032651046,0.07889645402876845
LogisticRegression_manual_full_remove_longest_inactivity,manual_full,ablation,45,0.8014780865167429,0.07322579965812567,0.8094280810103477,0.06648391173395574,0.7811520089044907,0.06767156434339658,0.7472505906060494,0.08528410421170445,0.6882530731718461,0.10453380500400876,0.8293730129346567,0.0854936431335409
LogisticRegression_manual_full_remove_inactive_ratio,manual_full,ablation,45,0.8261329400738224,0.06843215680782865,0.8314449382348211,0.06739753333690715,0.8069911282475306,0.06393543919378065,0.77319403463337,0.08668739342766849,0.7209375012380896,0.10240280973233927,0.8423888859505297,0.08915330331982456
LogisticRegression_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,17,0.8090211271247991,0.05486680169612249,0.8165608952169882,0.05317654223964868,0.8158298381677669,0.08635774176042321,0.7548770668857723,0.06888554321567797,0.693076863858855,0.08598560823078069,0.8359656329519343,0.0695259009805242
LogisticRegression_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,17,0.8079573565873444,0.05680710553240415,0.8165904410965741,0.05519976796781479,0.8151819765452686,0.08588951264420484,0.7544575216612118,0.07186871658613665,0.6904495410376172,0.0895017812545964,0.8391402361265374,0.0714800877718546
LogisticRegression_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,17,0.8058520934294495,0.058972251216316086,0.814840423392376,0.0562108583033102,0.8116517260893277,0.09160348945084128,0.7531074309891139,0.07224658028998035,0.6878428025659,0.092888408040331,0.8391032128018429,0.06395278293531655
LogisticRegression_automatic_all_candidates_remove_longest_inactivity,automatic_all_candidates,ablation,17,0.7610876645734905,0.07677343033607205,0.7767950123508307,0.06871141787375987,0.7697522496758274,0.11030353822314867,0.7085995609738558,0.08571338291712985,0.6319557474665833,0.10184164885092299,0.8212278815018541,0.09234932461751447
LogisticRegression_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,17,0.8080276129234049,0.055027548191915826,0.8164924223779757,0.05259871784735942,0.8148837690897388,0.08726761317826853,0.7549127890020448,0.06833067033992396,0.6907592654048824,0.08722660095065465,0.8391032128018429,0.06395278293531655
LogisticRegression_automatic_positive_permutation_remove_inactive_morning,automatic_positive_permutation,ablation,15,0.816504896447128,0.05185930649972224,0.8256981825729144,0.05183804330164342,0.8113403325842675,0.08833277433759064,0.7648704067073091,0.06710353576907856,0.6988439930307401,0.08046485264248472,0.851090601364574,0.07178684047352508
LogisticRegression_automatic_positive_permutation_remove_inactive_afternoon,automatic_positive_permutation,ablation,15,0.814365859013973,0.05182202565001182,0.8236155853751267,0.050156161769693355,0.8131069238738655,0.08589653285449335,0.7624602240236806,0.06609105185260307,0.6975589035762335,0.08337741667118635,0.8483508753371767,0.06941036573864819
LogisticRegression_automatic_positive_permutation_remove_inactive_evening,automatic_positive_permutation,ablation,15,0.8122354314536544,0.052848125920390385,0.8219878599653481,0.051611014543153075,0.8079830467103024,0.09120145281412716,0.7606403963103973,0.06645934031934762,0.6940562031850276,0.08410664947480047,0.8485096054959069,0.06846648646007297
LogisticRegression_automatic_positive_permutation_remove_longest_inactivity,automatic_positive_permutation,ablation,15,0.7654979996388234,0.08372169155960606,0.7817010220779228,0.07433014294352756,0.7601835610245083,0.10885548383666532,0.7151271835124208,0.09306473636130103,0.6389395910144444,0.11493219541259855,0.8272639175378902,0.08729704333084594
LogisticRegression_automatic_positive_permutation_remove_inactive_ratio,automatic_positive_permutation,ablation,15,0.8154353777305505,0.052960014935048524,0.8249107809981112,0.05237708478216503,0.8133859962117441,0.08631900638908686,0.7639271816030102,0.06799793736054842,0.6975161074331916,0.08226965440195907,0.851090601364574,0.07178684047352508
LogisticRegression_automatic_rfecv_selected_remove_inactive_morning,automatic_rfecv_selected,ablation,14,0.8144305458707798,0.05876712494796029,0.8220222312130095,0.05778658863184893,0.8156509655811359,0.08678925240128033,0.7613678728339137,0.07448857936525606,0.6996351389936069,0.0901147253958616,0.8418799621539348,0.0741311256964251
LogisticRegression_automatic_rfecv_selected_remove_inactive_afternoon,automatic_rfecv_selected,ablation,14,0.8165104659263817,0.052684586491400565,0.8252623854932816,0.05141111374211423,0.8148015901092368,0.08553415641895816,0.764886452602018,0.06614166066505119,0.7009928343261675,0.08356478071039224,0.8485096054959069,0.06765019332622964
LogisticRegression_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,14,0.8101553326981834,0.05857839828168255,0.8194469165568105,0.05687928975042147,0.8126142337337694,0.09207602198653443,0.7584454019801588,0.07189549031630506,0.6921210752511565,0.08927934942998961,0.8451762721625735,0.06708163703316249
LogisticRegression_automatic_rfecv_selected_remove_longest_inactivity,automatic_rfecv_selected,ablation,14,0.7663195524869427,0.07765813732422837,0.7827618742840118,0.07108343870957994,0.770847197359406,0.10636905486691828,0.7148888117041186,0.0859343936149961,0.637686274509804,0.0987090459744567,0.8285251787991514,0.0992638234221491
LogisticRegression_automatic_rfecv_selected_remove_inactive_ratio,automatic_rfecv_selected,ablation,14,0.8122605958560781,0.05382102461560314,0.8197717875714463,0.05171307046615921,0.8157824764603248,0.08724049113527617,0.7588863742114516,0.06753963057148,0.6973620823620824,0.08661081109743696,0.8391032128018429,0.06395278293531655
