n_features,mean_test_score,std_test_score
1,0.7646093982983372,0.07722247340008535
2,0.7934507453980719,0.059996715331626385
3,0.8008853677473062,0.055492774001759886
4,0.8111817949636839,0.06383119196865364
5,0.8082051964523999,0.06443579790738685
6,0.8106693319286162,0.06743583097889068
7,0.8106934442809139,0.06680549675267913
8,0.8139034403416421,0.055584914364247805
9,0.8094239864542068,0.05886125613852821
10,0.8173085440622103,0.051243434922109414
11,0.8185153860002092,0.04378377500239395
12,0.8188005071980091,0.05405556422101429
13,0.8205419097959556,0.047580818770019094
14,0.8172460016098226,0.05297143844999756
15,0.8135815619164252,0.047102703148826176
16,0.8175513795753158,0.04959259526914152
17,0.8193188101422437,0.048009123645019615
18,0.812794160341622,0.048795760491098225
