result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
RandomForestClassifier_base,RandomForestClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.8194539842186577,0.6362930979046555,0.18316088631400235,0.050952217546252426,5,0,0
RandomForestClassifier_base,RandomForestClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.8194539842186577,0.8270576283976542,-0.007603644178996572,0.03712006740946869,3,2,0
RandomForestClassifier_base,RandomForestClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.8194539842186577,0.8133482827243522,0.006105701494305426,0.03792178496798553,2,3,0
RandomForestClassifier_base,RandomForestClassifier_full,base,full,balanced_accuracy,0.8194539842186577,0.8284083485410385,-0.00895436432238077,0.014815360671856107,2,3,0
RandomForestClassifier_base,RandomForestClassifier_all_candidates,base,all_candidates,balanced_accuracy,0.8194539842186577,0.812794160341622,0.0066598238770356755,0.022610182437012526,2,3,0
RandomForestClassifier_base,RandomForestClassifier_positive_permutation,base,positive_permutation,balanced_accuracy,0.8194539842186577,0.8233296404453586,-0.0038756562267008967,0.015083276043803997,3,2,0
RandomForestClassifier_base,RandomForestClassifier_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.8194539842186577,0.8240003330366606,-0.004546348818002954,0.018340140719508728,1,4,0
RandomForestClassifier_base,RandomForestClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.8194539842186577,0.8145108616212745,0.004943122597383253,0.01718994892538009,3,2,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.6362930979046555,0.8270576283976542,-0.19076453049299893,0.02487094942088133,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.6362930979046555,0.8133482827243522,-0.17705518481969693,0.033505806836736804,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_full,activity_rhythm,full,balanced_accuracy,0.6362930979046555,0.8284083485410385,-0.19211525063638313,0.04748853598822125,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.6362930979046555,0.812794160341622,-0.17650106243696667,0.040654495232567193,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.6362930979046555,0.8233296404453586,-0.18703654254070326,0.039685471409158235,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.6362930979046555,0.8240003330366606,-0.18770723513200532,0.04295943636374046,0,5,0
RandomForestClassifier_activity_rhythm,RandomForestClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.6362930979046555,0.8145108616212745,-0.1782177637166191,0.04037434541127786,0,5,0
RandomForestClassifier_hourly_activity,RandomForestClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.8270576283976542,0.8133482827243522,0.013709345673301999,0.014192265966612393,4,1,0
RandomForestClassifier_hourly_activity,RandomForestClassifier_full,hourly_activity,full,balanced_accuracy,0.8270576283976542,0.8284083485410385,-0.0013507201433841987,0.031730092275220174,1,3,1
RandomForestClassifier_hourly_activity,RandomForestClassifier_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.8270576283976542,0.812794160341622,0.014263468056032246,0.025731961372097094,3,2,0
RandomForestClassifier_hourly_activity,RandomForestClassifier_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.8270576283976542,0.8233296404453586,0.003727987952295675,0.02599409606301036,2,3,0
