name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
RandomForestClassifier_manual_base_baseline,manual_base,inactivity_baseline,6,0.8227624372509095,0.05761687365070737,0.8194539842186577,0.05803284855813371,0.8337981786812543,0.0966071967878433,0.7618282626606439,0.08054766153063612,0.7231130365466047,0.10039205471687712,0.8074917579027169,0.05826754564418271
RandomForestClassifier_manual_base_shuffled_y,manual_base,shuffled_y,6,0.5248454282392584,0.013084894359613755,0.48805927127926624,0.018623501470606974,0.3854113189112486,0.02213881798070187,0.34615123334904957,0.06571116477465527,0.33410933176064966,0.03151960866721748,0.3670013056887508,0.1068833833540992
RandomForestClassifier_manual_base_inactivity_reduced,manual_base,inactivity_reduced,4,0.8305946265598271,0.0603506432014072,0.8292414346045206,0.05943544853208063,0.8213757445198727,0.10309792916322823,0.7743479028169501,0.07983488509296074,0.7327489351905145,0.10179444197791264,0.8238409642519231,0.05556802319928779
RandomForestClassifier_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,2,0.6470709759524469,0.04501828204356614,0.6362930979046555,0.047266019441006904,0.5326567399701062,0.074689197773963,0.5400681719456377,0.0679364753913188,0.5009238816103805,0.06121619949392752,0.5968995610091501,0.10454982543809971
RandomForestClassifier_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,2,0.5545219497167475,0.0245661394312445,0.5068547525667735,0.02234643720491806,0.3691338454050583,0.0384988878161271,0.35014026415397037,0.05377831287586282,0.36002543544075016,0.027241198830148406,0.3461209110248838,0.0781112197392253
RandomForestClassifier_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,2,0.6470709759524469,0.04501828204356614,0.6362930979046555,0.047266019441006904,0.5326567399701062,0.074689197773963,0.5400681719456377,0.0679364753913188,0.5009238816103805,0.06121619949392752,0.5968995610091501,0.10454982543809971
RandomForestClassifier_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.8322213812180431,0.03401796430792895,0.8270576283976542,0.029102732923805837,0.8258544287437235,0.0820182460805593,0.7719595557837067,0.04567780349362372,0.74496003996004,0.08358578263323989,0.8066545606271636,0.02840607924960784
RandomForestClassifier_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.5749656020473761,0.03096425807139469,0.5324844312843715,0.029892828770488884,0.3992102516240467,0.03231876389830927,0.39098035830747324,0.043623361055482215,0.3953635171531814,0.028790417266238363,0.38897619701779057,0.06069290448773272
RandomForestClassifier_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.8322213812180431,0.03401796430792895,0.8270576283976542,0.029102732923805837,0.8258544287437235,0.0820182460805593,0.7719595557837067,0.04567780349362372,0.74496003996004,0.08358578263323989,0.8066545606271636,0.02840607924960784
RandomForestClassifier_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.8217568905916623,0.02855522222915155,0.8133482827243522,0.03379157506702283,0.8263591542828124,0.08997370305921719,0.7548420525651878,0.049241054608669343,0.7259193747429041,0.050957887657751666,0.7865698771178223,0.04989272157562507
RandomForestClassifier_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.5473581603769875,0.030472427606219567,0.5242257613801744,0.020847723141696365,0.3860037515016545,0.018523276488781708,0.4076495515908,0.04664502897708202,0.37994062073632107,0.024364955049761338,0.4485798984816764,0.09488757353733021
RandomForestClassifier_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,5,0.8155453104291681,0.03078702916673767,0.8084748010338622,0.03170648898725551,0.7984300138742988,0.09469544756407225,0.7497993334450346,0.04387764611455091,0.7164449847444698,0.050649192183112014,0.7870894377743693,0.039306190608430686
RandomForestClassifier_manual_full_baseline,manual_full,inactivity_baseline,46,0.8325762641832309,0.05428357413083148,0.8284083485410385,0.05365079742802308,0.8436669336614978,0.09056305421443935,0.7734567172494232,0.07559444108296308,0.7393073593073594,0.09698591488529568,0.8138039409272286,0.0528393041276808
RandomForestClassifier_manual_full_shuffled_y,manual_full,shuffled_y,46,0.5616958829081428,0.04174830896616529,0.5120962976537966,0.030414450837440456,0.4003543662668173,0.03796494347814623,0.3582670966663252,0.027288442748590734,0.3744922853144793,0.03993160885023346,0.3456091636633779,0.029896244140533188
RandomForestClassifier_manual_full_inactivity_reduced,manual_full,inactivity_reduced,39,0.8337636602551767,0.0522374917157267,0.8288661008900371,0.05037267270326636,0.8186436947790675,0.11082105288278767,0.7749218453239378,0.07034514899252403,0.7442416868297712,0.09681426378940443,0.8116578222057674,0.045037974451418716
RandomForestClassifier_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,18,0.8207299595147459,0.044526927685859134,0.812794160341622,0.048795760491098225,0.8471442848748708,0.09626189222489645,0.7538811981816884,0.07014899836602728,0.7231263862309953,0.07833015011508064,0.7880853652086529,0.06131718428814955
RandomForestClassifier_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,18,0.5521903437726978,0.025427973015830403,0.5100215129317912,0.03401102396809892,0.3881931576334955,0.03457201430253487,0.3660357599478126,0.05953524549036982,0.36403201230787435,0.04898960202913503,0.3694035478715022,0.07253333021259017
RandomForestClassifier_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,13,0.8338225989328606,0.049247749399248385,0.8288076339414125,0.04932655625956386,0.8199319994805784,0.10636568762463236,0.774488344861525,0.06805328272915924,0.7420306249217695,0.08588579738059775,0.811694845530462,0.04883054209645884
RandomForestClassifier_automatic_positive_permutation_baseline,automatic_positive_permutation,inactivity_baseline,4,0.8250671517586093,0.0525850164770137,0.8233296404453586,0.050779701715677326,0.8309393846497967,0.11135650331714195,0.7670836589128649,0.07055334670383327,0.7231112259799194,0.08868122526071766,0.8189702226688528,0.04698147371606891
RandomForestClassifier_automatic_positive_permutation_shuffled_y,automatic_positive_permutation,shuffled_y,4,0.5481372784290144,0.05994981835087549,0.5185116136176864,0.05583874526927952,0.41276955570149,0.05389710242058069,0.3919470297728286,0.08629176299816704,0.37628019296558624,0.08464579211107628,0.4196386396380909,0.11093540266636469
RandomForestClassifier_automatic_positive_permutation_inactivity_reduced,automatic_positive_permutation,inactivity_reduced,3,0.8156243801296295,0.055220587058988586,0.8188262748439084,0.05383499873746184,0.795826116358127,0.1177907226610365,0.760513372770577,0.07050499879278475,0.7034681729095402,0.08710743359736307,0.8298770002879591,0.04859635400384716
RandomForestClassifier_automatic_rfecv_selected_baseline,automatic_rfecv_selected,inactivity_baseline,13,0.8323426811584274,0.04911423693395411,0.8240003330366606,0.05347109643753278,0.8328579919842823,0.11396872013319398,0.7676298834638914,0.076743893610216,0.7414433714886869,0.08783889792320639,0.7968981505967807,0.0659084843370799
RandomForestClassifier_automatic_rfecv_selected_shuffled_y,automatic_rfecv_selected,shuffled_y,13,0.561282577095678,0.03204639206901943,0.5316569344141371,0.03600630491522472,0.4003761943066553,0.030217285142741235,0.40779131028979415,0.06622334469692064,0.38813014644929533,0.04302488112352419,0.43626669332277324,0.10626705248419734
RandomForestClassifier_automatic_rfecv_selected_inactivity_reduced,automatic_rfecv_selected,inactivity_reduced,9,0.8200036487052416,0.05997543681322233,0.8147681510275602,0.060297006400002746,0.799619692103426,0.11832244947510588,0.7571162390084517,0.08486376504326433,0.7225259072065942,0.10693789116682054,0.7978896117252281,0.060467790509578935
