sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.819,0.636,0.183,0.051,5,0,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.819,0.827,-0.008,0.037,3,2,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.819,0.813,0.006,0.038,2,3,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_full,base,full,balanced_accuracy,0.819,0.828,-0.009,0.015,2,3,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_all_candidates,base,all_candidates,balanced_accuracy,0.819,0.813,0.007,0.023,2,3,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_positive_permutation,base,positive_permutation,balanced_accuracy,0.819,0.823,-0.004,0.015,3,2,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.819,0.824,-0.005,0.018,1,4,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.819,0.815,0.005,0.017,3,2,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.636,0.827,-0.191,0.025,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.636,0.813,-0.177,0.034,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_full,activity_rhythm,full,balanced_accuracy,0.636,0.828,-0.192,0.047,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.636,0.813,-0.177,0.041,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.636,0.823,-0.187,0.04,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.636,0.824,-0.188,0.043,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.636,0.815,-0.178,0.04,0,5,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.827,0.813,0.014,0.014,4,1,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_full,hourly_activity,full,balanced_accuracy,0.827,0.828,-0.001,0.032,1,3,1
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.827,0.813,0.014,0.026,3,2,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.827,0.823,0.004,0.026,2,3,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.827,0.824,0.003,0.031,2,3,0
