sample_type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier_all_candidates,"{'accuracy': array([0.87894737, 0.79473684, 0.86592179, 0.76190476, 0.80213904]), 'balanced_accuracy': array([0.87595129, 0.79030755, 0.86391626, 0.7498062 , 0.7839895 ]), 'average_precision': array([0.95837941, 0.86408175, 0.92135291, 0.68396323, 0.80794413]), 'f1': array([0.84563758, 0.74509804, 0.81818182, 0.65648855, 0.704     ]), 'precision': array([0.82894737, 0.72151899, 0.7826087 , 0.6056338 , 0.67692308]), 'recall': array([0.8630137 , 0.77027027, 0.85714286, 0.71666667, 0.73333333])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier_positive_permutation,"{'accuracy': array([0.89473684, 0.77894737, 0.87150838, 0.75661376, 0.82352941]), 'balanced_accuracy': array([0.89392343, 0.78226934, 0.8682266 , 0.75930233, 0.81292651]), 'average_precision': array([0.95947321, 0.82734918, 0.91410007, 0.63496846, 0.818806  ]), 'f1': array([0.86666667, 0.7375    , 0.82442748, 0.66666667, 0.74015748]), 'precision': array([0.84415584, 0.68604651, 0.79411765, 0.58974359, 0.70149254]), 'recall': array([0.89041096, 0.7972973 , 0.85714286, 0.76666667, 0.78333333])}","{'feature_set': 'positive_permutation', 'n_features': 4, 'features': ['12_hour_night_activity', 'sd', 'RA', 'longest_inactivity'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier_rfecv_selected,"{'accuracy': array([0.90526316, 0.81578947, 0.86592179, 0.76190476, 0.81283422]), 'balanced_accuracy': array([0.90247044, 0.80754893, 0.86391626, 0.7498062 , 0.79625984]), 'average_precision': array([0.96033646, 0.84552442, 0.9192975 , 0.63184146, 0.80729012]), 'f1': array([0.87837838, 0.76510067, 0.81818182, 0.65648855, 0.72      ]), 'precision': array([0.86666667, 0.76      , 0.7826087 , 0.6056338 , 0.69230769]), 'recall': array([0.89041096, 0.77027027, 0.85714286, 0.71666667, 0.75      ])}","{'feature_set': 'rfecv_selected', 'n_features': 13, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'RA', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier_select_from_model,"{'accuracy': array([0.90526316, 0.77368421, 0.86592179, 0.75661376, 0.80748663]), 'balanced_accuracy': array([0.89731882, 0.77306617, 0.86391626, 0.74593023, 0.79232283]), 'average_precision': array([0.95462527, 0.8386275 , 0.91113962, 0.63652127, 0.81384728]), 'f1': array([0.875     , 0.72611465, 0.81818182, 0.65151515, 0.71428571]), 'precision': array([0.88732394, 0.68674699, 0.7826087 , 0.59722222, 0.68181818]), 'recall': array([0.8630137 , 0.77027027, 0.85714286, 0.71666667, 0.75      ])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 18, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
daily,Logistic Regression,LogisticRegression_all_candidates,"{'accuracy': array([0.87368421, 0.75263158, 0.86592179, 0.79365079, 0.7486631 ]), 'balanced_accuracy': array([0.87682941, 0.74603914, 0.87116858, 0.80872093, 0.7753937 ]), 'average_precision': array([0.90305905, 0.74356964, 0.93346116, 0.71597313, 0.77924579]), 'f1': array([0.84415584, 0.69281046, 0.82352941, 0.72340426, 0.68456376]), 'precision': array([0.80246914, 0.67088608, 0.76712329, 0.62962963, 0.57303371]), 'recall': array([0.89041096, 0.71621622, 0.88888889, 0.85      , 0.85      ])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression_positive_permutation,"{'accuracy': array([0.88421053, 0.76315789, 0.87150838, 0.7989418 , 0.75935829]), 'balanced_accuracy': array([0.89052804, 0.75465983, 0.87910509, 0.8125969 , 0.78766404]), 'average_precision': array([0.89928542, 0.74429997, 0.93242896, 0.71679009, 0.77208062]), 'f1': array([0.85897436, 0.70198675, 0.83211679, 0.72857143, 0.69798658]), 'precision': array([0.80722892, 0.68831169, 0.77027027, 0.6375    , 0.58426966]), 'recall': array([0.91780822, 0.71621622, 0.9047619 , 0.85      , 0.86666667])}","{'feature_set': 'positive_permutation', 'n_features': 16, 'features': ['sd', '12_hour_night_activity', 'mean_absolute_change_activity', 'activity_afternoon', 'inactive_night', 'longest_inactivity', 'inactive_evening', 'inactive_ratio', 'IV', 'activity_night', '12_hour_day_activity', 'inactive_morning', 'activity_evening', 'mean', 'day_night_ratio', 'inactive_afternoon'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression_rfecv_selected,"{'accuracy': array([0.87894737, 0.75789474, 0.87150838, 0.7989418 , 0.7540107 ]), 'balanced_accuracy': array([0.88110292, 0.75034949, 0.87547893, 0.8125969 , 0.77933071]), 'average_precision': array([0.90496661, 0.74774893, 0.93165271, 0.71134405, 0.7834827 ]), 'f1': array([0.8496732 , 0.69736842, 0.82962963, 0.72857143, 0.68918919]), 'precision': array([0.8125    , 0.67948718, 0.77777778, 0.6375    , 0.57954545]), 'recall': array([0.89041096, 0.71621622, 0.88888889, 0.85      , 0.85      ])}","{'feature_set': 'rfecv_selected', 'n_features': 15, 'features': ['sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_afternoon', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression_select_from_model,"{'accuracy': array([0.87368421, 0.71578947, 0.83798883, 0.80952381, 0.70588235]), 'balanced_accuracy': array([0.8742536 , 0.70608108, 0.84961686, 0.83817829, 0.73510499]), 'average_precision': array([0.87940768, 0.72849488, 0.91952118, 0.7335743 , 0.70578666]), 'f1': array([0.84210526, 0.64473684, 0.79432624, 0.75342466, 0.64052288]), 'precision': array([0.81012658, 0.62820513, 0.71794872, 0.63953488, 0.52688172]), 'recall': array([0.87671233, 0.66216216, 0.88888889, 0.91666667, 0.81666667])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 18, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
daily,Decision Tree,DecisionTreeClassifier_all_candidates,"{'accuracy': array([0.75263158, 0.7       , 0.77094972, 0.70899471, 0.6684492 ]), 'balanced_accuracy': array([0.78111462, 0.72006058, 0.78338807, 0.68430233, 0.6503937 ]), 'average_precision': array([0.61343201, 0.55537289, 0.61639241, 0.4956419 , 0.45995395]), 'f1': array([0.73743017, 0.6779661 , 0.71724138, 0.57364341, 0.53731343]), 'precision': array([0.62264151, 0.58252427, 0.63414634, 0.53623188, 0.48648649]), 'recall': array([0.90410959, 0.81081081, 0.82539683, 0.61666667, 0.6       ])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Decision Tree,DecisionTreeClassifier_positive_permutation,"{'accuracy': array([0.75263158, 0.7       , 0.77094972, 0.70899471, 0.6684492 ]), 'balanced_accuracy': array([0.78111462, 0.72006058, 0.78338807, 0.68430233, 0.6503937 ]), 'average_precision': array([0.62119808, 0.55537289, 0.61639241, 0.4956419 , 0.45995395]), 'f1': array([0.73743017, 0.6779661 , 0.71724138, 0.57364341, 0.53731343]), 'precision': array([0.62264151, 0.58252427, 0.63414634, 0.53623188, 0.48648649]), 'recall': array([0.90410959, 0.81081081, 0.82539683, 0.61666667, 0.6       ])}","{'feature_set': 'positive_permutation', 'n_features': 4, 'features': ['inactive_ratio', '12_hour_day_activity', 'sd', '12_hour_night_activity'], 'feature_set_type': 'automatic'}"
