sample_type,classifier,feature,cluster
daily,Random Forest,mean,1
daily,Random Forest,sd,1
daily,Random Forest,inactive_ratio,1
daily,Random Forest,longest_inactivity,1
daily,Random Forest,12_hour_day_activity,1
daily,Random Forest,12_hour_night_activity,1
daily,Random Forest,mean_absolute_change_activity,1
daily,Random Forest,RA,1
daily,Random Forest,inactive_night,1
daily,Random Forest,activity_morning,1
daily,Random Forest,activity_evening,1
daily,Random Forest,activity_afternoon,1
daily,Random Forest,inactive_morning,1
daily,Random Forest,inactive_afternoon,1
daily,Random Forest,inactive_evening,1
daily,Random Forest,activity_night,2
daily,Random Forest,IV,3
daily,Random Forest,day_night_ratio,4
daily,Logistic Regression,mean,1
daily,Logistic Regression,sd,1
daily,Logistic Regression,inactive_ratio,1
daily,Logistic Regression,longest_inactivity,1
daily,Logistic Regression,12_hour_day_activity,1
daily,Logistic Regression,12_hour_night_activity,1
daily,Logistic Regression,mean_absolute_change_activity,1
daily,Logistic Regression,RA,1
daily,Logistic Regression,inactive_night,1
daily,Logistic Regression,activity_morning,1
daily,Logistic Regression,activity_evening,1
daily,Logistic Regression,activity_afternoon,1
daily,Logistic Regression,inactive_morning,1
daily,Logistic Regression,inactive_afternoon,1
daily,Logistic Regression,inactive_evening,1
daily,Logistic Regression,activity_night,2
daily,Logistic Regression,IV,3
daily,Logistic Regression,day_night_ratio,4
daily,Decision Tree,mean,1
daily,Decision Tree,sd,1
daily,Decision Tree,inactive_ratio,1
daily,Decision Tree,longest_inactivity,1
daily,Decision Tree,12_hour_day_activity,1
daily,Decision Tree,12_hour_night_activity,1
daily,Decision Tree,mean_absolute_change_activity,1
daily,Decision Tree,RA,1
daily,Decision Tree,inactive_night,1
daily,Decision Tree,activity_morning,1
daily,Decision Tree,activity_evening,1
daily,Decision Tree,activity_afternoon,1
daily,Decision Tree,inactive_morning,1
daily,Decision Tree,inactive_afternoon,1
daily,Decision Tree,inactive_evening,1
daily,Decision Tree,activity_night,2
daily,Decision Tree,IV,3
daily,Decision Tree,day_night_ratio,4
