sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
daily,Random Forest,manual_base,longest_inactivity,0.062,0.758,False,True,True
daily,Random Forest,manual_base,inactive_ratio,0.062,,False,False,False
daily,Random Forest,manual_base,day_night_ratio,0.047,0.093,False,False,False
daily,Random Forest,manual_base,sd,0.009,-0.276,False,False,False
daily,Random Forest,manual_base,mean_absolute_change_activity,0.009,-0.351,False,False,False
daily,Random Forest,manual_base,mean,0.0,-0.352,False,False,False
daily,Random Forest,manual_activity_rhythm,RA,0.009,0.499,False,False,False
daily,Random Forest,manual_activity_rhythm,IV,0.0,0.278,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_23,0.114,-0.252,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_2,0.113,-0.123,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_1,0.109,-0.123,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_19,0.108,-0.277,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_20,0.108,-0.225,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_18,0.107,-0.254,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_3,0.107,-0.111,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_21,0.104,-0.27,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_0,0.102,-0.154,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_17,0.101,-0.243,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_22,0.099,-0.287,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_4,0.099,-0.096,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_6,0.092,-0.183,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_5,0.091,-0.123,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_16,0.091,-0.27,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_7,0.078,-0.241,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_14,0.077,-0.243,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_15,0.076,-0.261,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_13,0.074,-0.26,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_12,0.067,-0.214,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_10,0.064,-0.205,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_8,0.063,-0.208,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_9,0.062,-0.189,False,False,False
daily,Random Forest,manual_hourly_activity,mean_activity_11,0.06,-0.189,False,False,False
daily,Random Forest,manual_six_hour_bins,inactive_night,0.101,0.656,False,False,False
daily,Random Forest,manual_six_hour_bins,inactive_morning,0.099,0.769,False,True,True
daily,Random Forest,manual_six_hour_bins,inactive_afternoon,0.094,0.823,False,True,True
daily,Random Forest,manual_six_hour_bins,inactive_evening,0.093,0.817,False,True,True
daily,Random Forest,manual_six_hour_bins,activity_night,0.07,-0.179,False,False,False
daily,Random Forest,manual_six_hour_bins,activity_evening,0.055,-0.328,False,False,False
daily,Random Forest,manual_six_hour_bins,activity_morning,0.034,-0.279,False,False,False
daily,Random Forest,manual_six_hour_bins,activity_afternoon,0.03,-0.307,False,False,False
daily,Random Forest,manual_full,is_constant_activity,0.991,-0.159,True,False,True
daily,Random Forest,manual_full,min,0.938,-0.421,True,False,True
daily,Random Forest,manual_full,median,0.22,-0.375,False,False,False
daily,Random Forest,manual_full,mean_activity_23,0.114,-0.252,False,False,False
daily,Random Forest,manual_full,mean_activity_2,0.113,-0.123,False,False,False
daily,Random Forest,manual_full,mean_activity_1,0.109,-0.123,False,False,False
daily,Random Forest,manual_full,mean_activity_20,0.108,-0.225,False,False,False
daily,Random Forest,manual_full,mean_activity_19,0.108,-0.277,False,False,False
daily,Random Forest,manual_full,mean_activity_3,0.107,-0.111,False,False,False
daily,Random Forest,manual_full,mean_activity_18,0.107,-0.254,False,False,False
daily,Random Forest,manual_full,mean_activity_21,0.104,-0.27,False,False,False
daily,Random Forest,manual_full,mean_activity_0,0.102,-0.154,False,False,False
daily,Random Forest,manual_full,mean_activity_17,0.101,-0.243,False,False,False
daily,Random Forest,manual_full,inactive_night,0.101,0.656,False,False,False
daily,Random Forest,manual_full,mean_activity_22,0.099,-0.287,False,False,False
daily,Random Forest,manual_full,inactive_morning,0.099,0.769,False,True,True
daily,Random Forest,manual_full,mean_activity_4,0.099,-0.096,False,False,False
daily,Random Forest,manual_full,inactive_afternoon,0.094,0.823,False,True,True
daily,Random Forest,manual_full,inactive_evening,0.093,0.817,False,True,True
daily,Random Forest,manual_full,mean_activity_6,0.092,-0.183,False,False,False
daily,Random Forest,manual_full,mean_activity_16,0.091,-0.27,False,False,False
daily,Random Forest,manual_full,mean_activity_5,0.091,-0.123,False,False,False
daily,Random Forest,manual_full,mean_activity_7,0.078,-0.241,False,False,False
daily,Random Forest,manual_full,mean_activity_14,0.077,-0.243,False,False,False
daily,Random Forest,manual_full,mean_activity_15,0.076,-0.261,False,False,False
daily,Random Forest,manual_full,mean_activity_13,0.074,-0.26,False,False,False
daily,Random Forest,manual_full,activity_night,0.07,-0.179,False,False,False
daily,Random Forest,manual_full,mean_activity_12,0.067,-0.214,False,False,False
daily,Random Forest,manual_full,mean_activity_10,0.064,-0.205,False,False,False
daily,Random Forest,manual_full,mean_activity_8,0.063,-0.208,False,False,False
daily,Random Forest,manual_full,longest_inactivity,0.062,0.758,False,True,True
daily,Random Forest,manual_full,inactive_ratio,0.062,,False,False,False
daily,Random Forest,manual_full,mean_activity_9,0.062,-0.189,False,False,False
daily,Random Forest,manual_full,mean_activity_11,0.06,-0.189,False,False,False
daily,Random Forest,manual_full,activity_evening,0.055,-0.328,False,False,False
daily,Random Forest,manual_full,day_night_ratio,0.047,0.093,False,False,False
