sample_type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier_manual_base_remove_longest_inactivity,"{'accuracy': array([0.90526316, 0.77894737, 0.88826816, 0.71957672, 0.81283422]), 'balanced_accuracy': array([0.89216719, 0.77737651, 0.88840996, 0.70988372, 0.80944882]), 'average_precision': array([0.93308027, 0.83895225, 0.90199413, 0.67568183, 0.77984656]), 'f1': array([0.87142857, 0.73076923, 0.84848485, 0.60740741, 0.73282443]), 'precision': array([0.91044776, 0.69512195, 0.8115942 , 0.54666667, 0.67605634]), 'recall': array([0.83561644, 0.77027027, 0.88888889, 0.68333333, 0.8       ])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_base', 'feature_set_type': 'ablation', 'feature_removed': 'longest_inactivity', 'n_features': 5, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'mean_absolute_change_activity']}"
daily,Random Forest,RandomForestClassifier_manual_base_remove_inactive_ratio,"{'accuracy': array([0.90526316, 0.8       , 0.87709497, 0.75661376, 0.8342246 ]), 'balanced_accuracy': array([0.90247044, 0.79706431, 0.87253695, 0.74147287, 0.82519685]), 'average_precision': array([0.95013315, 0.82831838, 0.90971375, 0.67401593, 0.81888646]), 'f1': array([0.87837838, 0.75324675, 0.83076923, 0.64615385, 0.75590551]), 'precision': array([0.86666667, 0.725     , 0.80597015, 0.6       , 0.71641791]), 'recall': array([0.89041096, 0.78378378, 0.85714286, 0.7       , 0.8       ])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_base', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_ratio', 'n_features': 5, 'features': ['mean', 'sd', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity']}"
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_morning,"{'accuracy': array([0.84210526, 0.8       , 0.84916201, 0.7989418 , 0.81283422]), 'balanced_accuracy': array([0.84346095, 0.78972507, 0.85098522, 0.79031008, 0.78307087]), 'average_precision': array([0.89004427, 0.82148946, 0.88864453, 0.65926164, 0.78369113]), 'f1': array([0.80519481, 0.74324324, 0.8       , 0.70769231, 0.70588235]), 'precision': array([0.7654321 , 0.74324324, 0.75      , 0.65714286, 0.71186441]), 'recall': array([0.84931507, 0.74324324, 0.85714286, 0.76666667, 0.7       ])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_morning', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_afternoon', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_afternoon,"{'accuracy': array([0.84736842, 0.78421053, 0.84916201, 0.78306878, 0.80748663]), 'balanced_accuracy': array([0.84515865, 0.77924045, 0.85098522, 0.77422481, 0.78353018]), 'average_precision': array([0.92530123, 0.83053544, 0.91360725, 0.68084615, 0.77881572]), 'f1': array([0.80794702, 0.73202614, 0.8       , 0.6870229 , 0.70491803]), 'precision': array([0.78205128, 0.70886076, 0.75      , 0.63380282, 0.69354839]), 'recall': array([0.83561644, 0.75675676, 0.85714286, 0.75      , 0.71666667])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_afternoon', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_evening,"{'accuracy': array([0.83157895, 0.77368421, 0.8603352 , 0.75132275, 0.80748663]), 'balanced_accuracy': array([0.81945908, 0.77061976, 0.85960591, 0.74651163, 0.78792651]), 'average_precision': array([0.91271822, 0.80273584, 0.90995546, 0.66887386, 0.75875062]), 'f1': array([0.77777778, 0.72258065, 0.81203008, 0.65185185, 0.70967742]), 'precision': array([0.78873239, 0.69135802, 0.77142857, 0.58666667, 0.6875    ]), 'recall': array([0.76712329, 0.75675676, 0.85714286, 0.73333333, 0.73333333])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon']}"
daily,Random Forest,RandomForestClassifier_manual_full_remove_is_constant_activity,"{'accuracy': array([0.90526316, 0.78947368, 0.87150838, 0.76719577, 0.82352941]), 'balanced_accuracy': array([0.89989463, 0.78844362, 0.87185276, 0.75368217, 0.80853018]), 'average_precision': array([0.94901315, 0.85301159, 0.9239277 , 0.70399963, 0.78544884]), 'f1': array([0.87671233, 0.74358974, 0.82706767, 0.66153846, 0.736     ]), 'precision': array([0.87671233, 0.70731707, 0.78571429, 0.61428571, 0.70769231]), 'recall': array([0.87671233, 0.78378378, 0.87301587, 0.71666667, 0.76666667])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'is_constant_activity', 'n_features': 45, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_full_remove_min,"{'accuracy': array([0.9       , 0.81578947, 0.89385475, 0.76190476, 0.82887701]), 'balanced_accuracy': array([0.89304531, 0.80999534, 0.89272031, 0.7498062 , 0.81686352]), 'average_precision': array([0.9572196 , 0.8607047 , 0.93134425, 0.70412324, 0.79656866]), 'f1': array([0.86896552, 0.76821192, 0.85496183, 0.65648855, 0.74603175]), 'precision': array([0.875     , 0.75324675, 0.82352941, 0.6056338 , 0.71212121]), 'recall': array([0.8630137 , 0.78378378, 0.88888889, 0.71666667, 0.78333333])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'min', 'n_features': 45, 'features': ['max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_morning,"{'accuracy': array([0.89473684, 0.80526316, 0.87709497, 0.76719577, 0.83957219]), 'balanced_accuracy': array([0.88877181, 0.80382106, 0.87616311, 0.7625969 , 0.83353018]), 'average_precision': array([0.95260076, 0.84975258, 0.92451997, 0.68554875, 0.7739177 ]), 'f1': array([0.8630137 , 0.76129032, 0.83333333, 0.67164179, 0.765625  ]), 'precision': array([0.8630137 , 0.72839506, 0.79710145, 0.60810811, 0.72058824]), 'recall': array([0.8630137 , 0.7972973 , 0.87301587, 0.75      , 0.81666667])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_morning', 'n_features': 45, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_afternoon', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_afternoon,"{'accuracy': array([0.89473684, 0.82105263, 0.88268156, 0.76719577, 0.82887701]), 'balanced_accuracy': array([0.88877181, 0.8167521 , 0.88409962, 0.7625969 , 0.81686352]), 'average_precision': array([0.95280773, 0.85498208, 0.93019646, 0.71011221, 0.78054368]), 'f1': array([0.8630137 , 0.77631579, 0.84210526, 0.67164179, 0.74603175]), 'precision': array([0.8630137 , 0.75641026, 0.8       , 0.60810811, 0.71212121]), 'recall': array([0.8630137 , 0.7972973 , 0.88888889, 0.75      , 0.78333333])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_afternoon', 'n_features': 45, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_evening']}"
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_evening,"{'accuracy': array([0.89473684, 0.80526316, 0.89944134, 0.76719577, 0.81818182]), 'balanced_accuracy': array([0.886196  , 0.80382106, 0.89703065, 0.76705426, 0.80459318]), 'average_precision': array([0.94637314, 0.84677196, 0.93113852, 0.70296057, 0.79336958]), 'f1': array([0.86111111, 0.76129032, 0.86153846, 0.67647059, 0.73015873]), 'precision': array([0.87323944, 0.72839506, 0.8358209 , 0.60526316, 0.6969697 ]), 'recall': array([0.84931507, 0.7972973 , 0.88888889, 0.76666667, 0.76666667])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 45, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon']}"
