sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
daily,Random Forest,RandomForestClassifier_manual_base_remove_longest_inactivity,manual_base,ablation,5,0.821,0.069,0.815,0.069,0.826,0.092,0.758,0.095,0.728,0.124,0.796,0.069
daily,Random Forest,RandomForestClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,5,0.835,0.053,0.828,0.057,0.836,0.095,0.773,0.079,0.743,0.09,0.806,0.066
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.821,0.021,0.812,0.029,0.809,0.085,0.752,0.043,0.726,0.038,0.783,0.061
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.814,0.029,0.807,0.034,0.826,0.09,0.746,0.049,0.714,0.051,0.783,0.054
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.805,0.039,0.797,0.039,0.811,0.093,0.735,0.056,0.705,0.072,0.77,0.046
daily,Random Forest,RandomForestClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,45,0.831,0.051,0.824,0.054,0.843,0.09,0.769,0.075,0.738,0.088,0.803,0.062
daily,Random Forest,RandomForestClassifier_manual_full_remove_min,manual_full,ablation,45,0.84,0.052,0.832,0.055,0.85,0.092,0.779,0.078,0.754,0.093,0.807,0.062
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_morning,manual_full,ablation,45,0.837,0.047,0.833,0.046,0.837,0.098,0.779,0.066,0.743,0.085,0.82,0.045
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,45,0.839,0.046,0.834,0.047,0.846,0.091,0.78,0.069,0.748,0.086,0.817,0.052
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_evening,manual_full,ablation,45,0.837,0.052,0.832,0.051,0.844,0.09,0.778,0.073,0.748,0.097,0.814,0.048
daily,Random Forest,RandomForestClassifier_manual_full_remove_longest_inactivity,manual_full,ablation,45,0.826,0.05,0.818,0.053,0.839,0.093,0.761,0.075,0.734,0.09,0.791,0.062
daily,Random Forest,RandomForestClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,45,0.838,0.045,0.832,0.046,0.845,0.091,0.778,0.066,0.748,0.087,0.814,0.049
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,17,0.826,0.045,0.82,0.049,0.845,0.095,0.762,0.069,0.728,0.077,0.801,0.062
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,17,0.825,0.045,0.817,0.049,0.845,0.096,0.759,0.071,0.73,0.083,0.791,0.059
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,17,0.828,0.056,0.82,0.058,0.841,0.095,0.764,0.082,0.738,0.101,0.795,0.062
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_longest_inactivity,automatic_all_candidates,ablation,17,0.822,0.05,0.815,0.053,0.84,0.095,0.757,0.075,0.724,0.084,0.794,0.064
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,17,0.832,0.049,0.826,0.052,0.847,0.096,0.771,0.072,0.736,0.081,0.81,0.061
daily,Random Forest,RandomForestClassifier_automatic_positive_permutation_remove_longest_inactivity,automatic_positive_permutation,ablation,3,0.816,0.055,0.819,0.054,0.796,0.118,0.761,0.071,0.703,0.087,0.83,0.049
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_morning,automatic_rfecv_selected,ablation,12,0.82,0.051,0.812,0.054,0.833,0.104,0.753,0.077,0.723,0.092,0.789,0.062
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,12,0.826,0.064,0.818,0.065,0.836,0.1,0.762,0.091,0.737,0.118,0.792,0.068
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_longest_inactivity,automatic_rfecv_selected,ablation,12,0.833,0.066,0.824,0.066,0.836,0.102,0.77,0.092,0.748,0.12,0.797,0.065
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_ratio,automatic_rfecv_selected,ablation,12,0.831,0.056,0.826,0.056,0.844,0.099,0.771,0.079,0.74,0.102,0.807,0.053
daily,Logistic Regression,LogisticRegression_manual_base_remove_longest_inactivity,manual_base,ablation,5,0.731,0.07,0.741,0.072,0.583,0.103,0.666,0.077,0.604,0.09,0.76,0.123
