sample_type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier_manual_base_baseline,"{'accuracy': array([0.90526316, 0.78947368, 0.8547486 , 0.73544974, 0.82887701]), 'balanced_accuracy': array([0.89989463, 0.7859972 , 0.85529557, 0.73042636, 0.82565617]), 'average_precision': array([0.94504307, 0.8352348 , 0.89823234, 0.66023881, 0.83024188]), 'f1': array([0.87671233, 0.74025974, 0.80597015, 0.63235294, 0.75384615]), 'precision': array([0.87671233, 0.7125    , 0.76056338, 0.56578947, 0.7       ]), 'recall': array([0.87671233, 0.77027027, 0.85714286, 0.71666667, 0.81666667])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_base', 'feature_set_type': 'inactivity_baseline', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity']}"
daily,Random Forest,RandomForestClassifier_manual_base_shuffled_y,"{'accuracy': array([0.53645833, 0.52910053, 0.50543478, 0.51396648, 0.53926702]), 'balanced_accuracy': array([0.49188371, 0.48373984, 0.475     , 0.52165512, 0.46801769]), 'average_precision': array([0.39131068, 0.41599681, 0.36324024, 0.3993063 , 0.35720256]), 'f1': array([0.34074074, 0.33082707, 0.34532374, 0.45962733, 0.25423729]), 'precision': array([0.32857143, 0.32835821, 0.32      , 0.39361702, 0.3       ]), 'recall': array([0.35384615, 0.33333333, 0.375     , 0.55223881, 0.22058824])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_base_inactivity_reduced,"{'accuracy': array([0.90526316, 0.76842105, 0.89385475, 0.76190476, 0.82352941]), 'balanced_accuracy': array([0.89989463, 0.76875582, 0.89272031, 0.75872093, 0.82611549]), 'average_precision': array([0.94100866, 0.82230285, 0.92654423, 0.67462985, 0.74239313]), 'f1': array([0.87671233, 0.72151899, 0.85496183, 0.66666667, 0.7518797 ]), 'precision': array([0.87671233, 0.67857143, 0.82352941, 0.6       , 0.68493151]), 'recall': array([0.87671233, 0.77027027, 0.88888889, 0.75      , 0.83333333])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_base', 'feature_set_type': 'inactivity_reduced', 'removed_features': ['longest_inactivity', 'inactive_ratio'], 'n_features': 4, 'features': ['mean', 'sd', 'day_night_ratio', 'mean_absolute_change_activity']}"
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_baseline,"{'accuracy': array([0.70526316, 0.61578947, 0.66480447, 0.67195767, 0.57754011]), 'balanced_accuracy': array([0.71689498, 0.58504194, 0.64347291, 0.64379845, 0.59225722]), 'average_precision': array([0.66330277, 0.52456701, 0.47421555, 0.55201809, 0.44918028]), 'f1': array([0.66666667, 0.47482014, 0.54545455, 0.52307692, 0.49032258]), 'precision': array([0.58947368, 0.50769231, 0.52173913, 0.48571429, 0.4       ]), 'recall': array([0.76712329, 0.44594595, 0.57142857, 0.56666667, 0.63333333])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'inactivity_baseline', 'n_features': 2, 'features': ['IV', 'RA']}"
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_shuffled_y,"{'accuracy': array([0.59375   , 0.56613757, 0.5326087 , 0.52513966, 0.55497382]), 'balanced_accuracy': array([0.55021199, 0.4876201 , 0.49947917, 0.50359808, 0.49336442]), 'average_precision': array([0.37863359, 0.31662466, 0.36254139, 0.43449171, 0.35337788]), 'f1': array([0.40909091, 0.26785714, 0.36764706, 0.39716312, 0.30894309]), 'precision': array([0.40298507, 0.32608696, 0.34722222, 0.37837838, 0.34545455]), 'recall': array([0.41538462, 0.22727273, 0.390625  , 0.41791045, 0.27941176])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 2, 'features': ['IV', 'RA'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_inactivity_reduced,"{'accuracy': array([0.70526316, 0.61578947, 0.66480447, 0.67195767, 0.57754011]), 'balanced_accuracy': array([0.71689498, 0.58504194, 0.64347291, 0.64379845, 0.59225722]), 'average_precision': array([0.66330277, 0.52456701, 0.47421555, 0.55201809, 0.44918028]), 'f1': array([0.66666667, 0.47482014, 0.54545455, 0.52307692, 0.49032258]), 'precision': array([0.58947368, 0.50769231, 0.52173913, 0.48571429, 0.4       ]), 'recall': array([0.76712329, 0.44594595, 0.57142857, 0.56666667, 0.63333333])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'inactivity_reduced', 'removed_features': [], 'n_features': 2, 'features': ['IV', 'RA']}"
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_baseline,"{'accuracy': array([0.88947368, 0.8       , 0.84916201, 0.7989418 , 0.82352941]), 'balanced_accuracy': array([0.87419506, 0.79706431, 0.84735906, 0.80813953, 0.80853018]), 'average_precision': array([0.91104524, 0.83288489, 0.91744868, 0.71109408, 0.75679924]), 'f1': array([0.84892086, 0.75324675, 0.79699248, 0.72463768, 0.736     ]), 'precision': array([0.89393939, 0.725     , 0.75714286, 0.64102564, 0.70769231]), 'recall': array([0.80821918, 0.78378378, 0.84126984, 0.83333333, 0.76666667])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'inactivity_baseline', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23']}"
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_shuffled_y,"{'accuracy': array([0.58854167, 0.59259259, 0.60869565, 0.51955307, 0.56544503]), 'balanced_accuracy': array([0.53876439, 0.54305248, 0.5796875 , 0.49613539, 0.5047824 ]), 'average_precision': array([0.44835428, 0.38299949, 0.42451881, 0.35989104, 0.38028764]), 'f1': array([0.3875969 , 0.39370079, 0.46268657, 0.38571429, 0.32520325]), 'precision': array([0.390625  , 0.40983607, 0.44285714, 0.36986301, 0.36363636]), 'recall': array([0.38461538, 0.37878788, 0.484375  , 0.40298507, 0.29411765])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_inactivity_reduced,"{'accuracy': array([0.88947368, 0.8       , 0.84916201, 0.7989418 , 0.82352941]), 'balanced_accuracy': array([0.87419506, 0.79706431, 0.84735906, 0.80813953, 0.80853018]), 'average_precision': array([0.91104524, 0.83288489, 0.91744868, 0.71109408, 0.75679924]), 'f1': array([0.84892086, 0.75324675, 0.79699248, 0.72463768, 0.736     ]), 'precision': array([0.89393939, 0.725     , 0.75714286, 0.64102564, 0.70769231]), 'recall': array([0.80821918, 0.78378378, 0.84126984, 0.83333333, 0.76666667])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'inactivity_reduced', 'removed_features': [], 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23']}"
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_baseline,"{'accuracy': array([0.85263158, 0.79473684, 0.8603352 , 0.7989418 , 0.80213904]), 'balanced_accuracy': array([0.84943215, 0.78786114, 0.85960591, 0.78585271, 0.7839895 ]), 'average_precision': array([0.92458457, 0.82960813, 0.91279586, 0.67906059, 0.78574662]), 'f1': array([0.81333333, 0.74172185, 0.81203008, 0.703125  , 0.704     ]), 'precision': array([0.79220779, 0.72727273, 0.77142857, 0.66176471, 0.67692308]), 'recall': array([0.83561644, 0.75675676, 0.85714286, 0.75      , 0.73333333])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'inactivity_baseline', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
