sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
daily,Random Forest,RandomForestClassifier_manual_base_baseline,manual_base,inactivity_baseline,6,0.823,0.058,0.819,0.058,0.834,0.097,0.762,0.081,0.723,0.1,0.807,0.058
daily,Random Forest,RandomForestClassifier_manual_base_shuffled_y,manual_base,shuffled_y,6,0.525,0.013,0.488,0.019,0.385,0.022,0.346,0.066,0.334,0.032,0.367,0.107
daily,Random Forest,RandomForestClassifier_manual_base_inactivity_reduced,manual_base,inactivity_reduced,4,0.831,0.06,0.829,0.059,0.821,0.103,0.774,0.08,0.733,0.102,0.824,0.056
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,2,0.647,0.045,0.636,0.047,0.533,0.075,0.54,0.068,0.501,0.061,0.597,0.105
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,2,0.555,0.025,0.507,0.022,0.369,0.038,0.35,0.054,0.36,0.027,0.346,0.078
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,2,0.647,0.045,0.636,0.047,0.533,0.075,0.54,0.068,0.501,0.061,0.597,0.105
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.832,0.034,0.827,0.029,0.826,0.082,0.772,0.046,0.745,0.084,0.807,0.028
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.575,0.031,0.532,0.03,0.399,0.032,0.391,0.044,0.395,0.029,0.389,0.061
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.832,0.034,0.827,0.029,0.826,0.082,0.772,0.046,0.745,0.084,0.807,0.028
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.822,0.029,0.813,0.034,0.826,0.09,0.755,0.049,0.726,0.051,0.787,0.05
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.547,0.03,0.524,0.021,0.386,0.019,0.408,0.047,0.38,0.024,0.449,0.095
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,5,0.816,0.031,0.808,0.032,0.798,0.095,0.75,0.044,0.716,0.051,0.787,0.039
daily,Random Forest,RandomForestClassifier_manual_full_baseline,manual_full,inactivity_baseline,46,0.833,0.054,0.828,0.054,0.844,0.091,0.773,0.076,0.739,0.097,0.814,0.053
daily,Random Forest,RandomForestClassifier_manual_full_shuffled_y,manual_full,shuffled_y,46,0.562,0.042,0.512,0.03,0.4,0.038,0.358,0.027,0.374,0.04,0.346,0.03
daily,Random Forest,RandomForestClassifier_manual_full_inactivity_reduced,manual_full,inactivity_reduced,39,0.834,0.052,0.829,0.05,0.819,0.111,0.775,0.07,0.744,0.097,0.812,0.045
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,18,0.821,0.045,0.813,0.049,0.847,0.096,0.754,0.07,0.723,0.078,0.788,0.061
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,18,0.552,0.025,0.51,0.034,0.388,0.035,0.366,0.06,0.364,0.049,0.369,0.073
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,13,0.834,0.049,0.829,0.049,0.82,0.106,0.774,0.068,0.742,0.086,0.812,0.049
daily,Random Forest,RandomForestClassifier_automatic_positive_permutation_baseline,automatic_positive_permutation,inactivity_baseline,4,0.825,0.053,0.823,0.051,0.831,0.111,0.767,0.071,0.723,0.089,0.819,0.047
daily,Random Forest,RandomForestClassifier_automatic_positive_permutation_shuffled_y,automatic_positive_permutation,shuffled_y,4,0.548,0.06,0.519,0.056,0.413,0.054,0.392,0.086,0.376,0.085,0.42,0.111
daily,Random Forest,RandomForestClassifier_automatic_positive_permutation_inactivity_reduced,automatic_positive_permutation,inactivity_reduced,3,0.816,0.055,0.819,0.054,0.796,0.118,0.761,0.071,0.703,0.087,0.83,0.049
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_baseline,automatic_rfecv_selected,inactivity_baseline,13,0.832,0.049,0.824,0.053,0.833,0.114,0.768,0.077,0.741,0.088,0.797,0.066
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_shuffled_y,automatic_rfecv_selected,shuffled_y,13,0.561,0.032,0.532,0.036,0.4,0.03,0.408,0.066,0.388,0.043,0.436,0.106
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_inactivity_reduced,automatic_rfecv_selected,inactivity_reduced,9,0.82,0.06,0.815,0.06,0.8,0.118,0.757,0.085,0.723,0.107,0.798,0.06
daily,Logistic Regression,LogisticRegression_manual_base_baseline,manual_base,inactivity_baseline,6,0.787,0.061,0.79,0.06,0.751,0.094,0.725,0.072,0.675,0.096,0.79,0.072
daily,Logistic Regression,LogisticRegression_manual_base_shuffled_y,manual_base,shuffled_y,6,0.472,0.022,0.487,0.021,0.359,0.016,0.415,0.051,0.34,0.023,0.541,0.118
daily,Logistic Regression,LogisticRegression_manual_base_inactivity_reduced,manual_base,inactivity_reduced,4,0.637,0.099,0.665,0.104,0.66,0.099,0.595,0.09,0.495,0.08,0.751,0.127
daily,Logistic Regression,LogisticRegression_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,2,0.559,0.056,0.583,0.051,0.455,0.08,0.515,0.055,0.424,0.066,0.662,0.052
daily,Logistic Regression,LogisticRegression_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,2,0.568,0.059,0.501,0.048,0.378,0.033,0.305,0.074,0.362,0.082,0.273,0.085
daily,Logistic Regression,LogisticRegression_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,2,0.559,0.056,0.583,0.051,0.455,0.08,0.515,0.055,0.424,0.066,0.662,0.052
