sample_type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier_manual_base_shuffled_y,"{'accuracy': array([0.53645833, 0.52910053, 0.50543478, 0.51396648, 0.53926702]), 'balanced_accuracy': array([0.49188371, 0.48373984, 0.475     , 0.52165512, 0.46801769]), 'average_precision': array([0.39131068, 0.41599681, 0.36324024, 0.3993063 , 0.35720256]), 'f1': array([0.34074074, 0.33082707, 0.34532374, 0.45962733, 0.25423729]), 'precision': array([0.32857143, 0.32835821, 0.32      , 0.39361702, 0.3       ]), 'recall': array([0.35384615, 0.33333333, 0.375     , 0.55223881, 0.22058824])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_activity_rhythm_shuffled_y,"{'accuracy': array([0.59375   , 0.56613757, 0.5326087 , 0.52513966, 0.55497382]), 'balanced_accuracy': array([0.55021199, 0.4876201 , 0.49947917, 0.50359808, 0.49336442]), 'average_precision': array([0.37863359, 0.31662466, 0.36254139, 0.43449171, 0.35337788]), 'f1': array([0.40909091, 0.26785714, 0.36764706, 0.39716312, 0.30894309]), 'precision': array([0.40298507, 0.32608696, 0.34722222, 0.37837838, 0.34545455]), 'recall': array([0.41538462, 0.22727273, 0.390625  , 0.41791045, 0.27941176])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 2, 'features': ['IV', 'RA'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_hourly_activity_shuffled_y,"{'accuracy': array([0.58854167, 0.59259259, 0.60869565, 0.51955307, 0.56544503]), 'balanced_accuracy': array([0.53876439, 0.54305248, 0.5796875 , 0.49613539, 0.5047824 ]), 'average_precision': array([0.44835428, 0.38299949, 0.42451881, 0.35989104, 0.38028764]), 'f1': array([0.3875969 , 0.39370079, 0.46268657, 0.38571429, 0.32520325]), 'precision': array([0.390625  , 0.40983607, 0.44285714, 0.36986301, 0.36363636]), 'recall': array([0.38461538, 0.37878788, 0.484375  , 0.40298507, 0.29411765])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_six_hour_bins_shuffled_y,"{'accuracy': array([0.55729167, 0.51851852, 0.5923913 , 0.50837989, 0.56020942]), 'balanced_accuracy': array([0.50387644, 0.53529194, 0.55989583, 0.50819563, 0.51386896]), 'average_precision': array([0.41223885, 0.38756569, 0.36496862, 0.39934854, 0.36589707]), 'f1': array([0.34108527, 0.46153846, 0.43609023, 0.43589744, 0.36363636]), 'precision': array([0.34375   , 0.37864078, 0.42028986, 0.38202247, 0.375     ]), 'recall': array([0.33846154, 0.59090909, 0.453125  , 0.50746269, 0.35294118])}","{'analysis': 'validation_check', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'shuffled_y', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_manual_full_shuffled_y,"{'accuracy': array([0.63020833, 0.53439153, 0.55434783, 0.50837989, 0.58115183]), 'balanced_accuracy': array([0.56650515, 0.48429416, 0.50520833, 0.48420842, 0.52026542]), 'average_precision': array([0.47222294, 0.36825577, 0.36922274, 0.39758183, 0.39448856]), 'f1': array([0.40336134, 0.32307692, 0.34920635, 0.37142857, 0.3442623 ]), 'precision': array([0.44444444, 0.328125  , 0.35483871, 0.35616438, 0.38888889]), 'recall': array([0.36923077, 0.31818182, 0.34375   , 0.3880597 , 0.30882353])}","{'analysis': 'validation_check', 'feature_set': 'manual_full', 'feature_set_type': 'shuffled_y', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_automatic_all_candidates_shuffled_y,"{'accuracy': array([0.56770833, 0.51851852, 0.53804348, 0.59217877, 0.54450262]), 'balanced_accuracy': array([0.50423985, 0.47560976, 0.5       , 0.57515991, 0.49509804]), 'average_precision': array([0.41634469, 0.37564089, 0.34784972, 0.4398865 , 0.36124399]), 'f1': array([0.32520325, 0.32592593, 0.36090226, 0.4822695 , 0.33587786]), 'precision': array([0.34482759, 0.31884058, 0.34782609, 0.45945946, 0.34920635]), 'recall': array([0.30769231, 0.33333333, 0.375     , 0.50746269, 0.32352941])}","{'analysis': 'validation_check', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'shuffled_y', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_automatic_positive_permutation_shuffled_y,"{'accuracy': array([0.55729167, 0.66137566, 0.50543478, 0.51396648, 0.5026178 ]), 'balanced_accuracy': array([0.53016354, 0.60994087, 0.50052083, 0.51565832, 0.43627451]), 'average_precision': array([0.42633589, 0.50565296, 0.36072656, 0.41317591, 0.35795645]), 'f1': array([0.40559441, 0.47540984, 0.40522876, 0.44585987, 0.22764228]), 'precision': array([0.37179487, 0.51785714, 0.34831461, 0.38888889, 0.25454545]), 'recall': array([0.44615385, 0.43939394, 0.484375  , 0.52238806, 0.20588235])}","{'analysis': 'validation_check', 'feature_set': 'automatic_positive_permutation', 'feature_set_type': 'shuffled_y', 'n_features': 4, 'features': ['12_hour_night_activity', 'sd', 'RA', 'longest_inactivity'], 'shuffled_y': True}"
daily,Random Forest,RandomForestClassifier_automatic_rfecv_selected_shuffled_y,"{'accuracy': array([0.609375  , 0.58201058, 0.53804348, 0.55865922, 0.51832461]), 'balanced_accuracy': array([0.54700182, 0.55949741, 0.5109375 , 0.56936301, 0.47148494]), 'average_precision': array([0.4147803 , 0.4354928 , 0.35704728, 0.42206137, 0.37249922]), 'f1': array([0.38016529, 0.44755245, 0.38848921, 0.50931677, 0.31343284]), 'precision': array([0.41071429, 0.41558442, 0.36      , 0.43617021, 0.31818182]), 'recall': array([0.35384615, 0.48484848, 0.421875  , 0.6119403 , 0.30882353])}","{'analysis': 'validation_check', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'shuffled_y', 'n_features': 13, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'RA', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_evening'], 'shuffled_y': True}"
daily,Logistic Regression,LogisticRegression_manual_base_shuffled_y,"{'accuracy': array([0.51041667, 0.47089947, 0.45652174, 0.47486034, 0.44502618]), 'balanced_accuracy': array([0.47219867, 0.52679231, 0.4703125 , 0.48440832, 0.48033238]), 'average_precision': array([0.35203922, 0.3744425 , 0.33581528, 0.37883838, 0.35496461]), 'f1': array([0.32857143, 0.48453608, 0.39759036, 0.42682927, 0.43617021]), 'precision': array([0.30666667, 0.3671875 , 0.32352941, 0.36082474, 0.34166667]), 'recall': array([0.35384615, 0.71212121, 0.515625  , 0.52238806, 0.60294118])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'shuffled_y': True}"
daily,Logistic Regression,LogisticRegression_manual_activity_rhythm_shuffled_y,"{'accuracy': array([0.63541667, 0.47619048, 0.60869565, 0.59776536, 0.52356021]), 'balanced_accuracy': array([0.54415506, 0.44660015, 0.5140625 , 0.55563699, 0.44267097]), 'average_precision': array([0.39119117, 0.37380174, 0.3574452 , 0.4327846 , 0.33411841]), 'f1': array([0.32692308, 0.31724138, 0.26530612, 0.41935484, 0.19469027]), 'precision': array([0.43589744, 0.29113924, 0.38235294, 0.45614035, 0.24444444]), 'recall': array([0.26153846, 0.34848485, 0.203125  , 0.3880597 , 0.16176471])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 2, 'features': ['IV', 'RA'], 'shuffled_y': True}"
