sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.819,0.636,0.183,0.051,5,0,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.819,0.827,-0.008,0.037,3,2,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.819,0.813,0.006,0.038,2,3,0
daily,Random Forest,RandomForestClassifier_base,RandomForestClassifier_full,base,full,balanced_accuracy,0.819,0.828,-0.009,0.015,2,3,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.636,0.827,-0.191,0.025,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.636,0.813,-0.177,0.034,0,5,0
daily,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_full,activity_rhythm,full,balanced_accuracy,0.636,0.828,-0.192,0.047,0,5,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.827,0.813,0.014,0.014,4,1,0
daily,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_full,hourly_activity,full,balanced_accuracy,0.827,0.828,-0.001,0.032,1,3,1
daily,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_full,six_hour_bins,full,balanced_accuracy,0.813,0.828,-0.015,0.027,1,4,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.79,0.583,0.206,0.061,5,0,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_hourly_activity,base,hourly_activity,balanced_accuracy,0.79,0.687,0.103,0.04,5,0,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.79,0.719,0.071,0.041,4,1,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_full,base,full,balanced_accuracy,0.79,0.831,-0.042,0.039,1,4,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.583,0.687,-0.103,0.058,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.583,0.719,-0.136,0.076,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_full,activity_rhythm,full,balanced_accuracy,0.583,0.831,-0.248,0.045,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.687,0.719,-0.032,0.053,2,3,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_full,hourly_activity,full,balanced_accuracy,0.687,0.831,-0.145,0.037,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_full,six_hour_bins,full,balanced_accuracy,0.719,0.831,-0.112,0.065,0,5,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.736,0.605,0.131,0.082,5,0,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.736,0.686,0.051,0.035,4,1,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.736,0.719,0.017,0.056,2,3,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_full,base,full,balanced_accuracy,0.736,0.721,0.016,0.034,3,2,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.605,0.686,-0.081,0.055,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.605,0.719,-0.114,0.09,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_full,activity_rhythm,full,balanced_accuracy,0.605,0.721,-0.116,0.079,0,5,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.686,0.719,-0.034,0.058,2,3,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_full,hourly_activity,full,balanced_accuracy,0.686,0.721,-0.035,0.048,1,4,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_full,six_hour_bins,full,balanced_accuracy,0.719,0.721,-0.001,0.04,3,2,0
