sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,rank
daily,Random Forest,RandomForestClassifier_full,full,manual,46,0.833,0.054,0.828,0.054,0.844,0.091,0.773,0.076,0.739,0.097,0.814,0.053,1
daily,Random Forest,RandomForestClassifier_hourly_activity,hourly_activity,manual,24,0.832,0.034,0.827,0.029,0.826,0.082,0.772,0.046,0.745,0.084,0.807,0.028,2
daily,Random Forest,RandomForestClassifier_base,base,manual,6,0.823,0.058,0.819,0.058,0.834,0.097,0.762,0.081,0.723,0.1,0.807,0.058,3
daily,Random Forest,RandomForestClassifier_six_hour_bins,six_hour_bins,manual,8,0.822,0.029,0.813,0.034,0.826,0.09,0.755,0.049,0.726,0.051,0.787,0.05,4
daily,Random Forest,RandomForestClassifier_activity_rhythm,activity_rhythm,manual,2,0.647,0.045,0.636,0.047,0.533,0.075,0.54,0.068,0.501,0.061,0.597,0.105,5
daily,Logistic Regression,LogisticRegression_full,full,manual,46,0.826,0.068,0.831,0.067,0.807,0.064,0.773,0.087,0.721,0.102,0.842,0.089,1
daily,Logistic Regression,LogisticRegression_base,base,manual,6,0.787,0.061,0.79,0.06,0.751,0.094,0.725,0.072,0.675,0.096,0.79,0.072,2
daily,Logistic Regression,LogisticRegression_six_hour_bins,six_hour_bins,manual,8,0.71,0.046,0.719,0.048,0.62,0.109,0.644,0.061,0.569,0.068,0.747,0.066,3
daily,Logistic Regression,LogisticRegression_hourly_activity,hourly_activity,manual,24,0.655,0.045,0.687,0.051,0.585,0.088,0.618,0.057,0.506,0.049,0.795,0.081,4
daily,Logistic Regression,LogisticRegression_activity_rhythm,activity_rhythm,manual,2,0.559,0.056,0.583,0.051,0.455,0.08,0.515,0.055,0.424,0.066,0.662,0.052,5
daily,Decision Tree,DecisionTreeClassifier_base,base,manual,6,0.735,0.04,0.736,0.042,0.569,0.053,0.665,0.066,0.604,0.069,0.764,0.144,1
daily,Decision Tree,DecisionTreeClassifier_full,full,manual,46,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123,2
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,six_hour_bins,manual,8,0.704,0.045,0.719,0.043,0.534,0.081,0.647,0.064,0.557,0.066,0.777,0.069,3
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,hourly_activity,manual,24,0.657,0.027,0.686,0.031,0.483,0.044,0.611,0.041,0.511,0.047,0.773,0.091,4
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,activity_rhythm,manual,2,0.577,0.084,0.605,0.079,0.41,0.048,0.534,0.076,0.443,0.077,0.69,0.127,5
