sample_type,classifier,feature,selected,ranking
daily,Random Forest,mean,True,1
daily,Random Forest,sd,True,1
daily,Random Forest,inactive_ratio,True,1
daily,Random Forest,longest_inactivity,True,1
daily,Random Forest,12_hour_day_activity,True,1
daily,Random Forest,12_hour_night_activity,True,1
daily,Random Forest,day_night_ratio,True,1
daily,Random Forest,mean_absolute_change_activity,True,1
daily,Random Forest,RA,True,1
daily,Random Forest,inactive_morning,True,1
daily,Random Forest,activity_evening,True,1
daily,Random Forest,activity_afternoon,True,1
daily,Random Forest,inactive_evening,True,1
daily,Random Forest,inactive_night,False,2
daily,Random Forest,IV,False,3
daily,Random Forest,activity_morning,False,4
daily,Random Forest,inactive_afternoon,False,5
daily,Random Forest,activity_night,False,6
daily,Logistic Regression,sd,True,1
daily,Logistic Regression,inactive_ratio,True,1
daily,Logistic Regression,longest_inactivity,True,1
daily,Logistic Regression,12_hour_day_activity,True,1
daily,Logistic Regression,day_night_ratio,True,1
daily,Logistic Regression,12_hour_night_activity,True,1
daily,Logistic Regression,mean_absolute_change_activity,True,1
daily,Logistic Regression,IV,True,1
daily,Logistic Regression,inactive_morning,True,1
daily,Logistic Regression,RA,True,1
daily,Logistic Regression,activity_night,True,1
daily,Logistic Regression,activity_afternoon,True,1
daily,Logistic Regression,inactive_night,True,1
daily,Logistic Regression,inactive_afternoon,True,1
daily,Logistic Regression,inactive_evening,True,1
daily,Logistic Regression,activity_morning,False,2
daily,Logistic Regression,activity_evening,False,3
daily,Logistic Regression,mean,False,4
daily,Decision Tree,inactive_ratio,True,1
daily,Decision Tree,12_hour_day_activity,False,2
daily,Decision Tree,sd,False,3
daily,Decision Tree,inactive_evening,False,4
daily,Decision Tree,inactive_afternoon,False,5
daily,Decision Tree,inactive_morning,False,6
daily,Decision Tree,inactive_night,False,7
daily,Decision Tree,activity_evening,False,8
daily,Decision Tree,activity_afternoon,False,9
daily,Decision Tree,activity_morning,False,10
daily,Decision Tree,activity_night,False,11
daily,Decision Tree,RA,False,12
daily,Decision Tree,IV,False,13
daily,Decision Tree,mean_absolute_change_activity,False,14
daily,Decision Tree,day_night_ratio,False,15
daily,Decision Tree,12_hour_night_activity,False,16
daily,Decision Tree,longest_inactivity,False,17
daily,Decision Tree,mean,False,18
