sample type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier base,"{'accuracy': array([0.90526316, 0.78947368, 0.8547486 , 0.73544974, 0.82887701]), 'balanced_accuracy': array([0.89989463, 0.7859972 , 0.85529557, 0.73042636, 0.82565617]), 'average_precision': array([0.94504307, 0.8352348 , 0.89823234, 0.66023881, 0.83024188]), 'f1': array([0.87671233, 0.74025974, 0.80597015, 0.63235294, 0.75384615]), 'precision': array([0.87671233, 0.7125    , 0.76056338, 0.56578947, 0.7       ]), 'recall': array([0.87671233, 0.77027027, 0.85714286, 0.71666667, 0.81666667])}","{'feature_set': 'base', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier activity rhythm,"{'accuracy': array([0.70526316, 0.61578947, 0.66480447, 0.67195767, 0.57754011]), 'balanced_accuracy': array([0.71689498, 0.58504194, 0.64347291, 0.64379845, 0.59225722]), 'average_precision': array([0.66330277, 0.52456701, 0.47421555, 0.55201809, 0.44918028]), 'f1': array([0.66666667, 0.47482014, 0.54545455, 0.52307692, 0.49032258]), 'precision': array([0.58947368, 0.50769231, 0.52173913, 0.48571429, 0.4       ]), 'recall': array([0.76712329, 0.44594595, 0.57142857, 0.56666667, 0.63333333])}","{'feature_set': 'activity_rhythm', 'n_features': 2, 'features': ['IV', 'RA'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier hourly activity,"{'accuracy': array([0.88947368, 0.8       , 0.84916201, 0.7989418 , 0.82352941]), 'balanced_accuracy': array([0.87419506, 0.79706431, 0.84735906, 0.80813953, 0.80853018]), 'average_precision': array([0.91104524, 0.83288489, 0.91744868, 0.71109408, 0.75679924]), 'f1': array([0.84892086, 0.75324675, 0.79699248, 0.72463768, 0.736     ]), 'precision': array([0.89393939, 0.725     , 0.75714286, 0.64102564, 0.70769231]), 'recall': array([0.80821918, 0.78378378, 0.84126984, 0.83333333, 0.76666667])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier six hour bins,"{'accuracy': array([0.85263158, 0.79473684, 0.8603352 , 0.7989418 , 0.80213904]), 'balanced_accuracy': array([0.84943215, 0.78786114, 0.85960591, 0.78585271, 0.7839895 ]), 'average_precision': array([0.92458457, 0.82960813, 0.91279586, 0.67906059, 0.78574662]), 'f1': array([0.81333333, 0.74172185, 0.81203008, 0.703125  , 0.704     ]), 'precision': array([0.79220779, 0.72727273, 0.77142857, 0.66176471, 0.67692308]), 'recall': array([0.83561644, 0.75675676, 0.85714286, 0.75      , 0.73333333])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier full,"{'accuracy': array([0.9       , 0.8       , 0.88268156, 0.75132275, 0.82887701]), 'balanced_accuracy': array([0.89304531, 0.79706431, 0.88409962, 0.75096899, 0.81686352]), 'average_precision': array([0.94280391, 0.85549752, 0.92875467, 0.69777767, 0.7935009 ]), 'f1': array([0.86896552, 0.75324675, 0.84210526, 0.65693431, 0.74603175]), 'precision': array([0.875     , 0.725     , 0.8       , 0.58441558, 0.71212121]), 'recall': array([0.8630137 , 0.78378378, 0.88888889, 0.75      , 0.78333333])}","{'feature_set': 'full', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier all candidates,"{'accuracy': array([0.87894737, 0.79473684, 0.86592179, 0.76190476, 0.80213904]), 'balanced_accuracy': array([0.87595129, 0.79030755, 0.86391626, 0.7498062 , 0.7839895 ]), 'average_precision': array([0.95837941, 0.86408175, 0.92135291, 0.68396323, 0.80794413]), 'f1': array([0.84563758, 0.74509804, 0.81818182, 0.65648855, 0.704     ]), 'precision': array([0.82894737, 0.72151899, 0.7826087 , 0.6056338 , 0.67692308]), 'recall': array([0.8630137 , 0.77027027, 0.85714286, 0.71666667, 0.73333333])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier positive permutation,"{'accuracy': array([0.89473684, 0.77894737, 0.87150838, 0.75661376, 0.82352941]), 'balanced_accuracy': array([0.89392343, 0.78226934, 0.8682266 , 0.75930233, 0.81292651]), 'average_precision': array([0.95947321, 0.82734918, 0.91410007, 0.63496846, 0.818806  ]), 'f1': array([0.86666667, 0.7375    , 0.82442748, 0.66666667, 0.74015748]), 'precision': array([0.84415584, 0.68604651, 0.79411765, 0.58974359, 0.70149254]), 'recall': array([0.89041096, 0.7972973 , 0.85714286, 0.76666667, 0.78333333])}","{'feature_set': 'positive_permutation', 'n_features': 4, 'features': ['12_hour_night_activity', 'sd', 'RA', 'longest_inactivity'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier rfecv selected,"{'accuracy': array([0.90526316, 0.81578947, 0.86592179, 0.76190476, 0.81283422]), 'balanced_accuracy': array([0.90247044, 0.80754893, 0.86391626, 0.7498062 , 0.79625984]), 'average_precision': array([0.96033646, 0.84552442, 0.9192975 , 0.63184146, 0.80729012]), 'f1': array([0.87837838, 0.76510067, 0.81818182, 0.65648855, 0.72      ]), 'precision': array([0.86666667, 0.76      , 0.7826087 , 0.6056338 , 0.69230769]), 'recall': array([0.89041096, 0.77027027, 0.85714286, 0.71666667, 0.75      ])}","{'feature_set': 'rfecv_selected', 'n_features': 13, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'RA', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Random Forest,RandomForestClassifier select from model,"{'accuracy': array([0.90526316, 0.77368421, 0.86592179, 0.75661376, 0.80748663]), 'balanced_accuracy': array([0.89731882, 0.77306617, 0.86391626, 0.74593023, 0.79232283]), 'average_precision': array([0.95462527, 0.8386275 , 0.91113962, 0.63652127, 0.81384728]), 'f1': array([0.875     , 0.72611465, 0.81818182, 0.65151515, 0.71428571]), 'precision': array([0.88732394, 0.68674699, 0.7826087 , 0.59722222, 0.68181818]), 'recall': array([0.8630137 , 0.77027027, 0.85714286, 0.71666667, 0.75      ])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 18, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
daily,Logistic Regression,LogisticRegression base,"{'accuracy': array([0.82631579, 0.70526316, 0.88268156, 0.75661376, 0.76470588]), 'balanced_accuracy': array([0.81260976, 0.6999068 , 0.88409962, 0.77713178, 0.77401575]), 'average_precision': array([0.81107662, 0.73315848, 0.89865133, 0.63502654, 0.67936636]), 'f1': array([0.76923077, 0.64102564, 0.84210526, 0.68493151, 0.68571429]), 'precision': array([0.78571429, 0.6097561 , 0.8       , 0.58139535, 0.6       ]), 'recall': array([0.75342466, 0.67567568, 0.88888889, 0.83333333, 0.8       ])}","{'feature_set': 'base', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'feature_set_type': 'manual'}"
