sample type,classifier,result 1,result 2,feature set 1,feature set 2,scoring metric,mean 1,mean 2,mean difference,std difference,result 1 better folds,result 2 better folds,tied folds
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier activity rhythm,base,activity rhythm,balanced accuracy,0.819,0.636,0.183,0.051,5,0,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier hourly activity,base,hourly activity,balanced accuracy,0.819,0.827,-0.008,0.037,3,2,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier six hour bins,base,six hour bins,balanced accuracy,0.819,0.813,0.006,0.038,2,3,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier full,base,full,balanced accuracy,0.819,0.828,-0.009,0.015,2,3,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier all candidates,base,all candidates,balanced accuracy,0.819,0.813,0.007,0.023,2,3,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier positive permutation,base,positive permutation,balanced accuracy,0.819,0.823,-0.004,0.015,3,2,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier rfecv selected,base,rfecv selected,balanced accuracy,0.819,0.824,-0.005,0.018,1,4,0
daily,Random Forest,RandomForestClassifier base,RandomForestClassifier select from model,base,select from model,balanced accuracy,0.819,0.815,0.005,0.017,3,2,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier hourly activity,activity rhythm,hourly activity,balanced accuracy,0.636,0.827,-0.191,0.025,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier six hour bins,activity rhythm,six hour bins,balanced accuracy,0.636,0.813,-0.177,0.034,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier full,activity rhythm,full,balanced accuracy,0.636,0.828,-0.192,0.047,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier all candidates,activity rhythm,all candidates,balanced accuracy,0.636,0.813,-0.177,0.041,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier positive permutation,activity rhythm,positive permutation,balanced accuracy,0.636,0.823,-0.187,0.04,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.636,0.824,-0.188,0.043,0,5,0
daily,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier select from model,activity rhythm,select from model,balanced accuracy,0.636,0.815,-0.178,0.04,0,5,0
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier six hour bins,hourly activity,six hour bins,balanced accuracy,0.827,0.813,0.014,0.014,4,1,0
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier full,hourly activity,full,balanced accuracy,0.827,0.828,-0.001,0.032,1,3,1
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier all candidates,hourly activity,all candidates,balanced accuracy,0.827,0.813,0.014,0.026,3,2,0
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier positive permutation,hourly activity,positive permutation,balanced accuracy,0.827,0.823,0.004,0.026,2,3,0
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.827,0.824,0.003,0.031,2,3,0
daily,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier select from model,hourly activity,select from model,balanced accuracy,0.827,0.815,0.013,0.031,3,2,0
daily,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier full,six hour bins,full,balanced accuracy,0.813,0.828,-0.015,0.027,1,4,0
