sample type,classifier,feature,cluster,importance,importance std
daily,Random Forest,12 hour night activity,1,0.007,0.006
daily,Random Forest,sd,1,0.002,0.012
daily,Random Forest,RA,1,0.002,0.007
daily,Random Forest,longest inactivity,1,0.001,0.009
daily,Random Forest,mean absolute change activity,1,-0.001,0.005
daily,Random Forest,activity morning,1,-0.003,0.003
daily,Random Forest,inactive morning,1,-0.003,0.008
daily,Random Forest,activity afternoon,1,-0.003,0.005
daily,Random Forest,12 hour day activity,1,-0.004,0.004
daily,Random Forest,inactive night,1,-0.004,0.008
daily,Random Forest,inactive afternoon,1,-0.006,0.007
daily,Random Forest,activity evening,1,-0.007,0.007
daily,Random Forest,inactive evening,1,-0.007,0.008
daily,Random Forest,mean,1,-0.009,0.011
daily,Random Forest,inactive ratio,1,-0.014,0.01
daily,Random Forest,activity night,2,-0.002,0.004
daily,Random Forest,IV,3,-0.001,0.004
daily,Random Forest,day night ratio,4,-0.008,0.011
daily,Logistic Regression,sd,1,0.214,0.078
daily,Logistic Regression,12 hour night activity,1,0.201,0.073
daily,Logistic Regression,mean absolute change activity,1,0.144,0.046
daily,Logistic Regression,activity afternoon,1,0.135,0.05
daily,Logistic Regression,inactive night,1,0.092,0.028
daily,Logistic Regression,longest inactivity,1,0.051,0.05
daily,Logistic Regression,inactive evening,1,0.04,0.023
daily,Logistic Regression,inactive ratio,1,0.028,0.017
daily,Logistic Regression,12 hour day activity,1,0.019,0.026
daily,Logistic Regression,inactive morning,1,0.009,0.01
daily,Logistic Regression,activity evening,1,0.008,0.014
daily,Logistic Regression,mean,1,0.006,0.008
daily,Logistic Regression,inactive afternoon,1,0.0,0.004
daily,Logistic Regression,RA,1,-0.001,0.009
daily,Logistic Regression,activity morning,1,-0.001,0.011
daily,Logistic Regression,activity night,2,0.024,0.02
daily,Logistic Regression,IV,3,0.025,0.017
daily,Logistic Regression,day night ratio,4,0.001,0.006
daily,Decision Tree,inactive ratio,1,0.093,0.109
daily,Decision Tree,12 hour day activity,1,0.083,0.061
daily,Decision Tree,sd,1,0.049,0.081
daily,Decision Tree,12 hour night activity,1,0.028,0.039
daily,Decision Tree,mean,1,0.0,0.0
daily,Decision Tree,longest inactivity,1,0.0,0.0
daily,Decision Tree,mean absolute change activity,1,0.0,0.0
daily,Decision Tree,RA,1,0.0,0.0
daily,Decision Tree,inactive night,1,0.0,0.0
daily,Decision Tree,activity morning,1,0.0,0.0
daily,Decision Tree,activity evening,1,0.0,0.0
daily,Decision Tree,activity afternoon,1,0.0,0.0
daily,Decision Tree,inactive morning,1,0.0,0.0
daily,Decision Tree,inactive afternoon,1,0.0,0.0
daily,Decision Tree,inactive evening,1,0.0,0.0
daily,Decision Tree,activity night,2,0.0,0.0
daily,Decision Tree,IV,3,0.0,0.0
daily,Decision Tree,day night ratio,4,0.0,0.0
