sample type,classifier,name,scores,metadata
daily,Random Forest,RandomForestClassifier base,"{'accuracy': array([0.90526316, 0.78947368, 0.8547486 , 0.73544974, 0.82887701]), 'balanced_accuracy': array([0.89989463, 0.7859972 , 0.85529557, 0.73042636, 0.82565617]), 'average_precision': array([0.94504307, 0.8352348 , 0.89823234, 0.66023881, 0.83024188]), 'f1': array([0.87671233, 0.74025974, 0.80597015, 0.63235294, 0.75384615]), 'precision': array([0.87671233, 0.7125    , 0.76056338, 0.56578947, 0.7       ]), 'recall': array([0.87671233, 0.77027027, 0.85714286, 0.71666667, 0.81666667])}","{'feature_set': 'base', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier activity rhythm,"{'accuracy': array([0.70526316, 0.61578947, 0.66480447, 0.67195767, 0.57754011]), 'balanced_accuracy': array([0.71689498, 0.58504194, 0.64347291, 0.64379845, 0.59225722]), 'average_precision': array([0.66330277, 0.52456701, 0.47421555, 0.55201809, 0.44918028]), 'f1': array([0.66666667, 0.47482014, 0.54545455, 0.52307692, 0.49032258]), 'precision': array([0.58947368, 0.50769231, 0.52173913, 0.48571429, 0.4       ]), 'recall': array([0.76712329, 0.44594595, 0.57142857, 0.56666667, 0.63333333])}","{'feature_set': 'activity_rhythm', 'n_features': 2, 'features': ['IV', 'RA'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier hourly activity,"{'accuracy': array([0.88947368, 0.8       , 0.84916201, 0.7989418 , 0.82352941]), 'balanced_accuracy': array([0.87419506, 0.79706431, 0.84735906, 0.80813953, 0.80853018]), 'average_precision': array([0.91104524, 0.83288489, 0.91744868, 0.71109408, 0.75679924]), 'f1': array([0.84892086, 0.75324675, 0.79699248, 0.72463768, 0.736     ]), 'precision': array([0.89393939, 0.725     , 0.75714286, 0.64102564, 0.70769231]), 'recall': array([0.80821918, 0.78378378, 0.84126984, 0.83333333, 0.76666667])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier six hour bins,"{'accuracy': array([0.85263158, 0.79473684, 0.8603352 , 0.7989418 , 0.80213904]), 'balanced_accuracy': array([0.84943215, 0.78786114, 0.85960591, 0.78585271, 0.7839895 ]), 'average_precision': array([0.92458457, 0.82960813, 0.91279586, 0.67906059, 0.78574662]), 'f1': array([0.81333333, 0.74172185, 0.81203008, 0.703125  , 0.704     ]), 'precision': array([0.79220779, 0.72727273, 0.77142857, 0.66176471, 0.67692308]), 'recall': array([0.83561644, 0.75675676, 0.85714286, 0.75      , 0.73333333])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Random Forest,RandomForestClassifier full,"{'accuracy': array([0.9       , 0.8       , 0.88268156, 0.75132275, 0.82887701]), 'balanced_accuracy': array([0.89304531, 0.79706431, 0.88409962, 0.75096899, 0.81686352]), 'average_precision': array([0.94280391, 0.85549752, 0.92875467, 0.69777767, 0.7935009 ]), 'f1': array([0.86896552, 0.75324675, 0.84210526, 0.65693431, 0.74603175]), 'precision': array([0.875     , 0.725     , 0.8       , 0.58441558, 0.71212121]), 'recall': array([0.8630137 , 0.78378378, 0.88888889, 0.75      , 0.78333333])}","{'feature_set': 'full', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression base,"{'accuracy': array([0.82631579, 0.70526316, 0.88268156, 0.75661376, 0.76470588]), 'balanced_accuracy': array([0.81260976, 0.6999068 , 0.88409962, 0.77713178, 0.77401575]), 'average_precision': array([0.81107662, 0.73315848, 0.89865133, 0.63502654, 0.67936636]), 'f1': array([0.76923077, 0.64102564, 0.84210526, 0.68493151, 0.68571429]), 'precision': array([0.78571429, 0.6097561 , 0.8       , 0.58139535, 0.6       ]), 'recall': array([0.75342466, 0.67567568, 0.88888889, 0.83333333, 0.8       ])}","{'feature_set': 'base', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression activity rhythm,"{'accuracy': array([0.66842105, 0.51052632, 0.52513966, 0.55026455, 0.54010695]), 'balanced_accuracy': array([0.6766772 , 0.52085275, 0.56472359, 0.57693798, 0.57788714]), 'average_precision': array([0.58960358, 0.4289762 , 0.4540481 , 0.34156776, 0.46016075]), 'f1': array([0.62275449, 0.47457627, 0.50867052, 0.47852761, 0.48809524]), 'precision': array([0.55319149, 0.40776699, 0.4       , 0.37864078, 0.37962963]), 'recall': array([0.71232877, 0.56756757, 0.6984127 , 0.65      , 0.68333333])}","{'feature_set': 'activity_rhythm', 'n_features': 2, 'features': ['IV', 'RA'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression hourly activity,"{'accuracy': array([0.67894737, 0.62105263, 0.69832402, 0.69312169, 0.5828877 ]), 'balanced_accuracy': array([0.71098232, 0.6333877 , 0.7454844 , 0.72616279, 0.61817585]), 'average_precision': array([0.69697983, 0.57658919, 0.51309161, 0.67053544, 0.46932557]), 'f1': array([0.67027027, 0.5862069 , 0.67857143, 0.62820513, 0.52439024]), 'precision': array([0.55357143, 0.51      , 0.54285714, 0.51041667, 0.41346154]), 'recall': array([0.84931507, 0.68918919, 0.9047619 , 0.81666667, 0.71666667])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression six hour bins,"{'accuracy': array([0.68947368, 0.71052632, 0.79888268, 0.67195767, 0.67914439]), 'balanced_accuracy': array([0.70149865, 0.70421715, 0.81219212, 0.675     , 0.70223097]), 'average_precision': array([0.69836209, 0.62128896, 0.7724873 , 0.46296376, 0.5463468 ]), 'f1': array([0.65088757, 0.64516129, 0.75      , 0.56944444, 0.60526316]), 'precision': array([0.57291667, 0.61728395, 0.66666667, 0.48809524, 0.5       ]), 'recall': array([0.75342466, 0.67567568, 0.85714286, 0.68333333, 0.76666667])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression full,"{'accuracy': array([0.91578947, 0.75789474, 0.88826816, 0.82539683, 0.74331551]), 'balanced_accuracy': array([0.91874488, 0.74301025, 0.89203612, 0.83197674, 0.77145669]), 'average_precision': array([0.91858715, 0.76591345, 0.82480883, 0.79408746, 0.7308895 ]), 'f1': array([0.89473684, 0.68493151, 0.85074627, 0.75555556, 0.68      ]), 'precision': array([0.86075949, 0.69444444, 0.8028169 , 0.68      , 0.56666667]), 'recall': array([0.93150685, 0.67567568, 0.9047619 , 0.85      , 0.85      ])}","{'feature_set': 'full', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
