sample type,classifier,n features,mean test score,std test score
daily,Random Forest,1,0.765,0.077
daily,Random Forest,2,0.793,0.06
daily,Random Forest,3,0.801,0.055
daily,Random Forest,4,0.811,0.064
daily,Random Forest,5,0.808,0.064
daily,Random Forest,6,0.811,0.067
daily,Random Forest,7,0.811,0.067
daily,Random Forest,8,0.814,0.056
daily,Random Forest,9,0.809,0.059
daily,Random Forest,10,0.817,0.051
daily,Random Forest,11,0.819,0.044
daily,Random Forest,12,0.819,0.054
daily,Random Forest,13,0.821,0.048
daily,Random Forest,14,0.817,0.053
daily,Random Forest,15,0.814,0.047
daily,Random Forest,16,0.818,0.05
daily,Random Forest,17,0.819,0.048
daily,Random Forest,18,0.813,0.049
daily,Logistic Regression,1,0.611,0.048
daily,Logistic Regression,2,0.644,0.075
daily,Logistic Regression,3,0.729,0.084
daily,Logistic Regression,4,0.725,0.056
daily,Logistic Regression,5,0.731,0.067
daily,Logistic Regression,6,0.726,0.063
daily,Logistic Regression,7,0.735,0.057
daily,Logistic Regression,8,0.727,0.08
daily,Logistic Regression,9,0.728,0.091
daily,Logistic Regression,10,0.746,0.074
daily,Logistic Regression,11,0.777,0.08
daily,Logistic Regression,12,0.786,0.078
daily,Logistic Regression,13,0.796,0.069
daily,Logistic Regression,14,0.797,0.069
daily,Logistic Regression,15,0.817,0.071
daily,Logistic Regression,16,0.816,0.063
daily,Logistic Regression,17,0.815,0.063
daily,Logistic Regression,18,0.815,0.064
daily,Decision Tree,1,0.727,0.047
daily,Decision Tree,2,0.724,0.053
daily,Decision Tree,3,0.724,0.053
daily,Decision Tree,4,0.724,0.053
daily,Decision Tree,5,0.724,0.053
daily,Decision Tree,6,0.724,0.053
daily,Decision Tree,7,0.724,0.053
daily,Decision Tree,8,0.724,0.053
daily,Decision Tree,9,0.724,0.053
daily,Decision Tree,10,0.724,0.053
daily,Decision Tree,11,0.724,0.053
daily,Decision Tree,12,0.724,0.053
daily,Decision Tree,13,0.724,0.053
daily,Decision Tree,14,0.724,0.053
daily,Decision Tree,15,0.724,0.053
daily,Decision Tree,16,0.724,0.053
daily,Decision Tree,17,0.724,0.053
daily,Decision Tree,18,0.724,0.053
