feature,nan_count,nan_pct,inf_count,inactive_count,zero_proportion,variance,std_dev,is_constant,issues
min,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
max,0,0.0,0,0,0.0,3030561.383647799,1740.850764324099,False,OK
mean,0,0.0,0,0,0.0,7128.79164512712,84.43217186077307,False,OK
median,0,0.0,0,13,0.24074074074074073,2168.411338225017,46.566203820206525,False,OK
sd,0,0.0,0,0,0.0,12113.325283644817,110.06055280455763,False,OK
mean_activity_0,0,0.0,0,0,0.0,5689.997286105571,75.43207067359063,False,OK
mean_activity_1,0,0.0,0,0,0.0,2997.762624146682,54.751827587274946,False,OK
mean_activity_2,0,0.0,0,0,0.0,1141.2340049764573,33.782155126286085,False,OK
mean_activity_3,0,0.0,0,0,0.0,579.2861192993054,24.06836345286703,False,OK
mean_activity_4,0,0.0,0,0,0.0,509.393508442888,22.569747637997374,False,OK
mean_activity_5,0,0.0,0,0,0.0,1512.3149326834853,38.88849357693719,False,OK
mean_activity_6,0,0.0,0,0,0.0,15522.285809179992,124.5884657951128,False,OK
mean_activity_7,0,0.0,0,0,0.0,12766.406873337071,112.98852540562281,False,OK
mean_activity_8,0,0.0,0,0,0.0,17523.11091180754,132.37488776881943,False,OK
mean_activity_9,0,0.0,0,0,0.0,15748.247367586457,125.49202113117175,False,OK
mean_activity_10,0,0.0,0,0,0.0,17161.362889238524,131.0013850661073,False,OK
mean_activity_11,0,0.0,0,0,0.0,16393.108475786674,128.0355750398563,False,OK
mean_activity_12,0,0.0,0,0,0.0,19915.40845105818,141.12196303573083,False,OK
mean_activity_13,0,0.0,0,0,0.0,21426.035717106173,146.37634958252707,False,OK
mean_activity_14,0,0.0,0,0,0.0,22321.853132924873,149.40499701457404,False,OK
mean_activity_15,0,0.0,0,0,0.0,21373.545199204054,146.19693977373143,False,OK
mean_activity_16,0,0.0,0,0,0.0,20073.946172898803,141.6825542291598,False,OK
mean_activity_17,0,0.0,0,0,0.0,18582.033458725316,136.31593251973635,False,OK
mean_activity_18,0,0.0,0,0,0.0,17847.80211794691,133.59566653880248,False,OK
mean_activity_19,0,0.0,0,0,0.0,15760.793907177776,125.54200057023856,False,OK
mean_activity_20,0,0.0,0,0,0.0,15111.589315248768,122.92920448473083,False,OK
mean_activity_21,0,0.0,0,0,0.0,12998.912950813026,114.01277538422187,False,OK
mean_activity_22,0,0.0,0,0,0.0,13860.107750853884,117.72895884553589,False,OK
mean_activity_23,0,0.0,0,0,0.0,9898.042077708411,99.48890429444084,False,OK
inactive_ratio,0,0.0,0,0,0.0,0.019262112705237474,0.13878801355029718,False,OK
longest_inactivity,0,0.0,0,0,0.0,161542.9378057302,401.9240448215685,False,OK
is_constant_activity,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
12_hour_day_activity,0,0.0,0,0,0.0,14863.873639815578,121.91748701402756,False,OK
12_hour_night_activity,0,0.0,0,0,0.0,3184.496788133886,56.431345794105304,False,OK
day_night_ratio,0,0.0,0,0,0.0,1.9284136995999126,1.3886733595773746,False,OK
mean_absolute_change_activity,0,0.0,0,0,0.0,1519.3825447868608,38.979257878862455,False,OK
IV,0,0.0,0,0,0.0,0.03321327345597978,0.1822450917198589,False,OK
RA,0,0.0,0,0,0.0,0.016591569342720443,0.12880826581675744,False,OK
daily_mean_activity_variance,0,0.0,0,0,0.0,98069484.15672718,9903.003794643682,False,OK
IS,0,0.0,0,0,0.0,0.02691536505086142,0.16405902916591156,False,OK
activity_night,0,0.0,0,0,0.0,1153.6072873992587,33.96479482345298,False,OK
activity_morning,0,0.0,0,0,0.0,10827.953444737785,104.05745261507118,False,OK
activity_afternoon,0,0.0,0,0,0.0,17990.3036574511,134.12793764705063,False,OK
activity_evening,0,0.0,0,0,0.0,11274.879850042556,106.18323714241602,False,OK
inactive_night,0,0.0,0,0,0.0,0.037410267305682546,0.19341733972341402,False,OK
inactive_morning,0,0.0,0,1,0.018518518518518517,0.03169460987604501,0.17802980052801556,False,OK
inactive_afternoon,0,0.0,0,1,0.018518518518518517,0.019545071469643967,0.1398036890416128,False,OK
inactive_evening,0,0.0,0,1,0.018518518518518517,0.028418346724291547,0.16857742056482994,False,OK
person_id,0,0.0,0,0,0.0,74.32879105520615,8.621414678299969,False,OK
