feature,importance,importance_std
daily_mean_activity_variance,0.14347619047619048,0.1273984856647043
inactive_evening,0.08323809523809522,0.11659881408793149
sd,0.020499999999999987,0.05664705542999467
inactive_ratio,0.01964285714285714,0.04392276384374586
day_night_ratio,0.009999999999999986,0.022360679774997866
mean,0.0,0.0
longest_inactivity,0.0,0.0
12_hour_night_activity,0.0,0.0
mean_absolute_change_activity,0.0,0.0
IV,0.0,0.0
RA,0.0,0.0
12_hour_day_activity,0.0,0.0
IS,0.0,0.0
activity_night,0.0,0.0
activity_afternoon,0.0,0.0
activity_morning,0.0,0.0
activity_evening,0.0,0.0
inactive_night,0.0,0.0
inactive_morning,0.0,0.0
inactive_afternoon,0.0,0.0
