name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_base,base,manual,7,0.8309090909090908,0.13842084589581294,0.8233333333333333,0.13347908700117286,0.8413636363636364,0.16272727272727275,0.8025396825396826,0.14758866388115055,0.8400000000000001,0.19595917942265426,0.78,0.12884098726725127
DecisionTreeClassifier_activity_rhythm,activity_rhythm,manual,3,0.5163636363636364,0.09998346970812741,0.516904761904762,0.10941609610184327,0.4451136363636364,0.043208458023999814,0.43,0.14391355429948602,0.41904761904761906,0.07468755781599107,0.51,0.2870540018881465
DecisionTreeClassifier_hourly_activity,hourly_activity,manual,24,0.7563636363636365,0.11816783134015944,0.7540476190476191,0.10449261927520621,0.7693939393939393,0.11189740151801121,0.7280952380952381,0.11047619047619048,0.7128571428571429,0.168450319691242,0.77,0.12884098726725124
DecisionTreeClassifier_six_hour_bins,six_hour_bins,manual,8,0.6872727272727273,0.13281441721999765,0.6852380952380952,0.13071753834100447,0.6708311688311689,0.13016425395342796,0.6387878787878788,0.12092997465274405,0.6599999999999999,0.21080990566510535,0.6799999999999999,0.19390719429665318
DecisionTreeClassifier_full,full,manual,48,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6627683982683983,0.17334338419207873,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_all_candidates,all_candidates,automatic,20,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.7292683982683982,0.18268789844185632,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_positive_permutation,positive_permutation,automatic,5,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.7746017316017316,0.16107789735504613,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_rfecv_selected,rfecv_selected,automatic,2,0.8890909090909093,0.06764027359177552,0.8733333333333334,0.07019813229550896,0.8712683982683982,0.08762786730759166,0.8528571428571429,0.08373914794144482,0.96,0.07999999999999999,0.78,0.12884098726725127
DecisionTreeClassifier_select_from_model,select_from_model,automatic,20,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.7746017316017316,0.16107789735504613,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DummyClassifier_most_frequent,baseline,baseline,48,0.5927272727272727,0.04081808058298846,0.5,0.0,0.40727272727272723,0.04081808058298844,0.0,0.0,0.0,0.0,0.0,0.0
