name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,6,0.7581818181818182,0.1253886519968485,0.7473809523809523,0.12963493132447418,0.7701731601731601,0.12737828764310855,0.7009523809523809,0.15410924652319075,0.7233333333333334,0.14892205269125786,0.6900000000000001,0.17435595774162696
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.7054545454545454,0.130808041808036,0.7209523809523809,0.12888321982997436,0.6752954545454546,0.12283733486430758,0.6842424242424243,0.10134812129301415,0.6742857142857143,0.2017070010825462,0.78,0.20396078054371142
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.7054545454545454,0.10246547493531181,0.7126190476190476,0.09664907182120387,0.6734415584415585,0.13625419232062247,0.6678787878787878,0.09008923236878572,0.6742857142857143,0.1965830561345094,0.73,0.17204650534085256
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.6872727272727273,0.13281441721999765,0.6852380952380952,0.13071753834100447,0.6536883116883117,0.15083375637123086,0.6387878787878788,0.12092997465274405,0.6599999999999999,0.21080990566510535,0.6799999999999999,0.19390719429665318
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_night,manual_six_hour_bins,ablation,7,0.6872727272727273,0.13281441721999765,0.6852380952380952,0.13071753834100447,0.6456883116883116,0.13860479643043871,0.6387878787878788,0.12092997465274405,0.6599999999999999,0.21080990566510535,0.6799999999999999,0.19390719429665318
DecisionTreeClassifier_manual_full_remove_min,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6476168831168831,0.17015914242075716,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.7036168831168832,0.1586463967567904,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6449502164502163,0.17251136561805147,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_remove_inactive_evening,manual_full,ablation,47,0.7363636363636364,0.16861124537264918,0.7340476190476191,0.16762242961956084,0.6382272727272728,0.1995967100137204,0.7043434343434344,0.18355278070283904,0.6833333333333333,0.19607254893136988,0.73,0.17204650534085256
DecisionTreeClassifier_manual_full_remove_inactive_morning,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6449502164502163,0.17251136561805147,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_remove_inactive_night,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6449502164502163,0.17251136561805147,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,47,0.7363636363636364,0.14770978917519928,0.7150000000000001,0.13420548092798262,0.6726168831168831,0.178167741577924,0.6736507936507936,0.14672574911124148,0.76,0.23323807579381203,0.63,0.12489995996796797
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,19,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.8279350649350651,0.07909006034560478,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,19,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.8279350649350651,0.07909006034560478,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,19,0.8309090909090908,0.13842084589581294,0.8233333333333333,0.13347908700117286,0.8746969696969696,0.09398776858076563,0.8025396825396826,0.14758866388115055,0.8400000000000001,0.19595917942265426,0.78,0.12884098726725127
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_night,automatic_all_candidates,ablation,19,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.8279350649350651,0.07909006034560478,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,19,0.8127272727272727,0.13281441721999765,0.8066666666666666,0.12795398478446157,0.7392683982683982,0.19542134036930062,0.7847619047619048,0.14133795397401255,0.8,0.1788854381999832,0.78,0.12884098726725127
DecisionTreeClassifier_automatic_positive_permutation_remove_inactive_evening,automatic_positive_permutation,ablation,4,0.8309090909090908,0.13842084589581294,0.8233333333333333,0.13347908700117286,0.8280303030303029,0.18697853719094146,0.8025396825396826,0.14758866388115055,0.8400000000000001,0.19595917942265426,0.78,0.12884098726725127
DecisionTreeClassifier_automatic_positive_permutation_remove_inactive_ratio,automatic_positive_permutation,ablation,4,0.8127272727272727,0.13281441721999765,0.8066666666666666,0.12795398478446157,0.7979350649350649,0.15010443544937407,0.7847619047619048,0.14133795397401255,0.8,0.1788854381999832,0.78,0.12884098726725127
DecisionTreeClassifier_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,1,0.7963636363636363,0.06744449814905965,0.8195238095238094,0.0607287564454471,0.7746969696969697,0.07487608373518762,0.787078477078477,0.0562181599757966,0.7326190476190475,0.1535882235186934,0.9199999999999999,0.16
