name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_manual_base_baseline,manual_base,inactivity_baseline,7,0.8309090909090908,0.13842084589581294,0.8233333333333333,0.13347908700117286,0.8413636363636364,0.16272727272727275,0.8025396825396826,0.14758866388115055,0.8400000000000001,0.19595917942265426,0.78,0.12884098726725127
DecisionTreeClassifier_manual_base_shuffled_y,manual_base,shuffled_y,7,0.5018181818181818,0.11647721729488701,0.5014285714285714,0.11438834677339743,0.5439772727272727,0.11011217045651503,0.4129292929292929,0.13978046249799522,0.49714285714285716,0.2778048059412969,0.45999999999999996,0.20832666655999657
DecisionTreeClassifier_manual_base_inactivity_reduced,manual_base,inactivity_reduced,6,0.7581818181818182,0.1253886519968485,0.7473809523809523,0.12963493132447418,0.7701731601731601,0.12737828764310855,0.7009523809523809,0.15410924652319075,0.7233333333333334,0.14892205269125786,0.6900000000000001,0.17435595774162696
DecisionTreeClassifier_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,3,0.5163636363636364,0.09998346970812741,0.516904761904762,0.10941609610184327,0.4451136363636364,0.043208458023999814,0.43,0.14391355429948602,0.41904761904761906,0.07468755781599107,0.51,0.2870540018881465
DecisionTreeClassifier_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,3,0.52,0.09932000206361935,0.48,0.09646060608391956,0.41625541125541127,0.09371370539234097,0.2833333333333333,0.17777777777777776,0.3233333333333333,0.23418890760333727,0.26,0.14628738838327796
DecisionTreeClassifier_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,3,0.5163636363636364,0.09998346970812741,0.516904761904762,0.10941609610184327,0.4451136363636364,0.043208458023999814,0.43,0.14391355429948602,0.41904761904761906,0.07468755781599107,0.51,0.2870540018881465
DecisionTreeClassifier_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.7563636363636365,0.11816783134015944,0.7540476190476191,0.10449261927520621,0.7693939393939393,0.11189740151801121,0.7280952380952381,0.11047619047619048,0.7128571428571429,0.168450319691242,0.77,0.12884098726725124
DecisionTreeClassifier_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.5890909090909091,0.13731787337090332,0.5735714285714286,0.11766675338687523,0.5120162337662337,0.13434245783593218,0.4833333333333333,0.14757295747452437,0.595,0.26664583251946766,0.49000000000000005,0.20346989949375804
DecisionTreeClassifier_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.7563636363636365,0.11816783134015944,0.7540476190476191,0.10449261927520621,0.7693939393939393,0.11189740151801121,0.7280952380952381,0.11047619047619048,0.7128571428571429,0.168450319691242,0.77,0.12884098726725124
DecisionTreeClassifier_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.6872727272727273,0.13281441721999765,0.6852380952380952,0.13071753834100447,0.6708311688311689,0.13016425395342796,0.6387878787878788,0.12092997465274405,0.6599999999999999,0.21080990566510535,0.6799999999999999,0.19390719429665318
DecisionTreeClassifier_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.4818181818181818,0.12060453783110545,0.4621428571428572,0.12222521126009027,0.39814646464646464,0.061531291110589824,0.29615384615384616,0.2761742010925576,0.23888888888888887,0.2119864892037657,0.41,0.41521078984053394
DecisionTreeClassifier_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,4,0.6690909090909092,0.1442678867263809,0.6923809523809523,0.12718297922317134,0.7424819624819625,0.09620638079519983,0.6618648018648019,0.10172827472591783,0.6488888888888888,0.22020490240360224,0.78,0.20396078054371142
DecisionTreeClassifier_manual_full_baseline,manual_full,inactivity_baseline,48,0.7363636363636364,0.14770978917519928,0.7257142857142858,0.13863727775955678,0.6627683982683983,0.17334338419207873,0.6903174603174603,0.14968885172437477,0.71,0.2009975124224178,0.6799999999999999,0.11224972160321826
DecisionTreeClassifier_manual_full_shuffled_y,manual_full,shuffled_y,48,0.49818181818181817,0.1532458727687671,0.47023809523809523,0.15286567251086672,0.4181147186147186,0.08935601571815699,0.35101010101010105,0.19248984803826966,0.3733333333333333,0.1803083778173136,0.35,0.22583179581272433
DecisionTreeClassifier_manual_full_inactivity_reduced,manual_full,inactivity_reduced,41,0.6818181818181819,0.10756508696544757,0.659047619047619,0.08958711034594238,0.5897034632034632,0.12042830789728516,0.601962481962482,0.09553783781248863,0.6666666666666666,0.19321835661585918,0.58,0.11661903789690603
DecisionTreeClassifier_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,20,0.7945454545454546,0.1102364101179936,0.7816666666666666,0.09594558643082839,0.7292683982683982,0.18268789844185632,0.7561904761904762,0.10460594451615984,0.8,0.1788854381999832,0.73,0.0678232998312527
DecisionTreeClassifier_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,20,0.44363636363636366,0.06149648918286458,0.4166666666666667,0.08455230907859075,0.43057359307359305,0.0914816795692983,0.26752136752136757,0.19760694851089666,0.25666666666666665,0.1638427430325934,0.3,0.2664582518894845
DecisionTreeClassifier_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,15,0.7763636363636364,0.12617710234834525,0.7707142857142857,0.13247512922788782,0.7730303030303031,0.12592415073134786,0.7342857142857142,0.1609608338157943,0.7161904761904762,0.14832702730614694,0.77,0.20396078054371142
