n_features,mean_test_score,std_test_score
1,0.8288095238095238,0.06522419038468677
2,0.7802380952380952,0.04696937777935315
3,0.8171428571428571,0.08976727279641575
4,0.9016666666666667,0.12274635093014644
5,0.8966666666666667,0.13515423288475525
6,0.8766666666666667,0.12543258481484518
7,0.8766666666666667,0.12543258481484518
8,0.8766666666666667,0.12543258481484518
9,0.8766666666666667,0.12543258481484518
10,0.86,0.12675435561221027
11,0.86,0.12675435561221027
12,0.86,0.12675435561221027
13,0.86,0.12675435561221027
14,0.86,0.12675435561221027
15,0.86,0.12675435561221027
16,0.86,0.12675435561221027
17,0.8423809523809525,0.11454731963417628
18,0.8923809523809524,0.07449603925005395
19,0.8923809523809524,0.07449603925005395
20,0.8923809523809524,0.07449603925005395
