name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
LogisticRegression_manual_base_baseline,manual_base,inactivity_baseline,7,0.9054545454545455,0.0855898348795623,0.905,0.08812869377601523,0.9766666666666668,0.03265986323710906,0.8918181818181818,0.10222322034087707,0.8766666666666666,0.10413666234542206,0.9099999999999999,0.11135528725660043
LogisticRegression_manual_base_shuffled_y,manual_base,shuffled_y,7,0.5763636363636364,0.117212810627536,0.5735714285714286,0.12791587726052148,0.5956500721500723,0.13832687900827378,0.5257575757575756,0.15284266924749684,0.4757142857142857,0.13011768613412228,0.5900000000000001,0.18275666882497066
LogisticRegression_manual_base_inactivity_reduced,manual_base,inactivity_reduced,6,0.9236363636363636,0.07398905436136655,0.925,0.0763762615825973,0.9481666666666666,0.0446728851392729,0.9136363636363637,0.09136250564655354,0.8833333333333334,0.09999999999999999,0.95,0.09999999999999999
LogisticRegression_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,3,0.8127272727272727,0.06645697048180753,0.8064285714285715,0.07350783196737756,0.8045992063492063,0.09890810916682673,0.7657142857142858,0.09963197585235826,0.7866666666666666,0.12220201853215575,0.77,0.16
LogisticRegression_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,3,0.5745454545454546,0.10639082791511122,0.5800000000000001,0.12400031087664928,0.6020952380952381,0.137016536841736,0.5406349206349207,0.17470011738796604,0.46539682539682536,0.13579511191962987,0.6599999999999999,0.2596150997149434
LogisticRegression_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,3,0.8127272727272727,0.06645697048180753,0.8064285714285715,0.07350783196737756,0.8045992063492063,0.09890810916682673,0.7657142857142858,0.09963197585235826,0.7866666666666666,0.12220201853215575,0.77,0.16
LogisticRegression_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.889090909090909,0.06764027359177552,0.8907142857142857,0.06693144697452993,0.9332142857142856,0.040901823720629754,0.8758730158730158,0.06854790895881029,0.8628571428571428,0.11626851399643316,0.9099999999999999,0.11135528725660043
LogisticRegression_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.6618181818181819,0.142978932737,0.6480952380952381,0.14092462725476135,0.6148015873015872,0.15951262250515838,0.5954545454545455,0.17431487294872308,0.6176190476190476,0.2392524260190669,0.62,0.21587033144922904
LogisticRegression_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.889090909090909,0.06764027359177552,0.8907142857142857,0.06693144697452993,0.9332142857142856,0.040901823720629754,0.8758730158730158,0.06854790895881029,0.8628571428571428,0.11626851399643316,0.9099999999999999,0.11135528725660043
LogisticRegression_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.7945454545454546,0.09405467022820045,0.8061904761904763,0.10234883217072883,0.8749603174603173,0.06911912462381821,0.7647907647907648,0.12363415397855389,0.7076190476190475,0.09616689951515689,0.86,0.19595917942265426
LogisticRegression_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.48,0.1406478516786452,0.4692857142857143,0.15207074078888957,0.45705158730158724,0.09254248307722927,0.3813131313131313,0.18774025521507529,0.36,0.15937377450509227,0.41,0.22226110770892868
LogisticRegression_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,4,0.6472727272727273,0.07144320983414003,0.6683333333333333,0.06299227897833479,0.7556666666666667,0.13780259633096742,0.6302564102564102,0.0880260555533347,0.5538888888888889,0.06955768544839795,0.77,0.20396078054371142
LogisticRegression_manual_full_baseline,manual_full,inactivity_baseline,48,0.9236363636363636,0.07398905436136655,0.9273809523809524,0.07626484465736648,0.9619047619047618,0.0395840046488008,0.9095959595959595,0.09191919191919191,0.8766666666666667,0.10413666234542206,0.95,0.09999999999999999
LogisticRegression_manual_full_shuffled_y,manual_full,shuffled_y,48,0.4963636363636363,0.11377809343390556,0.47523809523809524,0.11327279295392502,0.5671626984126984,0.10059750787959301,0.36047619047619045,0.14235927353495753,0.3733333333333333,0.13063945294843615,0.36,0.15937377450509227
LogisticRegression_manual_full_inactivity_reduced,manual_full,inactivity_reduced,41,0.9236363636363636,0.07398905436136655,0.9273809523809524,0.07626484465736648,0.9541666666666666,0.04518480570575321,0.9095959595959595,0.09191919191919191,0.8766666666666667,0.10413666234542206,0.95,0.09999999999999999
LogisticRegression_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,20,0.9054545454545455,0.06340216645150068,0.9023809523809524,0.06844979291173832,0.9619047619047618,0.0395840046488008,0.881024531024531,0.08092279530256632,0.8766666666666667,0.10413666234542206,0.9,0.1224744871391589
LogisticRegression_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,20,0.5545454545454545,0.16861124537264918,0.5533333333333333,0.17269275930289107,0.580595238095238,0.11378530768911146,0.4965656565656566,0.18737371014729307,0.4666666666666667,0.17511900715418263,0.54,0.2083266665599966
LogisticRegression_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,15,0.9236363636363636,0.07398905436136655,0.9273809523809524,0.07626484465736648,0.9608333333333332,0.04146618434874911,0.9095959595959595,0.09191919191919191,0.8766666666666667,0.10413666234542206,0.95,0.09999999999999999
LogisticRegression_automatic_positive_permutation_baseline,automatic_positive_permutation,inactivity_baseline,11,0.9054545454545455,0.0634021664515007,0.9107142857142858,0.06713272466605562,0.9708333333333334,0.05833333333333335,0.8914141414141413,0.0805234887570577,0.8433333333333334,0.08406346808612326,0.95,0.09999999999999999
LogisticRegression_automatic_positive_permutation_shuffled_y,automatic_positive_permutation,shuffled_y,11,0.5727272727272728,0.17152692967375646,0.570952380952381,0.18338991087415588,0.6267777777777777,0.16211157309556673,0.5133333333333333,0.21365716163061182,0.4628571428571429,0.17833698896373984,0.58,0.26570660511172844
LogisticRegression_automatic_positive_permutation_inactivity_reduced,automatic_positive_permutation,inactivity_reduced,10,0.9236363636363636,0.07398905436136655,0.9273809523809524,0.07626484465736648,0.9708333333333334,0.043620841094341355,0.9095959595959595,0.09191919191919191,0.8766666666666667,0.10413666234542206,0.95,0.09999999999999999
LogisticRegression_automatic_rfecv_selected_baseline,automatic_rfecv_selected,inactivity_baseline,4,0.9054545454545455,0.0855898348795623,0.9083333333333334,0.08498365855987974,0.9331666666666667,0.06867071185495799,0.8984848484848484,0.09696969696969696,0.8595238095238095,0.12103109549656033,0.95,0.09999999999999999
LogisticRegression_automatic_rfecv_selected_shuffled_y,automatic_rfecv_selected,shuffled_y,4,0.5745454545454545,0.03743865505813456,0.5619047619047619,0.058219032818425664,0.4853318903318904,0.1237290975791269,0.47492063492063485,0.11742770890142687,0.4666666666666667,0.09189365834726815,0.5,0.170293863659264
LogisticRegression_automatic_rfecv_selected_inactivity_reduced,automatic_rfecv_selected,inactivity_reduced,4,0.9054545454545455,0.0855898348795623,0.9083333333333334,0.08498365855987974,0.9331666666666667,0.06867071185495799,0.8984848484848484,0.09696969696969696,0.8595238095238095,0.12103109549656033,0.95,0.09999999999999999
