feature,importance,importance_std
daily_mean_activity_variance,0.05480952380952382,0.053029106798063774
day_night_ratio,0.005000000000000009,0.011180339887498968
inactive_evening,0.0007142857142857173,0.03768237963151846
longest_inactivity,0.0,0.0
inactive_morning,0.0,0.0
activity_night,0.0,0.0
inactive_ratio,0.0,0.0
mean_absolute_change_activity,0.0,0.0
RA,0.0,0.0
IV,0.0,0.0
IS,0.0,0.0
12_hour_day_activity,0.0,0.0
inactive_afternoon,0.0,0.0
activity_morning,0.0,0.0
inactive_night,0.0,0.0
sd,-0.005142857142857146,0.08509770794774196
activity_evening,-0.008571428571428567,0.019166296949998187
mean,-0.008809523809523807,0.015467030256106388
12_hour_night_activity,-0.013452380952380943,0.03531422760307545
activity_afternoon,-0.016666666666666673,0.03726779962499651
