n_features,mean_test_score,std_test_score
1,0.7664285714285715,0.08997480120904805
2,0.8233333333333335,0.1459071241882619
3,0.8200000000000001,0.10731573354670164
4,0.865,0.1150362261782493
5,0.8450000000000001,0.12948616399703353
6,0.8483333333333334,0.13888444437333106
7,0.8307142857142858,0.1146927276190931
8,0.8140476190476191,0.13441398804218965
9,0.8283333333333334,0.14884742374510737
10,0.8816666666666666,0.09695359714832656
11,0.8140476190476191,0.13441398804218965
12,0.8450000000000001,0.12948616399703353
13,0.865,0.1150362261782493
14,0.8483333333333334,0.13888444437333106
15,0.8616666666666667,0.11661903789690599
16,0.8816666666666666,0.09695359714832656
17,0.8616666666666667,0.11661903789690599
18,0.8140476190476191,0.13441398804218965
19,0.8283333333333334,0.14884742374510737
20,0.8140476190476191,0.13441398804218965
