sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.84,0.659,0.181,0.107,5,0,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.84,0.718,0.122,0.117,4,1,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_full,base,full,balanced_accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_all_candidates,base,all_candidates,balanced_accuracy,0.84,0.814,0.026,0.083,3,1,1
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_positive_permutation,base,positive_permutation,balanced_accuracy,0.84,0.871,-0.031,0.062,1,3,1
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.84,0.882,-0.042,0.053,0,2,3
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.84,0.848,-0.008,0.067,1,1,3
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.659,0.718,-0.059,0.089,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_full,activity_rhythm,full,balanced_accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.659,0.814,-0.155,0.132,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.659,0.871,-0.212,0.094,0,5,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.659,0.882,-0.223,0.094,0,5,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.659,0.848,-0.189,0.107,0,5,0
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.795,0.718,0.077,0.051,4,0,1
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_full,hourly_activity,full,balanced_accuracy,0.795,0.795,0.0,0.0,0,0,5
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.795,0.814,-0.019,0.076,1,2,2
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.795,0.871,-0.076,0.093,1,4,0
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.795,0.882,-0.087,0.05,0,4,1
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_select_from_model,hourly_activity,select_from_model,balanced_accuracy,0.795,0.848,-0.054,0.091,1,3,1
person,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_full,six_hour_bins,full,balanced_accuracy,0.718,0.795,-0.077,0.051,0,4,1
person,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_all_candidates,six_hour_bins,all_candidates,balanced_accuracy,0.718,0.814,-0.096,0.089,0,5,0
person,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_positive_permutation,six_hour_bins,positive_permutation,balanced_accuracy,0.718,0.871,-0.153,0.123,1,4,0
person,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_rfecv_selected,six_hour_bins,rfecv_selected,balanced_accuracy,0.718,0.882,-0.164,0.073,0,5,0
