sample_type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier_all_candidates,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 0.92857143, 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.79861111]), 'f1': array([0.6       , 0.66666667, 1.        , 0.88888889, 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'feature_set': 'all_candidates', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
person,Random Forest,RandomForestClassifier_positive_permutation,"{'accuracy': array([0.81818182, 0.90909091, 1.        , 0.90909091, 0.7       ]), 'balanced_accuracy': array([0.8       , 0.91666667, 1.        , 0.92857143, 0.70833333]), 'average_precision': array([1.        , 0.96666667, 1.        , 1.        , 0.85416667]), 'f1': array([0.75      , 0.90909091, 1.        , 0.88888889, 0.66666667]), 'precision': array([1.        , 0.83333333, 1.        , 0.8       , 0.6       ]), 'recall': array([0.6 , 1.  , 1.  , 1.  , 0.75])}","{'feature_set': 'positive_permutation', 'n_features': 3, 'features': ['daily_mean_activity_variance', 'day_night_ratio', 'inactive_evening'], 'feature_set_type': 'automatic'}"
person,Random Forest,RandomForestClassifier_rfecv_selected,"{'accuracy': array([0.81818182, 0.81818182, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.8       , 0.81666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.86111111]), 'f1': array([0.75, 0.8 , 1.  , 1.  , 0.75]), 'precision': array([1.  , 0.8 , 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.8 , 1.  , 1.  , 0.75])}","{'feature_set': 'rfecv_selected', 'n_features': 10, 'features': ['mean', 'sd', 'inactive_ratio', '12_hour_night_activity', 'day_night_ratio', 'daily_mean_activity_variance', 'IS', 'activity_afternoon', 'activity_evening', 'inactive_evening'], 'feature_set_type': 'automatic'}"
person,Random Forest,RandomForestClassifier_select_from_model,"{'accuracy': array([0.63636364, 0.81818182, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.81666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.86111111]), 'f1': array([0.6 , 0.8 , 1.  , 1.  , 0.75]), 'precision': array([0.6 , 0.8 , 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.8 , 1.  , 1.  , 0.75])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 20, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
person,Logistic Regression,LogisticRegression_all_candidates,"{'accuracy': array([1.        , 0.90909091, 0.90909091, 0.90909091, 0.8       ]), 'balanced_accuracy': array([1.        , 0.91666667, 0.92857143, 0.875     , 0.79166667]), 'average_precision': array([1.        , 0.96666667, 0.95      , 1.        , 0.89285714]), 'f1': array([1.        , 0.90909091, 0.88888889, 0.85714286, 0.75      ]), 'precision': array([1.        , 0.83333333, 0.8       , 1.        , 0.75      ]), 'recall': array([1.  , 1.  , 1.  , 0.75, 0.75])}","{'feature_set': 'all_candidates', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
person,Logistic Regression,LogisticRegression_positive_permutation,"{'accuracy': array([0.90909091, 0.90909091, 0.90909091, 1.        , 0.8       ]), 'balanced_accuracy': array([0.91666667, 0.91666667, 0.92857143, 1.        , 0.79166667]), 'average_precision': array([1.        , 1.        , 1.        , 1.        , 0.85416667]), 'f1': array([0.90909091, 0.90909091, 0.88888889, 1.        , 0.75      ]), 'precision': array([0.83333333, 0.83333333, 0.8       , 1.        , 0.75      ]), 'recall': array([1.  , 1.  , 1.  , 1.  , 0.75])}","{'feature_set': 'positive_permutation', 'n_features': 11, 'features': ['IS', 'daily_mean_activity_variance', 'sd', 'activity_afternoon', 'RA', 'mean', 'activity_evening', '12_hour_night_activity', 'inactive_afternoon', 'longest_inactivity', 'activity_night'], 'feature_set_type': 'automatic'}"
person,Logistic Regression,LogisticRegression_rfecv_selected,"{'accuracy': array([0.81818182, 0.90909091, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.83333333, 0.91666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.92666667, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.83333333, 0.90909091, 1.        , 1.        , 0.75      ]), 'precision': array([0.71428571, 0.83333333, 1.        , 1.        , 0.75      ]), 'recall': array([1.  , 1.  , 1.  , 1.  , 0.75])}","{'feature_set': 'rfecv_selected', 'n_features': 4, 'features': ['sd', '12_hour_night_activity', 'mean_absolute_change_activity', 'activity_night'], 'feature_set_type': 'automatic'}"
person,Logistic Regression,LogisticRegression_select_from_model,"{'accuracy': array([1.        , 0.90909091, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([1.        , 0.91666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([1.        , 0.96666667, 1.        , 1.        , 0.83035714]), 'f1': array([1.        , 0.90909091, 1.        , 1.        , 0.75      ]), 'precision': array([1.        , 0.83333333, 1.        , 1.        , 0.75      ]), 'recall': array([1.  , 1.  , 1.  , 1.  , 0.75])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 20, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
person,Decision Tree,DecisionTreeClassifier_all_candidates,"{'accuracy': array([0.63636364, 0.81818182, 0.90909091, 0.90909091, 0.7       ]), 'balanced_accuracy': array([0.63333333, 0.81666667, 0.875     , 0.875     , 0.70833333]), 'average_precision': array([0.48848485, 0.765     , 0.95      , 0.89285714, 0.55      ]), 'f1': array([0.6       , 0.8       , 0.85714286, 0.85714286, 0.66666667]), 'precision': array([0.6, 0.8, 1. , 1. , 0.6]), 'recall': array([0.6 , 0.8 , 0.75, 0.75, 0.75])}","{'feature_set': 'all_candidates', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
person,Decision Tree,DecisionTreeClassifier_positive_permutation,"{'accuracy': array([0.63636364, 0.81818182, 0.90909091, 0.90909091, 0.7       ]), 'balanced_accuracy': array([0.63333333, 0.81666667, 0.875     , 0.875     , 0.70833333]), 'average_precision': array([0.78181818, 0.765     , 0.95      , 0.89285714, 0.48333333]), 'f1': array([0.6       , 0.8       , 0.85714286, 0.85714286, 0.66666667]), 'precision': array([0.6, 0.8, 1. , 1. , 0.6]), 'recall': array([0.6 , 0.8 , 0.75, 0.75, 0.75])}","{'feature_set': 'positive_permutation', 'n_features': 5, 'features': ['daily_mean_activity_variance', 'inactive_evening', 'sd', 'inactive_ratio', 'day_night_ratio'], 'feature_set_type': 'automatic'}"
