sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
person,Random Forest,RandomForestClassifier_all_candidates,RandomForestClassifier_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.814,0.871,-0.057,0.108,1,2,2
person,Random Forest,RandomForestClassifier_all_candidates,RandomForestClassifier_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.814,0.882,-0.068,0.063,0,3,2
person,Random Forest,RandomForestClassifier_all_candidates,RandomForestClassifier_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.814,0.848,-0.034,0.043,0,2,3
person,Random Forest,RandomForestClassifier_positive_permutation,RandomForestClassifier_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.871,0.882,-0.011,0.065,1,2,2
person,Random Forest,RandomForestClassifier_positive_permutation,RandomForestClassifier_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.871,0.848,0.022,0.097,2,2,1
person,Random Forest,RandomForestClassifier_rfecv_selected,RandomForestClassifier_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.882,0.848,0.033,0.067,1,0,4
person,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.902,0.911,-0.008,0.067,1,1,3
person,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.902,0.908,-0.006,0.098,1,2,2
person,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.902,0.942,-0.039,0.051,0,2,3
person,Logistic Regression,LogisticRegression_positive_permutation,LogisticRegression_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.911,0.908,0.002,0.049,1,1,3
person,Logistic Regression,LogisticRegression_positive_permutation,LogisticRegression_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.911,0.942,-0.031,0.038,0,2,3
person,Logistic Regression,LogisticRegression_rfecv_selected,LogisticRegression_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.908,0.942,-0.033,0.067,0,1,4
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.782,0.873,-0.092,0.076,0,3,2
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.782,0.873,-0.092,0.076,0,3,2
person,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_rfecv_selected,DecisionTreeClassifier_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.873,0.782,0.092,0.076,3,0,2
