sample_type,classifier,feature,cluster
person,Random Forest,longest_inactivity,1
person,Random Forest,inactive_ratio,1
person,Random Forest,inactive_morning,1
person,Random Forest,inactive_night,1
person,Random Forest,inactive_evening,1
person,Random Forest,inactive_afternoon,1
person,Random Forest,sd,2
person,Random Forest,mean,2
person,Random Forest,activity_evening,2
person,Random Forest,activity_afternoon,2
person,Random Forest,activity_morning,2
person,Random Forest,activity_night,2
person,Random Forest,12_hour_day_activity,2
person,Random Forest,12_hour_night_activity,2
person,Random Forest,mean_absolute_change_activity,2
person,Random Forest,RA,2
person,Random Forest,daily_mean_activity_variance,3
person,Random Forest,IS,3
person,Random Forest,day_night_ratio,3
person,Random Forest,IV,4
person,Logistic Regression,longest_inactivity,1
person,Logistic Regression,inactive_ratio,1
person,Logistic Regression,inactive_morning,1
person,Logistic Regression,inactive_night,1
person,Logistic Regression,inactive_evening,1
person,Logistic Regression,inactive_afternoon,1
person,Logistic Regression,sd,2
person,Logistic Regression,mean,2
person,Logistic Regression,activity_evening,2
person,Logistic Regression,activity_afternoon,2
person,Logistic Regression,activity_morning,2
person,Logistic Regression,activity_night,2
person,Logistic Regression,12_hour_day_activity,2
person,Logistic Regression,12_hour_night_activity,2
person,Logistic Regression,mean_absolute_change_activity,2
person,Logistic Regression,RA,2
person,Logistic Regression,daily_mean_activity_variance,3
person,Logistic Regression,IS,3
person,Logistic Regression,day_night_ratio,3
person,Logistic Regression,IV,4
person,Decision Tree,longest_inactivity,1
person,Decision Tree,inactive_ratio,1
person,Decision Tree,inactive_morning,1
person,Decision Tree,inactive_night,1
person,Decision Tree,inactive_evening,1
person,Decision Tree,inactive_afternoon,1
person,Decision Tree,sd,2
person,Decision Tree,mean,2
person,Decision Tree,activity_evening,2
person,Decision Tree,activity_afternoon,2
person,Decision Tree,activity_morning,2
person,Decision Tree,activity_night,2
person,Decision Tree,12_hour_day_activity,2
person,Decision Tree,12_hour_night_activity,2
person,Decision Tree,mean_absolute_change_activity,2
person,Decision Tree,RA,2
person,Decision Tree,daily_mean_activity_variance,3
person,Decision Tree,IS,3
person,Decision Tree,day_night_ratio,3
person,Decision Tree,IV,4
