sample_type,classifier,feature,nan_count,nan_pct,inf_count,inactive_count,zero_proportion,variance,std_dev,is_constant,issues
person,Random Forest,min,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Random Forest,max,0,0.0,0,0,0.0,3030561.384,1740.851,False,OK
person,Random Forest,mean,0,0.0,0,0,0.0,7128.792,84.432,False,OK
person,Random Forest,median,0,0.0,0,13,0.241,2168.411,46.566,False,OK
person,Random Forest,sd,0,0.0,0,0,0.0,12113.325,110.061,False,OK
person,Random Forest,mean_activity_0,0,0.0,0,0,0.0,5689.997,75.432,False,OK
person,Random Forest,mean_activity_1,0,0.0,0,0,0.0,2997.763,54.752,False,OK
person,Random Forest,mean_activity_2,0,0.0,0,0,0.0,1141.234,33.782,False,OK
person,Random Forest,mean_activity_3,0,0.0,0,0,0.0,579.286,24.068,False,OK
person,Random Forest,mean_activity_4,0,0.0,0,0,0.0,509.394,22.57,False,OK
person,Random Forest,mean_activity_5,0,0.0,0,0,0.0,1512.315,38.888,False,OK
person,Random Forest,mean_activity_6,0,0.0,0,0,0.0,15522.286,124.588,False,OK
person,Random Forest,mean_activity_7,0,0.0,0,0,0.0,12766.407,112.989,False,OK
person,Random Forest,mean_activity_8,0,0.0,0,0,0.0,17523.111,132.375,False,OK
person,Random Forest,mean_activity_9,0,0.0,0,0,0.0,15748.247,125.492,False,OK
person,Random Forest,mean_activity_10,0,0.0,0,0,0.0,17161.363,131.001,False,OK
person,Random Forest,mean_activity_11,0,0.0,0,0,0.0,16393.108,128.036,False,OK
person,Random Forest,mean_activity_12,0,0.0,0,0,0.0,19915.408,141.122,False,OK
person,Random Forest,mean_activity_13,0,0.0,0,0,0.0,21426.036,146.376,False,OK
person,Random Forest,mean_activity_14,0,0.0,0,0,0.0,22321.853,149.405,False,OK
person,Random Forest,mean_activity_15,0,0.0,0,0,0.0,21373.545,146.197,False,OK
person,Random Forest,mean_activity_16,0,0.0,0,0,0.0,20073.946,141.683,False,OK
person,Random Forest,mean_activity_17,0,0.0,0,0,0.0,18582.033,136.316,False,OK
person,Random Forest,mean_activity_18,0,0.0,0,0,0.0,17847.802,133.596,False,OK
person,Random Forest,mean_activity_19,0,0.0,0,0,0.0,15760.794,125.542,False,OK
person,Random Forest,mean_activity_20,0,0.0,0,0,0.0,15111.589,122.929,False,OK
person,Random Forest,mean_activity_21,0,0.0,0,0,0.0,12998.913,114.013,False,OK
person,Random Forest,mean_activity_22,0,0.0,0,0,0.0,13860.108,117.729,False,OK
person,Random Forest,mean_activity_23,0,0.0,0,0,0.0,9898.042,99.489,False,OK
person,Random Forest,inactive_ratio,0,0.0,0,0,0.0,0.019,0.139,False,OK
person,Random Forest,longest_inactivity,0,0.0,0,0,0.0,161542.938,401.924,False,OK
person,Random Forest,is_constant_activity,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Random Forest,12_hour_day_activity,0,0.0,0,0,0.0,14863.874,121.917,False,OK
person,Random Forest,12_hour_night_activity,0,0.0,0,0,0.0,3184.497,56.431,False,OK
person,Random Forest,day_night_ratio,0,0.0,0,0,0.0,1.928,1.389,False,OK
person,Random Forest,mean_absolute_change_activity,0,0.0,0,0,0.0,1519.383,38.979,False,OK
person,Random Forest,IV,0,0.0,0,0,0.0,0.033,0.182,False,OK
person,Random Forest,RA,0,0.0,0,0,0.0,0.017,0.129,False,OK
person,Random Forest,daily_mean_activity_variance,0,0.0,0,0,0.0,98069484.157,9903.004,False,OK
person,Random Forest,IS,0,0.0,0,0,0.0,0.027,0.164,False,OK
person,Random Forest,activity_night,0,0.0,0,0,0.0,1153.607,33.965,False,OK
person,Random Forest,activity_morning,0,0.0,0,0,0.0,10827.953,104.057,False,OK
person,Random Forest,activity_afternoon,0,0.0,0,0,0.0,17990.304,134.128,False,OK
person,Random Forest,activity_evening,0,0.0,0,0,0.0,11274.88,106.183,False,OK
person,Random Forest,inactive_night,0,0.0,0,0,0.0,0.037,0.193,False,OK
person,Random Forest,inactive_morning,0,0.0,0,1,0.019,0.032,0.178,False,OK
person,Random Forest,inactive_afternoon,0,0.0,0,1,0.019,0.02,0.14,False,OK
person,Random Forest,inactive_evening,0,0.0,0,1,0.019,0.028,0.169,False,OK
person,Random Forest,person_id,0,0.0,0,0,0.0,74.329,8.621,False,OK
person,Logistic Regression,min,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Logistic Regression,max,0,0.0,0,0,0.0,3030561.384,1740.851,False,OK
person,Logistic Regression,mean,0,0.0,0,0,0.0,7128.792,84.432,False,OK
person,Logistic Regression,median,0,0.0,0,13,0.241,2168.411,46.566,False,OK
person,Logistic Regression,sd,0,0.0,0,0,0.0,12113.325,110.061,False,OK
person,Logistic Regression,mean_activity_0,0,0.0,0,0,0.0,5689.997,75.432,False,OK
person,Logistic Regression,mean_activity_1,0,0.0,0,0,0.0,2997.763,54.752,False,OK
person,Logistic Regression,mean_activity_2,0,0.0,0,0,0.0,1141.234,33.782,False,OK
person,Logistic Regression,mean_activity_3,0,0.0,0,0,0.0,579.286,24.068,False,OK
person,Logistic Regression,mean_activity_4,0,0.0,0,0,0.0,509.394,22.57,False,OK
person,Logistic Regression,mean_activity_5,0,0.0,0,0,0.0,1512.315,38.888,False,OK
person,Logistic Regression,mean_activity_6,0,0.0,0,0,0.0,15522.286,124.588,False,OK
person,Logistic Regression,mean_activity_7,0,0.0,0,0,0.0,12766.407,112.989,False,OK
person,Logistic Regression,mean_activity_8,0,0.0,0,0,0.0,17523.111,132.375,False,OK
person,Logistic Regression,mean_activity_9,0,0.0,0,0,0.0,15748.247,125.492,False,OK
person,Logistic Regression,mean_activity_10,0,0.0,0,0,0.0,17161.363,131.001,False,OK
person,Logistic Regression,mean_activity_11,0,0.0,0,0,0.0,16393.108,128.036,False,OK
person,Logistic Regression,mean_activity_12,0,0.0,0,0,0.0,19915.408,141.122,False,OK
person,Logistic Regression,mean_activity_13,0,0.0,0,0,0.0,21426.036,146.376,False,OK
person,Logistic Regression,mean_activity_14,0,0.0,0,0,0.0,22321.853,149.405,False,OK
person,Logistic Regression,mean_activity_15,0,0.0,0,0,0.0,21373.545,146.197,False,OK
person,Logistic Regression,mean_activity_16,0,0.0,0,0,0.0,20073.946,141.683,False,OK
person,Logistic Regression,mean_activity_17,0,0.0,0,0,0.0,18582.033,136.316,False,OK
person,Logistic Regression,mean_activity_18,0,0.0,0,0,0.0,17847.802,133.596,False,OK
person,Logistic Regression,mean_activity_19,0,0.0,0,0,0.0,15760.794,125.542,False,OK
person,Logistic Regression,mean_activity_20,0,0.0,0,0,0.0,15111.589,122.929,False,OK
person,Logistic Regression,mean_activity_21,0,0.0,0,0,0.0,12998.913,114.013,False,OK
person,Logistic Regression,mean_activity_22,0,0.0,0,0,0.0,13860.108,117.729,False,OK
person,Logistic Regression,mean_activity_23,0,0.0,0,0,0.0,9898.042,99.489,False,OK
person,Logistic Regression,inactive_ratio,0,0.0,0,0,0.0,0.019,0.139,False,OK
person,Logistic Regression,longest_inactivity,0,0.0,0,0,0.0,161542.938,401.924,False,OK
person,Logistic Regression,is_constant_activity,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Logistic Regression,12_hour_day_activity,0,0.0,0,0,0.0,14863.874,121.917,False,OK
person,Logistic Regression,12_hour_night_activity,0,0.0,0,0,0.0,3184.497,56.431,False,OK
person,Logistic Regression,day_night_ratio,0,0.0,0,0,0.0,1.928,1.389,False,OK
person,Logistic Regression,mean_absolute_change_activity,0,0.0,0,0,0.0,1519.383,38.979,False,OK
person,Logistic Regression,IV,0,0.0,0,0,0.0,0.033,0.182,False,OK
person,Logistic Regression,RA,0,0.0,0,0,0.0,0.017,0.129,False,OK
person,Logistic Regression,daily_mean_activity_variance,0,0.0,0,0,0.0,98069484.157,9903.004,False,OK
person,Logistic Regression,IS,0,0.0,0,0,0.0,0.027,0.164,False,OK
person,Logistic Regression,activity_night,0,0.0,0,0,0.0,1153.607,33.965,False,OK
person,Logistic Regression,activity_morning,0,0.0,0,0,0.0,10827.953,104.057,False,OK
person,Logistic Regression,activity_afternoon,0,0.0,0,0,0.0,17990.304,134.128,False,OK
person,Logistic Regression,activity_evening,0,0.0,0,0,0.0,11274.88,106.183,False,OK
person,Logistic Regression,inactive_night,0,0.0,0,0,0.0,0.037,0.193,False,OK
person,Logistic Regression,inactive_morning,0,0.0,0,1,0.019,0.032,0.178,False,OK
person,Logistic Regression,inactive_afternoon,0,0.0,0,1,0.019,0.02,0.14,False,OK
person,Logistic Regression,inactive_evening,0,0.0,0,1,0.019,0.028,0.169,False,OK
person,Logistic Regression,person_id,0,0.0,0,0,0.0,74.329,8.621,False,OK
person,Decision Tree,min,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Decision Tree,max,0,0.0,0,0,0.0,3030561.384,1740.851,False,OK
person,Decision Tree,mean,0,0.0,0,0,0.0,7128.792,84.432,False,OK
person,Decision Tree,median,0,0.0,0,13,0.241,2168.411,46.566,False,OK
person,Decision Tree,sd,0,0.0,0,0,0.0,12113.325,110.061,False,OK
person,Decision Tree,mean_activity_0,0,0.0,0,0,0.0,5689.997,75.432,False,OK
person,Decision Tree,mean_activity_1,0,0.0,0,0,0.0,2997.763,54.752,False,OK
person,Decision Tree,mean_activity_2,0,0.0,0,0,0.0,1141.234,33.782,False,OK
person,Decision Tree,mean_activity_3,0,0.0,0,0,0.0,579.286,24.068,False,OK
person,Decision Tree,mean_activity_4,0,0.0,0,0,0.0,509.394,22.57,False,OK
person,Decision Tree,mean_activity_5,0,0.0,0,0,0.0,1512.315,38.888,False,OK
person,Decision Tree,mean_activity_6,0,0.0,0,0,0.0,15522.286,124.588,False,OK
person,Decision Tree,mean_activity_7,0,0.0,0,0,0.0,12766.407,112.989,False,OK
person,Decision Tree,mean_activity_8,0,0.0,0,0,0.0,17523.111,132.375,False,OK
person,Decision Tree,mean_activity_9,0,0.0,0,0,0.0,15748.247,125.492,False,OK
person,Decision Tree,mean_activity_10,0,0.0,0,0,0.0,17161.363,131.001,False,OK
person,Decision Tree,mean_activity_11,0,0.0,0,0,0.0,16393.108,128.036,False,OK
person,Decision Tree,mean_activity_12,0,0.0,0,0,0.0,19915.408,141.122,False,OK
