sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
person,Random Forest,manual_base,mean,0.0,-0.382,False,False,False
person,Random Forest,manual_base,sd,0.0,-0.377,False,False,False
person,Random Forest,manual_base,inactive_ratio,0.0,,False,False,False
person,Random Forest,manual_base,day_night_ratio,0.0,0.29,False,False,False
person,Random Forest,manual_base,longest_inactivity,0.0,0.64,False,False,False
person,Random Forest,manual_base,mean_absolute_change_activity,0.0,-0.41,False,False,False
person,Random Forest,manual_base,daily_mean_activity_variance,0.0,-0.101,False,False,False
person,Random Forest,manual_activity_rhythm,IS,0.0,0.051,False,False,False
person,Random Forest,manual_activity_rhythm,IV,0.0,-0.202,False,False,False
person,Random Forest,manual_activity_rhythm,RA,0.0,-0.027,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_0,0.0,-0.236,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_1,0.0,-0.171,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_2,0.0,-0.198,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_3,0.0,-0.049,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_4,0.0,-0.012,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_5,0.0,-0.117,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_6,0.0,-0.248,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_7,0.0,-0.495,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_8,0.0,-0.303,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_9,0.0,-0.248,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_10,0.0,-0.279,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_11,0.0,-0.256,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_12,0.0,-0.325,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_13,0.0,-0.332,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_14,0.0,-0.392,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_15,0.0,-0.301,False,False,False
