sample_type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier_manual_base_remove_inactive_ratio,"{'accuracy': array([0.63636364, 0.81818182, 1.        , 1.        , 0.7       ]), 'balanced_accuracy': array([0.63333333, 0.81666667, 1.        , 1.        , 0.66666667]), 'average_precision': array([0.85833333, 0.92666667, 1.        , 1.        , 0.85416667]), 'f1': array([0.6       , 0.8       , 1.        , 1.        , 0.57142857]), 'precision': array([0.6       , 0.8       , 1.        , 1.        , 0.66666667]), 'recall': array([0.6, 0.8, 1. , 1. , 0.5])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_base', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_ratio', 'n_features': 6, 'features': ['mean', 'sd', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance']}"
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_afternoon,"{'accuracy': array([0.72727273, 0.63636364, 0.81818182, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.63333333, 0.85714286, 0.85714286, 0.75      ]), 'average_precision': array([0.75952381, 0.82619048, 0.80416667, 0.67916667, 0.86111111]), 'f1': array([0.66666667, 0.6       , 0.8       , 0.8       , 0.66666667]), 'precision': array([0.75      , 0.6       , 0.66666667, 0.66666667, 1.        ]), 'recall': array([0.6, 0.6, 1. , 1. , 0.5])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_afternoon', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_evening,"{'accuracy': array([0.54545455, 0.63636364, 0.72727273, 0.72727273, 0.7       ]), 'balanced_accuracy': array([0.53333333, 0.63333333, 0.73214286, 0.73214286, 0.66666667]), 'average_precision': array([0.75928571, 0.79619048, 0.77083333, 0.77083333, 0.725     ]), 'f1': array([0.44444444, 0.6       , 0.66666667, 0.66666667, 0.57142857]), 'precision': array([0.5       , 0.6       , 0.6       , 0.6       , 0.66666667]), 'recall': array([0.4 , 0.6 , 0.75, 0.75, 0.5 ])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon']}"
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_morning,"{'accuracy': array([0.72727273, 0.63636364, 0.90909091, 0.81818182, 0.7       ]), 'balanced_accuracy': array([0.71666667, 0.63333333, 0.92857143, 0.85714286, 0.66666667]), 'average_precision': array([0.75952381, 0.75952381, 0.80416667, 0.64583333, 0.7875    ]), 'f1': array([0.66666667, 0.6       , 0.88888889, 0.8       , 0.57142857]), 'precision': array([0.75      , 0.6       , 0.8       , 0.66666667, 0.66666667]), 'recall': array([0.6, 0.6, 1. , 1. , 0.5])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_morning', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_night,"{'accuracy': array([0.72727273, 0.63636364, 0.72727273, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.63333333, 0.78571429, 0.85714286, 0.75      ]), 'average_precision': array([0.75952381, 0.82619048, 0.8875    , 0.56666667, 0.7875    ]), 'f1': array([0.66666667, 0.6       , 0.72727273, 0.8       , 0.66666667]), 'precision': array([0.75      , 0.6       , 0.57142857, 0.66666667, 1.        ]), 'recall': array([0.6, 0.6, 1. , 1. , 0.5])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_night', 'n_features': 7, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_min,"{'accuracy': array([0.72727273, 0.72727273, 1.        , 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.71666667, 1.        , 0.92857143, 0.79166667]), 'average_precision': array([0.90285714, 0.90285714, 1.        , 1.        , 0.875     ]), 'f1': array([0.66666667, 0.66666667, 1.        , 0.88888889, 0.75      ]), 'precision': array([0.75, 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'min', 'n_features': 47, 'features': ['max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_is_constant_activity,"{'accuracy': array([0.72727273, 0.72727273, 0.90909091, 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.71666667, 0.875     , 0.92857143, 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.66666667, 0.66666667, 0.85714286, 0.88888889, 0.75      ]), 'precision': array([0.75, 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 0.75, 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'is_constant_activity', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_afternoon,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_afternoon', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_evening,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_morning,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_morning', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_afternoon', 'inactive_evening']}"
