sample_type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier_base,"{'accuracy': array([0.72727273, 0.81818182, 1.        , 1.        , 0.7       ]), 'balanced_accuracy': array([0.71666667, 0.81666667, 1.        , 1.        , 0.66666667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.77083333]), 'f1': array([0.66666667, 0.8       , 1.        , 1.        , 0.57142857]), 'precision': array([0.75      , 0.8       , 1.        , 1.        , 0.66666667]), 'recall': array([0.6, 0.8, 1. , 1. , 0.5])}","{'feature_set': 'base', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'feature_set_type': 'manual'}"
person,Random Forest,RandomForestClassifier_activity_rhythm,"{'accuracy': array([0.54545455, 0.72727273, 0.72727273, 0.81818182, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.73333333, 0.625     , 0.80357143, 0.58333333]), 'average_precision': array([0.78888889, 0.82619048, 0.74702381, 0.86111111, 0.71825397]), 'f1': array([0.54545455, 0.72727273, 0.4       , 0.75      , 0.5       ]), 'precision': array([0.5       , 0.66666667, 1.        , 0.75      , 0.5       ]), 'recall': array([0.6 , 0.8 , 0.25, 0.75, 0.5 ])}","{'feature_set': 'activity_rhythm', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'feature_set_type': 'manual'}"
person,Random Forest,RandomForestClassifier_hourly_activity,"{'accuracy': array([0.72727273, 0.72727273, 0.90909091, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.73333333, 0.71666667, 0.875     , 0.85714286, 0.79166667]), 'average_precision': array([0.78619048, 0.78619048, 1.        , 0.69166667, 0.79861111]), 'f1': array([0.72727273, 0.66666667, 0.85714286, 0.8       , 0.75      ]), 'precision': array([0.66666667, 0.75      , 1.        , 0.66666667, 0.75      ]), 'recall': array([0.8 , 0.6 , 0.75, 1.  , 0.75])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
person,Random Forest,RandomForestClassifier_six_hour_bins,"{'accuracy': array([0.63636364, 0.63636364, 0.72727273, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.61666667, 0.63333333, 0.73214286, 0.85714286, 0.75      ]), 'average_precision': array([0.75952381, 0.87619048, 0.64583333, 0.64583333, 0.725     ]), 'f1': array([0.5       , 0.6       , 0.66666667, 0.8       , 0.66666667]), 'precision': array([0.66666667, 0.6       , 0.6       , 0.66666667, 1.        ]), 'recall': array([0.4 , 0.6 , 0.75, 1.  , 0.5 ])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
person,Random Forest,RandomForestClassifier_full,"{'accuracy': array([0.72727273, 0.72727273, 0.90909091, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.73333333, 0.71666667, 0.875     , 0.85714286, 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.875     ]), 'f1': array([0.72727273, 0.66666667, 0.85714286, 0.8       , 0.75      ]), 'precision': array([0.66666667, 0.75      , 1.        , 0.66666667, 0.75      ]), 'recall': array([0.8 , 0.6 , 0.75, 1.  , 0.75])}","{'feature_set': 'full', 'n_features': 48, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
person,Logistic Regression,LogisticRegression_base,"{'accuracy': array([0.90909091, 0.81818182, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.91666667, 0.81666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([1.        , 0.96666667, 1.        , 1.        , 0.91666667]), 'f1': array([0.90909091, 0.8       , 1.        , 1.        , 0.75      ]), 'precision': array([0.83333333, 0.8       , 1.        , 1.        , 0.75      ]), 'recall': array([1.  , 0.8 , 1.  , 1.  , 0.75])}","{'feature_set': 'base', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'feature_set_type': 'manual'}"
person,Logistic Regression,LogisticRegression_activity_rhythm,"{'accuracy': array([0.81818182, 0.81818182, 0.81818182, 0.90909091, 0.7       ]), 'balanced_accuracy': array([0.81666667, 0.81666667, 0.85714286, 0.875     , 0.66666667]), 'average_precision': array([0.94285714, 0.835     , 0.67916667, 0.86111111, 0.70486111]), 'f1': array([0.8       , 0.8       , 0.8       , 0.85714286, 0.57142857]), 'precision': array([0.8       , 0.8       , 0.66666667, 1.        , 0.66666667]), 'recall': array([0.8 , 0.8 , 1.  , 0.75, 0.5 ])}","{'feature_set': 'activity_rhythm', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'feature_set_type': 'manual'}"
person,Logistic Regression,LogisticRegression_hourly_activity,"{'accuracy': array([0.81818182, 0.81818182, 0.90909091, 1.        , 0.9       ]), 'balanced_accuracy': array([0.83333333, 0.81666667, 0.92857143, 1.        , 0.875     ]), 'average_precision': array([0.94285714, 0.94285714, 0.8875    , 1.        , 0.89285714]), 'f1': array([0.83333333, 0.8       , 0.88888889, 1.        , 0.85714286]), 'precision': array([0.71428571, 0.8       , 0.8       , 1.        , 1.        ]), 'recall': array([1.  , 0.8 , 1.  , 1.  , 0.75])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
person,Logistic Regression,LogisticRegression_six_hour_bins,"{'accuracy': array([0.90909091, 0.72727273, 0.72727273, 0.90909091, 0.7       ]), 'balanced_accuracy': array([0.91666667, 0.73333333, 0.78571429, 0.92857143, 0.66666667]), 'average_precision': array([1.        , 0.85833333, 0.83035714, 0.8875    , 0.79861111]), 'f1': array([0.90909091, 0.72727273, 0.72727273, 0.88888889, 0.57142857]), 'precision': array([0.83333333, 0.66666667, 0.57142857, 0.8       , 0.66666667]), 'recall': array([1. , 0.8, 1. , 1. , 0.5])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
person,Logistic Regression,LogisticRegression_full,"{'accuracy': array([1.        , 0.90909091, 0.90909091, 1.        , 0.8       ]), 'balanced_accuracy': array([1.        , 0.91666667, 0.92857143, 1.        , 0.79166667]), 'average_precision': array([1.        , 0.96666667, 0.95      , 1.        , 0.89285714]), 'f1': array([1.        , 0.90909091, 0.88888889, 1.        , 0.75      ]), 'precision': array([1.        , 0.83333333, 0.8       , 1.        , 0.75      ]), 'recall': array([1.  , 1.  , 1.  , 1.  , 0.75])}","{'feature_set': 'full', 'n_features': 48, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
