sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.84,0.659,0.181,0.107,5,0,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.84,0.718,0.122,0.117,4,1,0
person,Random Forest,RandomForestClassifier_base,RandomForestClassifier_full,base,full,balanced_accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.659,0.718,-0.059,0.089,1,4,0
person,Random Forest,RandomForestClassifier_activity_rhythm,RandomForestClassifier_full,activity_rhythm,full,balanced_accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.795,0.718,0.077,0.051,4,0,1
person,Random Forest,RandomForestClassifier_hourly_activity,RandomForestClassifier_full,hourly_activity,full,balanced_accuracy,0.795,0.795,0.0,0.0,0,0,5
person,Random Forest,RandomForestClassifier_six_hour_bins,RandomForestClassifier_full,six_hour_bins,full,balanced_accuracy,0.718,0.795,-0.077,0.051,0,4,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.905,0.806,0.099,0.051,4,0,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_hourly_activity,base,hourly_activity,balanced_accuracy,0.905,0.891,0.014,0.06,2,1,2
person,Logistic Regression,LogisticRegression_base,LogisticRegression_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.905,0.806,0.099,0.07,4,0,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_full,base,full,balanced_accuracy,0.905,0.927,-0.022,0.063,1,2,2
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.806,0.891,-0.084,0.076,0,4,1
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.806,0.806,0.0,0.071,2,2,1
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_full,activity_rhythm,full,balanced_accuracy,0.806,0.927,-0.121,0.037,0,5,0
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.891,0.806,0.085,0.097,4,1,0
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_full,hourly_activity,full,balanced_accuracy,0.891,0.927,-0.037,0.087,1,2,2
person,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_full,six_hour_bins,full,balanced_accuracy,0.806,0.927,-0.121,0.041,0,5,0
person,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.823,0.517,0.306,0.096,5,0,0
person,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.823,0.754,0.069,0.163,3,1,1
person,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.823,0.685,0.138,0.222,3,2,0
person,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_full,base,full,balanced_accuracy,0.823,0.726,0.098,0.068,4,0,1
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.517,0.754,-0.237,0.098,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.517,0.685,-0.168,0.142,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_full,activity_rhythm,full,balanced_accuracy,0.517,0.726,-0.209,0.102,0,5,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.754,0.685,0.069,0.136,4,1,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_full,hourly_activity,full,balanced_accuracy,0.754,0.726,0.028,0.138,3,2,0
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_full,six_hour_bins,full,balanced_accuracy,0.685,0.726,-0.04,0.227,2,3,0
