sample_type,classifier,feature,selected,ranking
person,Random Forest,mean,True,1
person,Random Forest,sd,True,1
person,Random Forest,inactive_ratio,True,1
person,Random Forest,12_hour_night_activity,True,1
person,Random Forest,day_night_ratio,True,1
person,Random Forest,activity_afternoon,True,1
person,Random Forest,daily_mean_activity_variance,True,1
person,Random Forest,IS,True,1
person,Random Forest,activity_evening,True,1
person,Random Forest,inactive_evening,True,1
person,Random Forest,mean_absolute_change_activity,False,2
person,Random Forest,RA,False,3
person,Random Forest,inactive_night,False,4
person,Random Forest,12_hour_day_activity,False,5
person,Random Forest,IV,False,6
person,Random Forest,longest_inactivity,False,7
person,Random Forest,inactive_afternoon,False,8
person,Random Forest,activity_night,False,9
person,Random Forest,inactive_morning,False,10
person,Random Forest,activity_morning,False,11
person,Logistic Regression,sd,True,1
person,Logistic Regression,12_hour_night_activity,True,1
person,Logistic Regression,mean_absolute_change_activity,True,1
person,Logistic Regression,activity_night,True,1
person,Logistic Regression,12_hour_day_activity,False,2
person,Logistic Regression,activity_afternoon,False,3
person,Logistic Regression,activity_morning,False,4
person,Logistic Regression,activity_evening,False,5
person,Logistic Regression,inactive_night,False,6
person,Logistic Regression,inactive_morning,False,7
person,Logistic Regression,inactive_ratio,False,8
person,Logistic Regression,inactive_evening,False,9
person,Logistic Regression,day_night_ratio,False,10
person,Logistic Regression,inactive_afternoon,False,11
person,Logistic Regression,daily_mean_activity_variance,False,12
person,Logistic Regression,IV,False,13
person,Logistic Regression,RA,False,14
person,Logistic Regression,longest_inactivity,False,15
person,Logistic Regression,IS,False,16
person,Logistic Regression,mean,False,17
person,Decision Tree,daily_mean_activity_variance,True,1
person,Decision Tree,inactive_evening,True,1
person,Decision Tree,inactive_afternoon,False,2
person,Decision Tree,inactive_morning,False,3
person,Decision Tree,inactive_night,False,4
person,Decision Tree,activity_evening,False,5
person,Decision Tree,activity_afternoon,False,6
person,Decision Tree,activity_morning,False,7
person,Decision Tree,activity_night,False,8
person,Decision Tree,IS,False,9
person,Decision Tree,day_night_ratio,False,10
person,Decision Tree,RA,False,11
person,Decision Tree,IV,False,12
person,Decision Tree,mean_absolute_change_activity,False,13
person,Decision Tree,12_hour_night_activity,False,14
person,Decision Tree,12_hour_day_activity,False,15
person,Decision Tree,longest_inactivity,False,16
person,Decision Tree,inactive_ratio,False,17
person,Decision Tree,sd,False,18
person,Decision Tree,mean,False,19
