sample type,classifier,result 1,result 2,feature set 1,feature set 2,scoring metric,mean 1,mean 2,mean difference,std difference,result 1 better folds,result 2 better folds,tied folds
person,Random Forest,RandomForestClassifier base,RandomForestClassifier activity rhythm,base,activity rhythm,balanced accuracy,0.84,0.659,0.181,0.107,5,0,0
person,Random Forest,RandomForestClassifier base,RandomForestClassifier hourly activity,base,hourly activity,balanced accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier base,RandomForestClassifier six hour bins,base,six hour bins,balanced accuracy,0.84,0.718,0.122,0.117,4,1,0
person,Random Forest,RandomForestClassifier base,RandomForestClassifier full,base,full,balanced accuracy,0.84,0.795,0.045,0.102,3,2,0
person,Random Forest,RandomForestClassifier base,RandomForestClassifier all candidates,base,all candidates,balanced accuracy,0.84,0.814,0.026,0.083,3,1,1
person,Random Forest,RandomForestClassifier base,RandomForestClassifier positive permutation,base,positive permutation,balanced accuracy,0.84,0.871,-0.031,0.062,1,3,1
person,Random Forest,RandomForestClassifier base,RandomForestClassifier rfecv selected,base,rfecv selected,balanced accuracy,0.84,0.882,-0.042,0.053,0,2,3
person,Random Forest,RandomForestClassifier base,RandomForestClassifier select from model,base,select from model,balanced accuracy,0.84,0.848,-0.008,0.067,1,1,3
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier hourly activity,activity rhythm,hourly activity,balanced accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier six hour bins,activity rhythm,six hour bins,balanced accuracy,0.659,0.718,-0.059,0.089,1,4,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier full,activity rhythm,full,balanced accuracy,0.659,0.795,-0.136,0.101,1,4,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier all candidates,activity rhythm,all candidates,balanced accuracy,0.659,0.814,-0.155,0.132,1,4,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier positive permutation,activity rhythm,positive permutation,balanced accuracy,0.659,0.871,-0.212,0.094,0,5,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.659,0.882,-0.223,0.094,0,5,0
person,Random Forest,RandomForestClassifier activity rhythm,RandomForestClassifier select from model,activity rhythm,select from model,balanced accuracy,0.659,0.848,-0.189,0.107,0,5,0
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier six hour bins,hourly activity,six hour bins,balanced accuracy,0.795,0.718,0.077,0.051,4,0,1
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier full,hourly activity,full,balanced accuracy,0.795,0.795,0.0,0.0,0,0,5
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier all candidates,hourly activity,all candidates,balanced accuracy,0.795,0.814,-0.019,0.076,1,2,2
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier positive permutation,hourly activity,positive permutation,balanced accuracy,0.795,0.871,-0.076,0.093,1,4,0
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.795,0.882,-0.087,0.05,0,4,1
person,Random Forest,RandomForestClassifier hourly activity,RandomForestClassifier select from model,hourly activity,select from model,balanced accuracy,0.795,0.848,-0.054,0.091,1,3,1
person,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier full,six hour bins,full,balanced accuracy,0.718,0.795,-0.077,0.051,0,4,1
person,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier all candidates,six hour bins,all candidates,balanced accuracy,0.718,0.814,-0.096,0.089,0,5,0
person,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier positive permutation,six hour bins,positive permutation,balanced accuracy,0.718,0.871,-0.153,0.123,1,4,0
person,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier rfecv selected,six hour bins,rfecv selected,balanced accuracy,0.718,0.882,-0.164,0.073,0,5,0
person,Random Forest,RandomForestClassifier six hour bins,RandomForestClassifier select from model,six hour bins,select from model,balanced accuracy,0.718,0.848,-0.13,0.092,0,5,0
person,Random Forest,RandomForestClassifier full,RandomForestClassifier all candidates,full,all candidates,balanced accuracy,0.795,0.814,-0.019,0.076,1,2,2
person,Random Forest,RandomForestClassifier full,RandomForestClassifier positive permutation,full,positive permutation,balanced accuracy,0.795,0.871,-0.076,0.093,1,4,0
