sample type,classifier,name,feature set,feature set type,n features,accuracy mean,accuracy std,balanced accuracy mean,balanced accuracy std,average precision mean,average precision std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std,rank
person,Random Forest,RandomForestClassifier rfecv selected,rfecv selected,automatic,10,0.887,0.092,0.882,0.097,0.928,0.06,0.86,0.116,0.91,0.111,0.83,0.154,1
person,Random Forest,RandomForestClassifier positive permutation,positive permutation,automatic,3,0.867,0.101,0.871,0.103,0.964,0.056,0.843,0.119,0.847,0.148,0.87,0.166,2
person,Random Forest,RandomForestClassifier select from model,select from model,automatic,20,0.851,0.137,0.848,0.139,0.928,0.06,0.83,0.154,0.83,0.154,0.83,0.154,3
person,Random Forest,RandomForestClassifier all candidates,all candidates,automatic,20,0.815,0.129,0.814,0.134,0.916,0.077,0.781,0.146,0.78,0.129,0.79,0.18,4
person,Logistic Regression,LogisticRegression select from model,select from model,automatic,20,0.942,0.079,0.942,0.082,0.959,0.066,0.932,0.097,0.917,0.105,0.95,0.1,1
person,Logistic Regression,LogisticRegression positive permutation,positive permutation,automatic,11,0.905,0.063,0.911,0.067,0.971,0.058,0.891,0.081,0.843,0.084,0.95,0.1,2
person,Logistic Regression,LogisticRegression rfecv selected,rfecv selected,automatic,4,0.905,0.086,0.908,0.085,0.933,0.069,0.898,0.097,0.86,0.121,0.95,0.1,3
person,Logistic Regression,LogisticRegression all candidates,all candidates,automatic,20,0.905,0.063,0.902,0.068,0.962,0.04,0.881,0.081,0.877,0.104,0.9,0.122,4
person,Decision Tree,DecisionTreeClassifier rfecv selected,rfecv selected,automatic,2,0.889,0.068,0.873,0.07,0.871,0.088,0.853,0.084,0.96,0.08,0.78,0.129,1
person,Decision Tree,DecisionTreeClassifier all candidates,all candidates,automatic,20,0.795,0.11,0.782,0.096,0.729,0.183,0.756,0.105,0.8,0.179,0.73,0.068,2
person,Decision Tree,DecisionTreeClassifier positive permutation,positive permutation,automatic,5,0.795,0.11,0.782,0.096,0.775,0.161,0.756,0.105,0.8,0.179,0.73,0.068,2
person,Decision Tree,DecisionTreeClassifier select from model,select from model,automatic,20,0.795,0.11,0.782,0.096,0.775,0.161,0.756,0.105,0.8,0.179,0.73,0.068,2
