sample type,classifier,feature set,feature,zero proportion,corr with inactive ratio,is high inactive,is high corr with inactivity,is inactivity related
person,Random Forest,manual base,mean,0.0,-0.382,False,False,False
person,Random Forest,manual base,sd,0.0,-0.377,False,False,False
person,Random Forest,manual base,inactive ratio,0.0,,False,False,False
person,Random Forest,manual base,day night ratio,0.0,0.29,False,False,False
person,Random Forest,manual base,longest inactivity,0.0,0.64,False,False,False
person,Random Forest,manual base,mean absolute change activity,0.0,-0.41,False,False,False
person,Random Forest,manual base,daily mean activity variance,0.0,-0.101,False,False,False
person,Random Forest,manual activity rhythm,IS,0.0,0.051,False,False,False
person,Random Forest,manual activity rhythm,IV,0.0,-0.202,False,False,False
person,Random Forest,manual activity rhythm,RA,0.0,-0.027,False,False,False
person,Random Forest,manual hourly activity,mean activity 0,0.0,-0.236,False,False,False
person,Random Forest,manual hourly activity,mean activity 1,0.0,-0.171,False,False,False
person,Random Forest,manual hourly activity,mean activity 2,0.0,-0.198,False,False,False
person,Random Forest,manual hourly activity,mean activity 3,0.0,-0.049,False,False,False
person,Random Forest,manual hourly activity,mean activity 4,0.0,-0.012,False,False,False
person,Random Forest,manual hourly activity,mean activity 5,0.0,-0.117,False,False,False
person,Random Forest,manual hourly activity,mean activity 6,0.0,-0.248,False,False,False
person,Random Forest,manual hourly activity,mean activity 7,0.0,-0.495,False,False,False
person,Random Forest,manual hourly activity,mean activity 8,0.0,-0.303,False,False,False
person,Random Forest,manual hourly activity,mean activity 9,0.0,-0.248,False,False,False
person,Random Forest,manual hourly activity,mean activity 10,0.0,-0.279,False,False,False
person,Random Forest,manual hourly activity,mean activity 11,0.0,-0.256,False,False,False
person,Random Forest,manual hourly activity,mean activity 12,0.0,-0.325,False,False,False
person,Random Forest,manual hourly activity,mean activity 13,0.0,-0.332,False,False,False
person,Random Forest,manual hourly activity,mean activity 14,0.0,-0.392,False,False,False
person,Random Forest,manual hourly activity,mean activity 15,0.0,-0.301,False,False,False
person,Random Forest,manual hourly activity,mean activity 16,0.0,-0.346,False,False,False
person,Random Forest,manual hourly activity,mean activity 17,0.0,-0.262,False,False,False
