sample type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier manual base baseline,"{'accuracy': array([0.72727273, 0.81818182, 1.        , 1.        , 0.7       ]), 'balanced_accuracy': array([0.71666667, 0.81666667, 1.        , 1.        , 0.66666667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.77083333]), 'f1': array([0.66666667, 0.8       , 1.        , 1.        , 0.57142857]), 'precision': array([0.75      , 0.8       , 1.        , 1.        , 0.66666667]), 'recall': array([0.6, 0.8, 1. , 1. , 0.5])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_base', 'feature_set_type': 'inactivity_baseline', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance']}"
person,Random Forest,RandomForestClassifier manual base shuffled y,"{'accuracy': array([0.27272727, 0.54545455, 0.81818182, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.26666667, 0.53333333, 0.80357143, 0.33928571, 0.625     ]), 'average_precision': array([0.54126984, 0.52      , 0.60416667, 0.30833333, 0.475     ]), 'f1': array([0.2       , 0.44444444, 0.75      , 0.22222222, 0.6       ]), 'precision': array([0.2 , 0.5 , 0.75, 0.2 , 0.5 ]), 'recall': array([0.2 , 0.4 , 0.75, 0.25, 0.75])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual base inactivity reduced,"{'accuracy': array([0.63636364, 0.81818182, 1.        , 1.        , 0.7       ]), 'balanced_accuracy': array([0.63333333, 0.81666667, 1.        , 1.        , 0.66666667]), 'average_precision': array([0.85833333, 0.92666667, 1.        , 1.        , 0.85416667]), 'f1': array([0.6       , 0.8       , 1.        , 1.        , 0.57142857]), 'precision': array([0.6       , 0.8       , 1.        , 1.        , 0.66666667]), 'recall': array([0.6, 0.8, 1. , 1. , 0.5])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_base', 'feature_set_type': 'inactivity_reduced', 'removed_features': ['inactive_ratio'], 'n_features': 6, 'features': ['mean', 'sd', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance']}"
person,Random Forest,RandomForestClassifier manual activity rhythm baseline,"{'accuracy': array([0.54545455, 0.72727273, 0.72727273, 0.81818182, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.73333333, 0.625     , 0.80357143, 0.58333333]), 'average_precision': array([0.78888889, 0.82619048, 0.74702381, 0.86111111, 0.71825397]), 'f1': array([0.54545455, 0.72727273, 0.4       , 0.75      , 0.5       ]), 'precision': array([0.5       , 0.66666667, 1.        , 0.75      , 0.5       ]), 'recall': array([0.6 , 0.8 , 0.25, 0.75, 0.5 ])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'inactivity_baseline', 'n_features': 3, 'features': ['IS', 'IV', 'RA']}"
person,Random Forest,RandomForestClassifier manual activity rhythm shuffled y,"{'accuracy': array([0.63636364, 0.63636364, 0.36363636, 0.36363636, 0.7       ]), 'balanced_accuracy': array([0.61666667, 0.63333333, 0.28571429, 0.33928571, 0.66666667]), 'average_precision': array([0.74539683, 0.74539683, 0.30608766, 0.35297619, 0.725     ]), 'f1': array([0.5       , 0.6       , 0.        , 0.22222222, 0.57142857]), 'precision': array([0.66666667, 0.6       , 0.        , 0.2       , 0.66666667]), 'recall': array([0.4 , 0.6 , 0.  , 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual activity rhythm inactivity reduced,"{'accuracy': array([0.54545455, 0.72727273, 0.72727273, 0.81818182, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.73333333, 0.625     , 0.80357143, 0.58333333]), 'average_precision': array([0.78888889, 0.82619048, 0.74702381, 0.86111111, 0.71825397]), 'f1': array([0.54545455, 0.72727273, 0.4       , 0.75      , 0.5       ]), 'precision': array([0.5       , 0.66666667, 1.        , 0.75      , 0.5       ]), 'recall': array([0.6 , 0.8 , 0.25, 0.75, 0.5 ])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'inactivity_reduced', 'removed_features': [], 'n_features': 3, 'features': ['IS', 'IV', 'RA']}"
person,Random Forest,RandomForestClassifier manual hourly activity baseline,"{'accuracy': array([0.72727273, 0.72727273, 0.90909091, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.73333333, 0.71666667, 0.875     , 0.85714286, 0.79166667]), 'average_precision': array([0.78619048, 0.78619048, 1.        , 0.69166667, 0.79861111]), 'f1': array([0.72727273, 0.66666667, 0.85714286, 0.8       , 0.75      ]), 'precision': array([0.66666667, 0.75      , 1.        , 0.66666667, 0.75      ]), 'recall': array([0.8 , 0.6 , 0.75, 1.  , 0.75])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'inactivity_baseline', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23']}"
person,Random Forest,RandomForestClassifier manual hourly activity shuffled y,"{'accuracy': array([0.54545455, 0.54545455, 0.54545455, 0.45454545, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.55      , 0.42857143, 0.35714286, 0.54166667]), 'average_precision': array([0.57090909, 0.70873016, 0.39464286, 0.41944444, 0.3797619 ]), 'f1': array([0.54545455, 0.54545455, 0.        , 0.        , 0.33333333]), 'precision': array([0.5, 0.5, 0. , 0. , 0.5]), 'recall': array([0.6 , 0.6 , 0.  , 0.  , 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual hourly activity inactivity reduced,"{'accuracy': array([0.72727273, 0.72727273, 0.90909091, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.73333333, 0.71666667, 0.875     , 0.85714286, 0.79166667]), 'average_precision': array([0.78619048, 0.78619048, 1.        , 0.69166667, 0.79861111]), 'f1': array([0.72727273, 0.66666667, 0.85714286, 0.8       , 0.75      ]), 'precision': array([0.66666667, 0.75      , 1.        , 0.66666667, 0.75      ]), 'recall': array([0.8 , 0.6 , 0.75, 1.  , 0.75])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'inactivity_reduced', 'removed_features': [], 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23']}"
person,Random Forest,RandomForestClassifier manual six hour bins baseline,"{'accuracy': array([0.63636364, 0.63636364, 0.72727273, 0.81818182, 0.8       ]), 'balanced_accuracy': array([0.61666667, 0.63333333, 0.73214286, 0.85714286, 0.75      ]), 'average_precision': array([0.75952381, 0.87619048, 0.64583333, 0.64583333, 0.725     ]), 'f1': array([0.5       , 0.6       , 0.66666667, 0.8       , 0.66666667]), 'precision': array([0.66666667, 0.6       , 0.6       , 0.66666667, 1.        ]), 'recall': array([0.4 , 0.6 , 0.75, 1.  , 0.5 ])}","{'analysis': 'inactivity_dominance', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'inactivity_baseline', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
