sample type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier manual base shuffled y,"{'accuracy': array([0.27272727, 0.54545455, 0.81818182, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.26666667, 0.53333333, 0.80357143, 0.33928571, 0.625     ]), 'average_precision': array([0.54126984, 0.52      , 0.60416667, 0.30833333, 0.475     ]), 'f1': array([0.2       , 0.44444444, 0.75      , 0.22222222, 0.6       ]), 'precision': array([0.2 , 0.5 , 0.75, 0.2 , 0.5 ]), 'recall': array([0.2 , 0.4 , 0.75, 0.25, 0.75])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual activity rhythm shuffled y,"{'accuracy': array([0.63636364, 0.63636364, 0.36363636, 0.36363636, 0.7       ]), 'balanced_accuracy': array([0.61666667, 0.63333333, 0.28571429, 0.33928571, 0.66666667]), 'average_precision': array([0.74539683, 0.74539683, 0.30608766, 0.35297619, 0.725     ]), 'f1': array([0.5       , 0.6       , 0.        , 0.22222222, 0.57142857]), 'precision': array([0.66666667, 0.6       , 0.        , 0.2       , 0.66666667]), 'recall': array([0.4 , 0.6 , 0.  , 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual hourly activity shuffled y,"{'accuracy': array([0.54545455, 0.54545455, 0.54545455, 0.45454545, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.55      , 0.42857143, 0.35714286, 0.54166667]), 'average_precision': array([0.57090909, 0.70873016, 0.39464286, 0.41944444, 0.3797619 ]), 'f1': array([0.54545455, 0.54545455, 0.        , 0.        , 0.33333333]), 'precision': array([0.5, 0.5, 0. , 0. , 0.5]), 'recall': array([0.6 , 0.6 , 0.  , 0.  , 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual six hour bins shuffled y,"{'accuracy': array([0.27272727, 0.54545455, 0.54545455, 0.36363636, 0.4       ]), 'balanced_accuracy': array([0.26666667, 0.51666667, 0.42857143, 0.33928571, 0.375     ]), 'average_precision': array([0.55238095, 0.66444444, 0.35132576, 0.32916667, 0.44047619]), 'f1': array([0.2       , 0.28571429, 0.        , 0.22222222, 0.25      ]), 'precision': array([0.2 , 0.5 , 0.  , 0.2 , 0.25]), 'recall': array([0.2 , 0.2 , 0.  , 0.25, 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'shuffled_y', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier manual full shuffled y,"{'accuracy': array([0.36363636, 0.54545455, 0.63636364, 0.45454545, 0.4       ]), 'balanced_accuracy': array([0.36666667, 0.55      , 0.5       , 0.35714286, 0.375     ]), 'average_precision': array([0.53055556, 0.74539683, 0.54166667, 0.32916667, 0.36666667]), 'f1': array([0.36363636, 0.54545455, 0.        , 0.        , 0.25      ]), 'precision': array([0.33333333, 0.5       , 0.        , 0.        , 0.25      ]), 'recall': array([0.4 , 0.6 , 0.  , 0.  , 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_full', 'feature_set_type': 'shuffled_y', 'n_features': 48, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier automatic all candidates shuffled y,"{'accuracy': array([0.36363636, 0.63636364, 0.63636364, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.35      , 0.63333333, 0.5       , 0.28571429, 0.58333333]), 'average_precision': array([0.4768254 , 0.57833333, 0.39464286, 0.3172619 , 0.73214286]), 'f1': array([0.22222222, 0.6       , 0.        , 0.        , 0.5       ]), 'precision': array([0.25, 0.6 , 0.  , 0.  , 0.5 ]), 'recall': array([0.2, 0.6, 0. , 0. , 0.5])}","{'analysis': 'validation_check', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'shuffled_y', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier automatic positive permutation shuffled y,"{'accuracy': array([0.27272727, 0.36363636, 0.81818182, 0.36363636, 0.5       ]), 'balanced_accuracy': array([0.26666667, 0.35      , 0.80357143, 0.33928571, 0.5       ]), 'average_precision': array([0.54329004, 0.61928571, 0.71527778, 0.32916667, 0.475     ]), 'f1': array([0.2       , 0.22222222, 0.75      , 0.22222222, 0.44444444]), 'precision': array([0.2 , 0.25, 0.75, 0.2 , 0.4 ]), 'recall': array([0.2 , 0.2 , 0.75, 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_positive_permutation', 'feature_set_type': 'shuffled_y', 'n_features': 3, 'features': ['daily_mean_activity_variance', 'day_night_ratio', 'inactive_evening'], 'shuffled_y': True}"
person,Random Forest,RandomForestClassifier automatic rfecv selected shuffled y,"{'accuracy': array([0.36363636, 0.54545455, 0.63636364, 0.36363636, 0.7       ]), 'balanced_accuracy': array([0.35      , 0.53333333, 0.55357143, 0.28571429, 0.66666667]), 'average_precision': array([0.56571429, 0.51206349, 0.625     , 0.29924242, 0.50992063]), 'f1': array([0.22222222, 0.44444444, 0.33333333, 0.        , 0.57142857]), 'precision': array([0.25      , 0.5       , 0.5       , 0.        , 0.66666667]), 'recall': array([0.2 , 0.4 , 0.25, 0.  , 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'shuffled_y', 'n_features': 10, 'features': ['mean', 'sd', 'inactive_ratio', '12_hour_night_activity', 'day_night_ratio', 'daily_mean_activity_variance', 'IS', 'activity_afternoon', 'activity_evening', 'inactive_evening'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression manual base shuffled y,"{'accuracy': array([0.45454545, 0.54545455, 0.72727273, 0.45454545, 0.7       ]), 'balanced_accuracy': array([0.46666667, 0.55      , 0.73214286, 0.41071429, 0.70833333]), 'average_precision': array([0.7       , 0.50539683, 0.81666667, 0.48674242, 0.46944444]), 'f1': array([0.5       , 0.54545455, 0.66666667, 0.25      , 0.66666667]), 'precision': array([0.42857143, 0.5       , 0.6       , 0.25      , 0.6       ]), 'recall': array([0.6 , 0.6 , 0.75, 0.25, 0.75])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression manual activity rhythm shuffled y,"{'accuracy': array([0.63636364, 0.63636364, 0.63636364, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.65      , 0.66666667, 0.66071429, 0.33928571, 0.58333333]), 'average_precision': array([0.69261905, 0.63015873, 0.58611111, 0.3515873 , 0.75      ]), 'f1': array([0.66666667, 0.71428571, 0.6       , 0.22222222, 0.5       ]), 'precision': array([0.57142857, 0.55555556, 0.5       , 0.2       , 0.5       ]), 'recall': array([0.8 , 1.  , 0.75, 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'shuffled_y': True}"
