sample type,classifier,n features,mean test score,std test score
person,Random Forest,1,0.766,0.09
person,Random Forest,2,0.823,0.146
person,Random Forest,3,0.82,0.107
person,Random Forest,4,0.865,0.115
person,Random Forest,5,0.845,0.129
person,Random Forest,6,0.848,0.139
person,Random Forest,7,0.831,0.115
person,Random Forest,8,0.814,0.134
person,Random Forest,9,0.828,0.149
person,Random Forest,10,0.882,0.097
person,Random Forest,11,0.814,0.134
person,Random Forest,12,0.845,0.129
person,Random Forest,13,0.865,0.115
person,Random Forest,14,0.848,0.139
person,Random Forest,15,0.862,0.117
person,Random Forest,16,0.882,0.097
person,Random Forest,17,0.862,0.117
person,Random Forest,18,0.814,0.134
person,Random Forest,19,0.828,0.149
person,Random Forest,20,0.814,0.134
person,Logistic Regression,1,0.829,0.065
person,Logistic Regression,2,0.78,0.047
person,Logistic Regression,3,0.817,0.09
person,Logistic Regression,4,0.902,0.123
person,Logistic Regression,5,0.897,0.135
person,Logistic Regression,6,0.877,0.125
person,Logistic Regression,7,0.877,0.125
person,Logistic Regression,8,0.877,0.125
person,Logistic Regression,9,0.877,0.125
person,Logistic Regression,10,0.86,0.127
person,Logistic Regression,11,0.86,0.127
person,Logistic Regression,12,0.86,0.127
person,Logistic Regression,13,0.86,0.127
person,Logistic Regression,14,0.86,0.127
person,Logistic Regression,15,0.86,0.127
person,Logistic Regression,16,0.86,0.127
person,Logistic Regression,17,0.842,0.115
person,Logistic Regression,18,0.892,0.074
person,Logistic Regression,19,0.892,0.074
person,Logistic Regression,20,0.892,0.074
person,Decision Tree,1,0.77,0.095
person,Decision Tree,2,0.782,0.096
person,Decision Tree,3,0.782,0.096
person,Decision Tree,4,0.782,0.096
person,Decision Tree,5,0.782,0.096
person,Decision Tree,6,0.782,0.096
person,Decision Tree,7,0.782,0.096
person,Decision Tree,8,0.782,0.096
person,Decision Tree,9,0.782,0.096
person,Decision Tree,10,0.782,0.096
person,Decision Tree,11,0.782,0.096
person,Decision Tree,12,0.782,0.096
person,Decision Tree,13,0.782,0.096
person,Decision Tree,14,0.782,0.096
person,Decision Tree,15,0.782,0.096
person,Decision Tree,16,0.782,0.096
person,Decision Tree,17,0.782,0.096
person,Decision Tree,18,0.782,0.096
person,Decision Tree,19,0.782,0.096
person,Decision Tree,20,0.782,0.096
